S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Civil Engineering,Structural Analysis Introduction NPTEL,81hrs 19min,12th,English/Hindi,Module 1: Introduction to Structural Analysis,Lecture 1 : Introduction,https://www.youtube.com/watch?v=oa5ojjGEUSw
2,Civil Engineering,Structural Analysis Introduction NPTEL,,12th,English/Hindi,Module 1: Introduction to Structural Analysis,"Lecture 2 : Idealization of Structures, Threats and Responses",https://www.youtube.com/watch?v=PHCEZTOJQYc
3,Civil Engineering,Structural Analysis Introduction NPTEL,,12th,English/Hindi,Module 1: Introduction to Structural Analysis,Lecture 3 : Static Equilibrium,https://www.youtube.com/watch?v=2dB7-GIYcdY
4,Civil Engineering,Structural Analysis Introduction NPTEL,,12th,English/Hindi,Module 1: Introduction to Structural Analysis,Lecture 4 : Determinate and Indeterminate Structures,https://www.youtube.com/watch?v=ScjLYr2WtxE
5,Civil Engineering,Structural Analysis Introduction NPTEL,,12th,English/Hindi,Module 2: Analyzing Statically Determinate Structures,Lecture 5 : Review of Bending Moment and Shear Force Diagram of Beam,https://www.youtube.com/watch?v=I80MbMhthrM
6,Civil Engineering,Structural Analysis Introduction NPTEL,,12th,English/Hindi,Module 2: Analyzing Statically Determinate Structures,Lecture 6 : Tutorial - I,https://www.youtube.com/watch?v=aiOBr11crfo
7,Civil Engineering,Structural Analysis Introduction NPTEL,,12th,English/Hindi,Module 2: Analyzing Statically Determinate Structures,Lecture 7 : Analysis of Statically Determinate Structures: Truss,https://www.youtube.com/watch?v=buKJYdfa3gU
8,Civil Engineering,Structural Analysis Introduction NPTEL,,12th,English/Hindi,Module 2: Analyzing Statically Determinate Structures,Lecture 8 : Analysis of Truss: Method of Joints,https://www.youtube.com/watch?v=Vgt3gNlKbPY
9,Civil Engineering,Structural Analysis Introduction NPTEL,,12th,English/Hindi,Module 2: Analyzing Statically Determinate Structures,Lecture 9 : Analysis of Truss: Method of Joints (Contd.),https://www.youtube.com/watch?v=5gExoUfZoBY
10,Civil Engineering,Structural Analysis Introduction NPTEL,,12th,English/Hindi,Module 2: Analyzing Statically Determinate Structures,Lecture 10 : Analysis of Truss: Method of Sections,https://www.youtube.com/watch?v=yyxRHt62WFo
11,Civil Engineering,Structural Analysis Introduction NPTEL,,12th,English/Hindi,Module 3: Deflection of Beams and Frames,Lecture 11 : Analysis of Truss: Method of Sections (Contd.),https://www.youtube.com/watch?v=5VhFVugneCw
12,Civil Engineering,Structural Analysis Introduction NPTEL,,12th,English/Hindi,Module 3: Deflection of Beams and Frames,Lecture 12 : Analysis of Statically Determinate Structures: Method of Virtual Work,https://www.youtube.com/watch?v=-rJOUhdf4yU
13,Civil Engineering,Structural Analysis Introduction NPTEL,,12th,English/Hindi,Module 3: Deflection of Beams and Frames,Lecture 13 : Analysis of Statically Determinate Structures: Method of Virtual Work (Contd.),https://www.youtube.com/watch?v=RMFqqt0QQHU
14,Civil Engineering,Structural Analysis Introduction NPTEL,,12th,English/Hindi,Module 3: Deflection of Beams and Frames,Lecture 14 : Analysis of Statically Determinate Structures: Method of Virtual Work (Contd.),https://www.youtube.com/watch?v=z_W8FRzWG4E
15,Civil Engineering,Structural Analysis Introduction NPTEL,,12th,English/Hindi,Module 3: Deflection of Beams and Frames,Lecture 15 : Analysis of Statically Determinate Structures: Method of Virtual Work (Contd.),https://www.youtube.com/watch?v=w0kn5j8IABU
16,Civil Engineering,Structural Analysis Introduction NPTEL,,12th,English/Hindi,Module 3: Deflection of Beams and Frames,Lecture 16: Analysis of Statically Determinate Structures: Method of Virtual Work (Contd.),https://www.youtube.com/watch?v=ILZVSbfs5hM
17,Civil Engineering,Structural Analysis Introduction NPTEL,,12th,English/Hindi,Module 3: Deflection of Beams and Frames,Lecture 17 : Deflection of Beams and Frames,https://www.youtube.com/watch?v=1txkFwWWYds
18,Civil Engineering,Structural Analysis Introduction NPTEL,,12th,English/Hindi,Module 3: Deflection of Beams and Frames,Lecture 18 : Deflection of Beams and Frames (Contd.),https://www.youtube.com/watch?v=ELXjh51p7dc
19,Civil Engineering,Structural Analysis Introduction NPTEL,,12th,English/Hindi,Module 4: Influence Line Diagrams and Moving Loads,Lecture 19 : Deflection of Beams and Frames (Contd.),https://www.youtube.com/watch?v=7wr_ijlWMGc
20,Civil Engineering,Structural Analysis Introduction NPTEL,,12th,English/Hindi,Module 4: Influence Line Diagrams and Moving Loads,Lecture 20 : Deflection of Beams and Frames (Contd.),https://www.youtube.com/watch?v=5ohsQy297-k
21,Civil Engineering,Structural Analysis Introduction NPTEL,,12th,English/Hindi,Module 4: Influence Line Diagrams and Moving Loads,Lecture 21: Deflection of Beams and Frames (Contd.),https://www.youtube.com/watch?v=T0NulAV9Jqg
22,Civil Engineering,Structural Analysis Introduction NPTEL,,12th,English/Hindi,Module 4: Influence Line Diagrams and Moving Loads,Lecture 22 : Deflection of Beams and Frames (Contd.),https://www.youtube.com/watch?v=R2F1Io3Cl5M
23,Civil Engineering,Structural Analysis Introduction NPTEL,,12th,English/Hindi,Module 4: Influence Line Diagrams and Moving Loads,Lecture 23 : Deflection of Beams and Frames (Contd.),https://www.youtube.com/watch?v=SCH-NABg_CM
24,Civil Engineering,Structural Analysis Introduction NPTEL,,12th,English/Hindi,Module 5: Statically Indeterminate Structures,Lecture 24 : Deflection of Beams and Frames (Contd.),https://www.youtube.com/watch?v=yl1JErEdkp8
25,Civil Engineering,Structural Analysis Introduction NPTEL,,12th,English/Hindi,Module 5: Statically Indeterminate Structures,Lecture 25 : Deflection of Beams and Frames (Contd.),https://www.youtube.com/watch?v=ZfvlAzFywSI
26,Civil Engineering,Structural Analysis Introduction NPTEL,,12th,English/Hindi,Module 5: Statically Indeterminate Structures,Lecture 26 : Deflection of Beams and Frames (Contd.),https://www.youtube.com/watch?v=bjsS9vw8Gfs
27,Civil Engineering,Structural Analysis Introduction NPTEL,,12th,English/Hindi,Module 5: Statically Indeterminate Structures,Lecture 27 : Deflection of Beams and Frames (Contd.),https://www.youtube.com/watch?v=8zgAaZqcQMg
28,Civil Engineering,Structural Analysis Introduction NPTEL,,12th,English/Hindi,Module 5: Statically Indeterminate Structures,Lecture 28 : Influence Line Diagram and moving Loads,https://www.youtube.com/watch?v=oRzAzvWWzrg
29,Civil Engineering,Structural Analysis Introduction NPTEL,,12th,English/Hindi,Module 5: Statically Indeterminate Structures,Lecture 29 : Influence Line Diagram and moving Loads (Contd.),https://www.youtube.com/watch?v=uM4nxM7lV64
30,Civil Engineering,Structural Analysis Introduction NPTEL,,12th,English/Hindi,Module 5: Statically Indeterminate Structures,Lecture 30 : Influence Line Diagram and moving Loads (Contd.),https://www.youtube.com/watch?v=_lUGcIT1mF4
31,Civil Engineering,Structural Analysis Introduction NPTEL,,12th,English/Hindi,Module 5: Statically Indeterminate Structures,Lecture 31 : Influence Line Diagram and moving Loads (Contd.),https://www.youtube.com/watch?v=g_VtBUd4o8M
32,Civil Engineering,Structural Analysis Introduction NPTEL,,12th,English/Hindi,Module 5: Statically Indeterminate Structures,Lecture 32 : Influence Line Diagram and moving Loads (Contd.),https://www.youtube.com/watch?v=vj1LPLylyYU
33,Civil Engineering,Structural Analysis Introduction NPTEL,,12th,English/Hindi,Module 5: Statically Indeterminate Structures,Lecture 33 : Analysis of Statically Indeterminate Structures,https://www.youtube.com/watch?v=clFyMj-XFVE
34,Civil Engineering,Structural Analysis Introduction NPTEL,,12th,English/Hindi,Module 6: Advanced Topics in Structural Analysis,Lecture 34 : Analysis of Statically Indeterminate Structures (Contd.),https://www.youtube.com/watch?v=GrrDzjptJ38
35,Civil Engineering,Structural Analysis Introduction NPTEL,,12th,English/Hindi,Module 6: Advanced Topics in Structural Analysis,Lecture 35 : Analysis of Statically Indeterminate Structures (Contd.),https://www.youtube.com/watch?v=4ilij7A3RS4
