S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Communication,#CommunicationSkills | #InterpersonalSkills | #VoiceTone | Videos by Simerjeet Singh Motivational Speaker,27hrs 5min,12th,English/Hindi,Module 1: Unleash Your Inner Communicator,The Blueprint to Developing your Communication Skills: Discover Why 16M🔥 Can't Stop Raving About It!,https://www.youtube.com/watch?v=srn5jgr9TZo
2,Communication,#CommunicationSkills | #InterpersonalSkills | #VoiceTone | Videos by Simerjeet Singh Motivational Speaker,,12th,English/Hindi,Module 1: Unleash Your Inner Communicator,Boost Your Voice Quality NOW! 🌟 Expert Tips in Hindi by Global Sensation Simerjeet Singh!,https://www.youtube.com/watch?v=h2_Ouht_fNA
3,Communication,#CommunicationSkills | #InterpersonalSkills | #VoiceTone | Videos by Simerjeet Singh Motivational Speaker,,12th,English/Hindi,Module 1: Unleash Your Inner Communicator,🚀 Unlock Fluent English in 7 Steps with Simerjeet Singh | Conquer Inferiority NOW!,https://www.youtube.com/watch?v=H7QQugwPaPI
4,Communication,#CommunicationSkills | #InterpersonalSkills | #VoiceTone | Videos by Simerjeet Singh Motivational Speaker,,12th,English/Hindi,Module 1: Unleash Your Inner Communicator,Challenge: Transform Your English Communication Skills in ONE Video! |  Practical Hacks & Surprises,https://www.youtube.com/watch?v=X3Fz_Gu5WUE
5,Communication,#CommunicationSkills | #InterpersonalSkills | #VoiceTone | Videos by Simerjeet Singh Motivational Speaker,,12th,English/Hindi,Module 2: Mastering Voice and Confidence ,Watch This to TRANSFORM Your Personality in Just 10 Steps!,https://www.youtube.com/watch?v=2YAbc_zsJLM
6,Communication,#CommunicationSkills | #InterpersonalSkills | #VoiceTone | Videos by Simerjeet Singh Motivational Speaker,,12th,English/Hindi,Module 2: Mastering Voice and Confidence ,"Think Fast, Talk Smart: Communication Techniques",https://www.youtube.com/watch?v=HAnw168huqA
7,Communication,#CommunicationSkills | #InterpersonalSkills | #VoiceTone | Videos by Simerjeet Singh Motivational Speaker,,12th,English/Hindi,Module 2: Mastering Voice and Confidence ,The Truth About English: Simerjeet Singh Exposes Language Myths! | English Kaise Sikhe?,https://www.youtube.com/watch?v=JJiRq28inCA
8,Communication,#CommunicationSkills | #InterpersonalSkills | #VoiceTone | Videos by Simerjeet Singh Motivational Speaker,,12th,English/Hindi,Module 3: Conquering English Fluency,Watch This to Master Communication Skills in One Day! | Practical Tips by Simerjeet Singh,https://www.youtube.com/watch?v=Ac3HPfbX8v4
9,Communication,#CommunicationSkills | #InterpersonalSkills | #VoiceTone | Videos by Simerjeet Singh Motivational Speaker,,12th,English/Hindi,Module 3: Conquering English Fluency,Simerjeet Singh on How to be confident and How to overcome hesitation? #CoachOnCampus,https://www.youtube.com/watch?v=Pw24Nx-qXkc
10,Communication,#CommunicationSkills | #InterpersonalSkills | #VoiceTone | Videos by Simerjeet Singh Motivational Speaker,,12th,English/Hindi,Module 3: Conquering English Fluency,English sikhne ka tarika | English sikhne ke liye kya karna chahiye by Simerjeet Singh,https://www.youtube.com/watch?v=9o8331vG34o
