S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Communication,"9607: A Level Media Studies (2024, 2025, 2026) Video Series",28hrs 15min,12th,English/Hindi,"Module 1: Introduction to CAIE A Level Media Studies 9607 (2024, 2025, 2026)","Module 1: Introduction to CAIE A Level Media Studies 9607 (2024, 2025, 2026)",https://www.youtube.com/watch?v=vS9LHB8bC80
2,Communication,"9607: A Level Media Studies (2024, 2025, 2026) Video Series",,12th,English/Hindi,"Module 1: Introduction to CAIE A Level Media Studies 9607 (2024, 2025, 2026)",Module 2: Foundation Portfolio (Component 1),https://www.youtube.com/watch?v=9V2yDJghXBg
3,Communication,"9607: A Level Media Studies (2024, 2025, 2026) Video Series",,12th,English/Hindi,"Module 1: Introduction to CAIE A Level Media Studies 9607 (2024, 2025, 2026)",Module 3: Advanced Portfolio (Component 3),https://www.youtube.com/watch?v=Cd8B7I0w8b0
4,Communication,"9607: A Level Media Studies (2024, 2025, 2026) Video Series",,12th,English/Hindi,"Module 1: Introduction to CAIE A Level Media Studies 9607 (2024, 2025, 2026)",Module 4: Blog Creation,https://www.youtube.com/watch?v=PFIiFBNAing
5,Communication,"9607: A Level Media Studies (2024, 2025, 2026) Video Series",,12th,English/Hindi,Module 2: Foundation Portfolio (Component 1),"Module 5: Story, Narrative, Storyboard, Screenplay",https://www.youtube.com/watch?v=caPBdYl0f1s
6,Communication,"9607: A Level Media Studies (2024, 2025, 2026) Video Series",,12th,English/Hindi,Module 2: Foundation Portfolio (Component 1),"Module 6: Camera, Sound, Editing, Mise-en-Scene, Colour & More...",https://www.youtube.com/watch?v=byU5Ul8DaaE
7,Communication,"9607: A Level Media Studies (2024, 2025, 2026) Video Series",,12th,English/Hindi,Module 2: Foundation Portfolio (Component 1),Module 7: Media Texts & Contexts (Component 2 - AS Theory),https://www.youtube.com/watch?v=UEjgdCp57eU
8,Communication,"9607: A Level Media Studies (2024, 2025, 2026) Video Series",,12th,English/Hindi,Module 3: Advanced Portfolio (Component 3),Module 8: Critical Perspectives (Component 4 - A2 Theory),https://www.youtube.com/watch?v=ljhroEpC0SQ
9,Communication,"9607: A Level Media Studies (2024, 2025, 2026) Video Series",,12th,English/Hindi,Module 3: Advanced Portfolio (Component 3),Module 9: Media Texts (Part 1) - AS Written Exam Section A,https://www.youtube.com/watch?v=WnasYrXI84w
10,Communication,"9607: A Level Media Studies (2024, 2025, 2026) Video Series",,12th,English/Hindi,Module 3: Advanced Portfolio (Component 3),"Module 10: Media Texts Theories (Mulvey, Propp, Barthes, Campbell, Dyer, Hall, Todorov, Strauss)",https://www.youtube.com/watch?v=cWTdHX-oexY
