S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Communication,Communication Research Methods,136hrs 8min,12th,English/Hindi,Module 1: Introduction to Communication Research,Three Paradigms of Communication Research,https://www.youtube.com/watch?v=lTcEl1fO2zc
2,Communication,Communication Research Methods,,12th,English/Hindi,Module 1: Introduction to Communication Research,Research Ethics Presentation,https://www.youtube.com/watch?v=8ZOzF8_tK6M
3,Communication,Communication Research Methods,,12th,English/Hindi,Module 1: Introduction to Communication Research,Research Questions and Data,https://www.youtube.com/watch?v=__PoAUpjrlo
4,Communication,Communication Research Methods,,12th,English/Hindi,Module 2: Descriptive Statistics and Surveys,Descriptive Statistics and Surveys,https://www.youtube.com/watch?v=RAbulDy_lIU
5,Communication,Communication Research Methods,,12th,English/Hindi,Module 2: Descriptive Statistics and Surveys,Module 6 - Correlation & Regression,https://www.youtube.com/watch?v=1mWiIW7sDrc
6,Communication,Communication Research Methods,,12th,English/Hindi,Module 3: Experiment Design,Module 7 - Experiment Design,https://www.youtube.com/watch?v=b1sPHyRraCo
7,Communication,Communication Research Methods,,12th,English/Hindi,Module 3: Experiment Design,Comm Research Methods - Content Analysis,https://www.youtube.com/watch?v=UyD6-wg9600
8,Communication,Communication Research Methods,,12th,English/Hindi,Module 4: Qualitative Research Methods,Intro to Qualitative Data Analysis,https://www.youtube.com/watch?v=CGNnTO8tDXY
9,Communication,Communication Research Methods,,12th,English/Hindi,Module 4: Qualitative Research Methods,Communication Resarch Methods - Intro to Ethnography,https://www.youtube.com/watch?v=NT-iEelzxKY
10,Communication,Communication Research Methods,,12th,English/Hindi,Module 4: Qualitative Research Methods,Communication Research Methods - Discourse Analysis,https://www.youtube.com/watch?v=A5N07qm0sY8
