S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Communication,DIGITAL COMMUNICATION,15hrs 11min,12th,English/Hindi,Module 1: Introduction to Digital Modulation,"DC#25 Digital modulation Techniques | ASK, FSK, PSK modulation || EC Academy",https://www.youtube.com/watch?v=14R-jgQb3x0
2,Communication,DIGITAL COMMUNICATION,,12th,English/Hindi,Module 1: Introduction to Digital Modulation,DC#26 Binary Shift Keying (BPSK) representation and BPSK using coherent detection || EC Academy,https://www.youtube.com/watch?v=K3F1woljOaw
3,Communication,DIGITAL COMMUNICATION,,12th,English/Hindi,Module 1: Introduction to Digital Modulation,DC#27 Generation and reception of BPSK signal || EC Academy,https://www.youtube.com/watch?v=DdqpVDVrDp8
4,Communication,DIGITAL COMMUNICATION,,12th,English/Hindi,Module 1: Introduction to Digital Modulation,DC#28 The Output of integrator depends on Transmitted bit in BPSK signal reception || EC Academy,https://www.youtube.com/watch?v=JdIC9_zL2EY
5,Communication,DIGITAL COMMUNICATION,,12th,English/Hindi,Module 2: BPSK Signal Generation and Reception,"DC#29 Spectrum of BPSK signal, PSD of NRZ pulse, PSD of BPSK signal || EC Academy",https://www.youtube.com/watch?v=Hg67HWHx_Vk
6,Communication,DIGITAL COMMUNICATION,,12th,English/Hindi,Module 2: BPSK Signal Generation and Reception,DC#30 Geometrical representation of BPSK signal || EC Academy,https://www.youtube.com/watch?v=rchP1h58hIs
7,Communication,DIGITAL COMMUNICATION,,12th,English/Hindi,Module 2: BPSK Signal Generation and Reception,DC#31 Bandwidth of BPSK Signal || EC Academy,https://www.youtube.com/watch?v=9i3G20urDZ4
8,Communication,DIGITAL COMMUNICATION,,12th,English/Hindi,Module 3: Differential Phase Shift Keying (DPSK),DC#32 Generation of DPSK signal || EC Academy,https://www.youtube.com/watch?v=Vjp4J1EXqqI
9,Communication,DIGITAL COMMUNICATION,,12th,English/Hindi,Module 3: Differential Phase Shift Keying (DPSK),DC#33 DPSK signal receiver || EC Academy,https://www.youtube.com/watch?v=IIpYnqN4Uko
10,Communication,DIGITAL COMMUNICATION,,12th,English/Hindi,Module 3: Differential Phase Shift Keying (DPSK),DC#34 Problem on DPSK modulation and demodulation || EC Academy,https://www.youtube.com/watch?v=yc8_LNoZzsc
