S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Communication,Interpersonal Communication,37hrs 22min,12th,English/Hindi,Module 1: Introduction to Interpersonal Communication,Interplay Chapter 1 Part 1 Why We Communicate,https://www.youtube.com/watch?v=UDshfX5XVtw
2,Communication,Interpersonal Communication,,12th,English/Hindi,Module 1: Introduction to Interpersonal Communication,Interplay Chapter 1 Part 2 The Communication Process,https://www.youtube.com/watch?v=z25MsgAcA-4
3,Communication,Interpersonal Communication,,12th,English/Hindi,Module 1: Introduction to Interpersonal Communication,Interplay Chapter 1 Part 3 What Makes Communication Interpersonal,https://www.youtube.com/watch?v=6YnIbeO4Brk
4,Communication,Interpersonal Communication,,12th,English/Hindi,Module 1: Introduction to Interpersonal Communication,Interplay Chapter 2 Mediated Communication  Pros and Cons,https://www.youtube.com/watch?v=ysPeBaS3EMQ
5,Communication,Interpersonal Communication,,12th,English/Hindi,Module 2: Mediated Communication and Culture,Interplay Chapter 1 Part 4  Communication Competence,https://www.youtube.com/watch?v=IuByqnHfXj4
6,Communication,Interpersonal Communication,,12th,English/Hindi,Module 2: Mediated Communication and Culture,Interplay Chapter 2 Part 2 Mediated Interpersonal vs Masspersonal Communication,https://www.youtube.com/watch?v=3Rt0d74Idz4
7,Communication,Interpersonal Communication,,12th,English/Hindi,Module 2: Mediated Communication and Culture,Interplay Chapter 2 Part 3 Competence in Mediated Communication,https://www.youtube.com/watch?v=W_-_OPdWXcM
8,Communication,Interpersonal Communication,,12th,English/Hindi,Module 3: Culture and Communication,Interplay Chapter 3 Section 5 Developing Intercultural Communication Competence,https://www.youtube.com/watch?v=dDFVuxrPkHk
9,Communication,Interpersonal Communication,,12th,English/Hindi,Module 3: Culture and Communication,Interplay Chapter 3 Section 4 Codes and Culture,https://www.youtube.com/watch?v=2mI6V25RHVs
10,Communication,Interpersonal Communication,,12th,English/Hindi,Module 3: Culture and Communication,Interplay Chapter 3 Section 3 Co Cultures and Communication,https://www.youtube.com/watch?v=ehL5FfJ7kXc
11,Communication,Interpersonal Communication,,12th,English/Hindi,Module 3: Culture and Communication,Interplay Chapter 3 Section 2 Cultural Values and Norms,https://www.youtube.com/watch?v=Spgoy3SKoJo
12,Communication,Interpersonal Communication,,12th,English/Hindi,Module 4:  Self and Perception,Chapter 3 Section 1 Culture and Communication,https://www.youtube.com/watch?v=bMkLIvyesTY
13,Communication,Interpersonal Communication,,12th,English/Hindi,Module 4:  Self and Perception,Interplay Chapter 6 Part 2 The Impact of Language,https://www.youtube.com/watch?v=MfFrau6LDS4
14,Communication,Interpersonal Communication,,12th,English/Hindi,Module 4:  Self and Perception,Interplay Chapter 6 Part 1 The Nature of Language,https://www.youtube.com/watch?v=sE3J4K1AbQw
15,Communication,Interpersonal Communication,,12th,English/Hindi,Module 5: Language and Nonverbal Communication,Interplay Chapter 7 Part 4 Types of Nonverbal Communication,https://www.youtube.com/watch?v=ZgqYZf8RMqE
16,Communication,Interpersonal Communication,,12th,English/Hindi,Module 5: Language and Nonverbal Communication,Interplay Chapter 7 Part 3 Functions of Nonverbal Communication,https://www.youtube.com/watch?v=ImrOUaxR34w
17,Communication,Interpersonal Communication,,12th,English/Hindi,Module 5: Language and Nonverbal Communication,Interplay Chapter 7 Part 2 Characteristics of Nonverbal Communication,https://www.youtube.com/watch?v=SuvrqZ5Gl0I
18,Communication,Interpersonal Communication,,12th,English/Hindi,Module 5: Language and Nonverbal Communication,Interplay Chapter 7 Part 1 Nonverbal Communication Defined,https://www.youtube.com/watch?v=G5NfprPIBJQ
19,Communication,Interpersonal Communication,,12th,English/Hindi,Module 5: Language and Nonverbal Communication,Interplay Chapter 4 Section 3 Disclosing the Self Part 2,https://www.youtube.com/watch?v=1mccawTY7K0
20,Communication,Interpersonal Communication,,12th,English/Hindi,Module 5: Language and Nonverbal Communication,Interplay Chapter 4 Section 3 Disclosing the Self Part 1,https://www.youtube.com/watch?v=rz0-HcpUY3M
21,Communication,Interpersonal Communication,,12th,English/Hindi,Module 5: Language and Nonverbal Communication,Interplay Chapter 4 Section 2 Presenting the Self,https://www.youtube.com/watch?v=m_tsWXthRbI
22,Communication,Interpersonal Communication,,12th,English/Hindi,Module 5: Language and Nonverbal Communication,Interplay Chapter4 Section 1 Communication and the Self Concept,https://www.youtube.com/watch?v=TLhacFxCKoI
23,Communication,Interpersonal Communication,,12th,English/Hindi,Module 6: Listening and Emotions,Interplay Chapter 8 Part 1 The Nature of Listening,https://www.youtube.com/watch?v=r9XFTbVHu1o
24,Communication,Interpersonal Communication,,12th,English/Hindi,Module 6: Listening and Emotions,Interplay Chapter 6 Part 4 Gender and  Language,https://www.youtube.com/watch?v=xJFvmq96nIo
25,Communication,Interpersonal Communication,,12th,English/Hindi,Module 6: Listening and Emotions,Interplay Chapter 6 Part 3 The Language of Responsibility,https://www.youtube.com/watch?v=RqC-aVs0cQg
26,Communication,Interpersonal Communication,,12th,English/Hindi,Module 6: Listening and Emotions,Interplay Chapter 6 Part 2 The Impact of Language,https://www.youtube.com/watch?v=MfFrau6LDS4
27,Communication,Interpersonal Communication,,12th,English/Hindi,Module 6: Listening and Emotions,Interplay Chapter 6 Part 1 The Nature of Language,https://www.youtube.com/watch?v=sE3J4K1AbQw
28,Communication,Interpersonal Communication,,12th,English/Hindi,Module 6: Listening and Emotions,Interplay Chapter 8 Part 2 The Challenge of Listening,https://www.youtube.com/watch?v=c5Fb3-2QhKk
29,Communication,Interpersonal Communication,,12th,English/Hindi,Module 6: Listening and Emotions,Interplay Chapter 9 Part 1 What are Emotions,https://www.youtube.com/watch?v=PF_woXOJfWI
30,Communication,Interpersonal Communication,,12th,English/Hindi,Module 7: Perception and Emotional Expression,Interplay Chapter 9 Part 2 Influences on Emotional Expression,https://www.youtube.com/watch?v=uEil49CsMO8
31,Communication,Interpersonal Communication,,12th,English/Hindi,Module 7: Perception and Emotional Expression,Interplay Chapter 5 Part 4 Synchronizing Our Perceptions Source,https://www.youtube.com/watch?v=8BZN-aJUsrI
32,Communication,Interpersonal Communication,,12th,English/Hindi,Module 7: Perception and Emotional Expression,Interplay Chapter 5 Part 4 Synchronizing Our Perceptions Source,https://www.youtube.com/watch?v=8BZN-aJUsrI
33,Communication,Interpersonal Communication,,12th,English/Hindi,Module 7: Perception and Emotional Expression,Interplay Chapter 5 Part 3 Common Tendencies in Perception Source,https://www.youtube.com/watch?v=eIgFt7AxQLg
34,Communication,Interpersonal Communication,,12th,English/Hindi,Module 7: Perception and Emotional Expression,Interplay Chapter 5 Part 1 The Perception Process Source,https://www.youtube.com/watch?v=svA2J6AbsYw
35,Communication,Interpersonal Communication,,12th,English/Hindi,Module 8:  Emotions and Relationships,Interplay Chapter 5 Part 2 Influences on Perception Source,https://www.youtube.com/watch?v=RGzOm8JUfQs
36,Communication,Interpersonal Communication,,12th,English/Hindi,Module 8:  Emotions and Relationships,Interplay Chapter 9 Part 3 Expressing Emotions Effectively,https://www.youtube.com/watch?v=Vx_5jkMv_UQ
37,Communication,Interpersonal Communication,,12th,English/Hindi,Module 8:  Emotions and Relationships,Interplay Chapter 9 Part 4 Managing Emotions,https://www.youtube.com/watch?v=SLK_TEkO1HM
38,Communication,Interpersonal Communication,,12th,English/Hindi,Module 9: Relationships and Communication,Interplay Chapter 10 Part 1 Why We Form Relationships,https://www.youtube.com/watch?v=sDgQzrlaGw8
39,Communication,Interpersonal Communication,,12th,English/Hindi,Module 9: Relationships and Communication,Interplay Chapter 10 Part 2 Models of Relational Dynamics,https://www.youtube.com/watch?v=hCi6-rRcQeM
40,Communication,Interpersonal Communication,,12th,English/Hindi,Module 9: Relationships and Communication,Chapter 10 Part 3 Communicating About Relationships,https://www.youtube.com/watch?v=48OxWY8K5Kg
41,Communication,Interpersonal Communication,,12th,English/Hindi,Module 10:  Friendships and Families,Chapter 11 Part 1 Communication in Friendships,https://www.youtube.com/watch?v=KZVw1clcCUA
42,Communication,Interpersonal Communication,,12th,English/Hindi,Module 10:  Friendships and Families,Chapter 11 Part 2 Communication in Families,https://www.youtube.com/watch?v=-v9jA6i_fT0
43,Communication,Interpersonal Communication,,12th,English/Hindi,Module 11: Romantic Relationships and Conflict,Interplay Chapter 11 Part 3 Communication in Romantic Relationships,https://www.youtube.com/watch?v=bF-VN5r-swY
44,Communication,Interpersonal Communication,,12th,English/Hindi,Module 12: Conflict and Communication,Interplay Chapter 12 Part I What is Conflict,https://www.youtube.com/watch?v=3pjx7cRPx3U
45,Communication,Interpersonal Communication,,12th,English/Hindi,Module 12: Conflict and Communication,Interplay Chapter 12 Part 2  Conflict Styles,https://www.youtube.com/watch?v=fTraNG2oF08
46,Communication,Interpersonal Communication,,12th,English/Hindi,Module 12: Conflict and Communication,Interplay Chapter 12 Part 3  Conflict in Relational Systems,https://www.youtube.com/watch?v=q8BKmU842Jw
47,Communication,Interpersonal Communication,,12th,English/Hindi,Module 12: Conflict and Communication,Interplay Chapter 12 Part 4  Conflict Management in Practice,https://www.youtube.com/watch?v=m90FgvZM-bk
48,Communication,Interpersonal Communication,,12th,English/Hindi,Module 13: Supportive Communication,Interplay Chapter 13 Section 1 and 2,https://www.youtube.com/watch?v=5Kpm-iobBa4
49,Communication,Interpersonal Communication,,12th,English/Hindi,Module 13: Supportive Communication,Interplay Chapter 13 Section 3 Creating Supportive Climates,https://www.youtube.com/watch?v=5NZARl4VeTI
50,Communication,Interpersonal Communication,,12th,English/Hindi,Module 13: Supportive Communication,Interplay Chapter 13 Section 4 Conversation  From Monologue to Dialogue,https://www.youtube.com/watch?v=2P2JzbSEgS4
51,Communication,Interpersonal Communication,,12th,English/Hindi,Module 14: Listening and Course Navigation,Interplay Chapter 8 Part 4 Types of Listening Responses,https://www.youtube.com/watch?v=bZ7-wtpB21s
52,Communication,Interpersonal Communication,,12th,English/Hindi,Module 14: Listening and Course Navigation,Interplay Chapter 8 Part 3 Components of Listening,https://www.youtube.com/watch?v=494K7j90ySs
53,Communication,Interpersonal Communication,,12th,English/Hindi,Module 15: Course Resources and Feedback,How to Navigate the Course Interpersonal Communication,https://www.youtube.com/watch?v=arTOaXAPtDI
54,Communication,Interpersonal Communication,,12th,English/Hindi,Module 15: Course Resources and Feedback,Formatting a Journal or Essay,https://www.youtube.com/watch?v=mSVxNIvGlu8
55,Communication,Interpersonal Communication,,12th,English/Hindi,Module 16: Course Navigation and Formatting,How to Navigate the Course Interpersonal Communication,https://www.youtube.com/watch?v=arTOaXAPtDI
56,Communication,Interpersonal Communication,,12th,English/Hindi,Module 16: Course Navigation and Formatting,Formatting a Journal or Essay,https://www.youtube.com/watch?v=mSVxNIvGlu8
57,Communication,Interpersonal Communication,,12th,English/Hindi,Module 16: Course Navigation and Formatting,Submitting Work and Accessing Feedback,https://www.youtube.com/watch?v=uOBVbxZtSRM
58,Communication,Interpersonal Communication,,12th,English/Hindi,Module 17: Weekly Overviews,Overview of Week 2  Chapter 2 and 3,https://www.youtube.com/watch?v=iNeypuhXqRo
59,Communication,Interpersonal Communication,,12th,English/Hindi,Module 17: Weekly Overviews,Three ways to get feedback on journals,https://www.youtube.com/watch?v=S_ES2PWBZWs
60,Communication,Interpersonal Communication,,12th,English/Hindi,Module 17: Weekly Overviews,Essay Overview,https://www.youtube.com/watch?v=0-YzF5d2EFw
61,Communication,Interpersonal Communication,,12th,English/Hindi,Module 18: Course Navigation and Work Submission,Week Three Overview,https://www.youtube.com/watch?v=RHJnOBrP2vI
62,Communication,Interpersonal Communication,,12th,English/Hindi,Module 18: Course Navigation and Work Submission,Navigating the Course,https://www.youtube.com/watch?v=-sB1DdXSyTw
63,Communication,Interpersonal Communication,,12th,English/Hindi,Module 18: Course Navigation and Work Submission,How to Navigate the Course Interpersonal Communication Summer 2024,https://www.youtube.com/watch?v=pBJ3MfHErbE
64,Communication,Interpersonal Communication,,12th,English/Hindi,Module 18: Course Navigation and Work Submission,Submitting Work and Accessing Feedback,https://www.youtube.com/watch?v=udn-QlmiW94
65,Communication,Interpersonal Communication,,12th,English/Hindi,Module 18: Course Navigation and Work Submission,"Formatting Work, Checking Feedback, Doing the Essay",https://www.youtube.com/watch?v=80RERqcXY04
66,Communication,Interpersonal Communication,,12th,English/Hindi,Module 18: Course Navigation and Work Submission,Oview of Work and Some Pointers  Week of June 24,https://www.youtube.com/watch?v=onTadU5gB9s
67,Communication,Interpersonal Communication,,12th,English/Hindi,Module 18: Course Navigation and Work Submission,Work for the Week of July 1 and a Few More Pointers,https://www.youtube.com/watch?v=rUd2iQJJ0Bs
