S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Communication,Lessons in Communication,33hrs 3min,12th,English/Hindi,Module 1: The Art of Connection,How to Be Unforgettable,https://www.youtube.com/watch?v=QIpoSmvsyJA
2,Communication,Lessons in Communication,,12th,English/Hindi,Module 1: The Art of Connection,Strategic Presence Over Zoom,https://www.youtube.com/watch?v=hWN4gAEJ-8k
3,Communication,Lessons in Communication,,12th,English/Hindi,Module 1: The Art of Connection,Tailoring Your Communication to Your Identity,https://www.youtube.com/watch?v=q2MBMivMzcA
4,Communication,Lessons in Communication,,12th,English/Hindi,Module 1: The Art of Connection,Let It Go: How to Recover from Stumbles in a Presentation,https://www.youtube.com/watch?v=oJ2WMhivEXM
5,Communication,Lessons in Communication,,12th,English/Hindi,Module 2: Mastering the Virtual Stage,Delivering a Successful Team Presentation,https://www.youtube.com/watch?v=_GRHmJjcTi0
6,Communication,Lessons in Communication,,12th,English/Hindi,Module 2: Mastering the Virtual Stage,Concision: Saying More with Less,https://www.youtube.com/watch?v=xiDb4Jdcg3A
7,Communication,Lessons in Communication,,12th,English/Hindi,Module 2: Mastering the Virtual Stage,Leading as Rookies,https://www.youtube.com/watch?v=2OZaRUDJSJA
8,Communication,Lessons in Communication,,12th,English/Hindi,Module 3: Finding Your Voice,Tailoring Your Communication: ESL,https://www.youtube.com/watch?v=pl70PsWreJk
9,Communication,Lessons in Communication,,12th,English/Hindi,Module 3: Finding Your Voice,"Communicating from Far, Far Away",https://www.youtube.com/watch?v=t2xp-zNWlPs
10,Communication,Lessons in Communication,,12th,English/Hindi,Module 3: Finding Your Voice,Delivering Authentic Video Communications,https://www.youtube.com/watch?v=tT0Zd3HyLXY
11,Communication,Lessons in Communication,,12th,English/Hindi,Module 4: Presentation Power,Effective Ways of Engaging in Small Group Networking Conversations,https://www.youtube.com/watch?v=WO7AFZWjy0E
12,Communication,Lessons in Communication,,12th,English/Hindi,Module 4: Presentation Power,How to Make the Best First Impressions,https://www.youtube.com/watch?v=Om7jApT9cVc
13,Communication,Lessons in Communication,,12th,English/Hindi,Module 4: Presentation Power,Communicating on Social Media,https://www.youtube.com/watch?v=D0b7UkEWTzU
14,Communication,Lessons in Communication,,12th,English/Hindi,Module 5: The Power of Concision,The 4-Hour Presentation,https://www.youtube.com/watch?v=pgPxjIdt2FA
15,Communication,Lessons in Communication,,12th,English/Hindi,Module 5: The Power of Concision,To Text or Not to Text,https://www.youtube.com/watch?v=SPJit13y4Bc
16,Communication,Lessons in Communication,,12th,English/Hindi,Module 6: Leading with Confidence,How to Make a Great First Impression on a Date,https://www.youtube.com/watch?v=F1wHweIwL58
17,Communication,Lessons in Communication,,12th,English/Hindi,Module 6: Leading with Confidence,How to Start a Speech,https://www.youtube.com/watch?v=QqrY955QpzE
18,Communication,Lessons in Communication,,12th,English/Hindi,Module 7: Communicating Across Cultures,Will They Swipe Right? How to Effectively Communicate your Online Brand,https://www.youtube.com/watch?v=im-RbL0qZZo
19,Communication,Lessons in Communication,,12th,English/Hindi,Module 7: Communicating Across Cultures,Delivering Difficult News,https://www.youtube.com/watch?v=UAInkDRqgac
20,Communication,Lessons in Communication,,12th,English/Hindi,Module 7: Communicating Across Cultures,TENT: Responding with Power,https://www.youtube.com/watch?v=xkz5QMc8WKc
21,Communication,Lessons in Communication,,12th,English/Hindi,Module 8: Mastering Remote Communication,Audience Re-Engagement,https://www.youtube.com/watch?v=3SomiN-6LGc
22,Communication,Lessons in Communication,,12th,English/Hindi,Module 8: Mastering Remote Communication,How to Make an Impromptu Toast,https://www.youtube.com/watch?v=PJew8Foxf88
23,Communication,Lessons in Communication,,12th,English/Hindi,Module 9: The Art of Networking,The Audience is a Hero,https://www.youtube.com/watch?v=TbRcIuyg9mQ
24,Communication,Lessons in Communication,,12th,English/Hindi,Module 9: The Art of Networking,Communicating Authenticity in Different Contexts,https://www.youtube.com/watch?v=sHGgkEGfj3c
25,Communication,Lessons in Communication,,12th,English/Hindi,Module 9: The Art of Networking,Making First and Lasting Impressions,https://www.youtube.com/watch?v=ukWxfL7cBw0
26,Communication,Lessons in Communication,,12th,English/Hindi,Module 10: First Impressions,Wedding Speeches,https://www.youtube.com/watch?v=mMrsnxj3WHc
27,Communication,Lessons in Communication,,12th,English/Hindi,Module 10: First Impressions,Science of Storytelling,https://www.youtube.com/watch?v=dIA2vxqvn04
28,Communication,Lessons in Communication,,12th,English/Hindi,Module 11: Navigating Social Media,The Art of the Pitch,https://www.youtube.com/watch?v=-o38k_8mi7M
29,Communication,Lessons in Communication,,12th,English/Hindi,Module 11: Navigating Social Media,"Hand written communication —  thank you notes, cards, letters",https://www.youtube.com/watch?v=sDrEWEI2PuA
30,Communication,Lessons in Communication,,12th,English/Hindi,Module 12: Mastering the Short Presentation,Painless Panels,https://www.youtube.com/watch?v=8L9ZzADzDo4
31,Communication,Lessons in Communication,,12th,English/Hindi,Module 12: Mastering the Short Presentation,Verbal Elements for a Powerful Speech,https://www.youtube.com/watch?v=P0oVrF8Rbd0
32,Communication,Lessons in Communication,,12th,English/Hindi,Module 13: Communication Etiquette,Communication in Cross Cultural Negotiations,https://www.youtube.com/watch?v=LC_EXd0uWnA
33,Communication,Lessons in Communication,,12th,English/Hindi,Module 13: Communication Etiquette,The Power of Visuals,https://www.youtube.com/watch?v=3t70HUShfa0
34,Communication,Lessons in Communication,,12th,English/Hindi,Module 14: Dating and Communication,Choosing a Mode of Communication,https://www.youtube.com/watch?v=il9NRiJcMRY
35,Communication,Lessons in Communication,,12th,English/Hindi,Module 14: Dating and Communication,Lost in Translation: How to Communicate Across Cultures,https://www.youtube.com/watch?v=QjEDxlzZnIo
36,Communication,Lessons in Communication,,12th,English/Hindi,Module 15: Starting Strong,Dress to Communicate,https://www.youtube.com/watch?v=_tAyf9tOkW4
37,Communication,Lessons in Communication,,12th,English/Hindi,Module 15: Starting Strong,Improv at Work,https://www.youtube.com/watch?v=bY1NBW941c8
38,Communication,Lessons in Communication,,12th,English/Hindi,Module 16: Building Your Online Brand,Tips for Effective MBA Class Participation,https://www.youtube.com/watch?v=ygKOL9A1OdE
39,Communication,Lessons in Communication,,12th,English/Hindi,Module 16: Building Your Online Brand,Understanding Authenticity in the Context of Selling,https://www.youtube.com/watch?v=eiGOwiGRzOk
40,Communication,Lessons in Communication,,12th,English/Hindi,Module 17: Delivering Difficult Messages,Building Your Brand Through Social Media,https://www.youtube.com/watch?v=6iNGQ-Pq2T4
41,Communication,Lessons in Communication,,12th,English/Hindi,Module 17: Delivering Difficult Messages,Use Body Language to Rock Your Next Presentation,https://www.youtube.com/watch?v=pp4YlyXjcKI
42,Communication,Lessons in Communication,,12th,English/Hindi,Module 18: Responding with Power,Becoming a Sensitive Global Communicator,https://www.youtube.com/watch?v=2RGYy8g1cDY
43,Communication,Lessons in Communication,,12th,English/Hindi,Module 18: Responding with Power,How to Be a Virtual Meeting Hero,https://www.youtube.com/watch?v=VSHWXo3ZyyA
44,Communication,Lessons in Communication,,12th,English/Hindi,Module 19: Engaging Your Audience,Dressing for Impact,https://www.youtube.com/watch?v=gIHLlnru4-0
45,Communication,Lessons in Communication,,12th,English/Hindi,Module 19: Engaging Your Audience,How to Resonate With Your Audience,https://www.youtube.com/watch?v=yAORP7tfxcc
46,Communication,Lessons in Communication,,12th,English/Hindi,Module 20: The Art of the Toast,Decoding Deceptive Body Language,https://www.youtube.com/watch?v=Zg2j3w6yY0A
47,Communication,Lessons in Communication,,12th,English/Hindi,Module 20: The Art of the Toast,Making Your Message Media Friendly,https://www.youtube.com/watch?v=P3pY7HCgVrM
48,Communication,Lessons in Communication,,12th,English/Hindi,Module 21: Understanding Your Audience,Answering Tough Questions,https://www.youtube.com/watch?v=hSeAGSPDG4w
49,Communication,Lessons in Communication,,12th,English/Hindi,Module 21: Understanding Your Audience,"Improv Wisdom: Don’t Prepare, Just Show Up",https://www.youtube.com/watch?v=A_WjNz3Foro
