S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Communication,Organizational Communication,6hrs 10min,12th,English/Hindi,Module 1: Introduction to Organizational Communication,Organizational Communication,https://www.youtube.com/watch?v=FeHnG8P_8y8
2,Communication,Organizational Communication,,12th,English/Hindi,Module 1: Introduction to Organizational Communication,The Modern Organization,https://www.youtube.com/watch?v=l3IwAaAMY-g
3,Communication,Organizational Communication,,12th,English/Hindi,Module 1: Introduction to Organizational Communication,Organizations as Communicative Structures of Power,https://www.youtube.com/watch?v=lZTMOfhFZxw
4,Communication,Organizational Communication,,12th,English/Hindi,Module 1: Introduction to Organizational Communication,Defining Organizational Communication,https://www.youtube.com/watch?v=j4bDdwxhkj4
5,Communication,Organizational Communication,,12th,English/Hindi,Module 2: Organizations as Structures of Power,Communication in Organizations,https://www.youtube.com/watch?v=67lHPV_R730
6,Communication,Organizational Communication,,12th,English/Hindi,Module 2: Organizations as Structures of Power,Organizations as Communication,https://www.youtube.com/watch?v=Nc4Yx03GRjw
7,Communication,Organizational Communication,,12th,English/Hindi,Module 2: Organizations as Structures of Power,Interdependence in Organizations and Communication,https://www.youtube.com/watch?v=zqEFW09Vp2s
8,Communication,Organizational Communication,,12th,English/Hindi,Module 3: Critical Approaches to Organizational Communication,Differentiation of Tasks and Functions in Communication,https://www.youtube.com/watch?v=98SGNM4glC8
9,Communication,Organizational Communication,,12th,English/Hindi,Module 3: Critical Approaches to Organizational Communication,Control Processes in Communication,https://www.youtube.com/watch?v=1I3C8fDjEAo
10,Communication,Organizational Communication,,12th,English/Hindi,Module 3: Critical Approaches to Organizational Communication,"Communication, Organizations, and Work",https://www.youtube.com/watch?v=slgwBn6Eh74
11,Communication,Organizational Communication,,12th,English/Hindi,Module 4: The Fordist Organization and Communication,Theory in the Critical Analysis of Organizational Communication,https://www.youtube.com/watch?v=Xrhi1Ww8poE
12,Communication,Organizational Communication,,12th,English/Hindi,Module 4: The Fordist Organization and Communication,Unpacking the Critical Approach to Communication,https://www.youtube.com/watch?v=J0EAxsyCtIA
13,Communication,Organizational Communication,,12th,English/Hindi,Module 4: The Fordist Organization and Communication,Critiquing Cultural Studies in Communication,https://www.youtube.com/watch?v=e6qLEkWCfiQ
14,Communication,Organizational Communication,,12th,English/Hindi,Module 4: The Fordist Organization and Communication,Organizational Communication From a Critical Perspective,https://www.youtube.com/watch?v=PVmsSE6D4Bk
15,Communication,Organizational Communication,,12th,English/Hindi,Module 5: The Human Relations School and Communication,The Fordist Organization,https://www.youtube.com/watch?v=Kg4h4GYtVZM
16,Communication,Organizational Communication,,12th,English/Hindi,Module 5: The Human Relations School and Communication,Fordism and Scientific Management,https://www.youtube.com/watch?v=vnXPGaav3WQ
17,Communication,Organizational Communication,,12th,English/Hindi,Module 5: The Human Relations School and Communication,Fordism and the Human Relations School,https://www.youtube.com/watch?v=h1BeViFqWWs
18,Communication,Organizational Communication,,12th,English/Hindi,Module 6: The Systems Perspective on Communication,Communication Implications of the Hawthorne Studies,https://www.youtube.com/watch?v=jMzwaqLSveQ
