S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Communication,Political Leadership and Communication (SEC) | Study Material | B.A. (Hons. / Prog) | B.Com (Hons. / Prog.) | B.Sc. (Hons./Prog.) | DU / SOL / NCWEB |,12hrs 11min,12th,English/Hindi,Module 1: Explaining Political Communication,Study Material Unit-1 Explaining Political Communication | Political leadership and communication,https://www.youtube.com/watch?v=KssEYxKT3io
2,Communication,Political Leadership and Communication (SEC) | Study Material | B.A. (Hons. / Prog) | B.Com (Hons. / Prog.) | B.Sc. (Hons./Prog.) | DU / SOL / NCWEB |,,12th,English/Hindi,Module 1: Explaining Political Communication,Syllabus of Political leadership and Communication (SEC) in English and Hindi,https://www.youtube.com/watch?v=xL8WJ9IPRB0
3,Communication,Political Leadership and Communication (SEC) | Study Material | B.A. (Hons. / Prog) | B.Com (Hons. / Prog.) | B.Sc. (Hons./Prog.) | DU / SOL / NCWEB |,,12th,English/Hindi,Module 1: Explaining Political Communication,LECTURE UNIT- 1 | Explaining Political Communication | Poltical leadership and Communication (SEC),https://www.youtube.com/watch?v=EwKeoWI2Mm0
4,Communication,Political Leadership and Communication (SEC) | Study Material | B.A. (Hons. / Prog) | B.Com (Hons. / Prog.) | B.Sc. (Hons./Prog.) | DU / SOL / NCWEB |,,12th,English/Hindi,Module 1: Explaining Political Communication,Previous Year Questions Unit-1| Explaining Political Communication | Political Leadership and Comm.,https://www.youtube.com/watch?v=Nu9ZUlckp0Y
5,Communication,Political Leadership and Communication (SEC) | Study Material | B.A. (Hons. / Prog) | B.Com (Hons. / Prog.) | B.Sc. (Hons./Prog.) | DU / SOL / NCWEB |,,12th,English/Hindi,Module 2: Exploring Leadership,Study Material/Notes Unit- 2 | Exploring Leadership | Political Leadership And Commmunication (SEC),https://www.youtube.com/watch?v=bAZJr177XVY
6,Communication,Political Leadership and Communication (SEC) | Study Material | B.A. (Hons. / Prog) | B.Com (Hons. / Prog.) | B.Sc. (Hons./Prog.) | DU / SOL / NCWEB |,,12th,English/Hindi,Module 2: Exploring Leadership,LECTURE UNIT- 2 | Part- 1| Exploring Leadership | Political Leadership And Communication (SEC) | DU,https://www.youtube.com/watch?v=UNOF-pm4aNE
7,Communication,Political Leadership and Communication (SEC) | Study Material | B.A. (Hons. / Prog) | B.Com (Hons. / Prog.) | B.Sc. (Hons./Prog.) | DU / SOL / NCWEB |,,12th,English/Hindi,Module 2: Exploring Leadership,LECTURE UNIT- 2 | Part- 2 | Exploring Leadership | Political Leadership and Communication (SEC) | DU,https://www.youtube.com/watch?v=GTcFKFHtrIE
8,Communication,Political Leadership and Communication (SEC) | Study Material | B.A. (Hons. / Prog) | B.Com (Hons. / Prog.) | B.Sc. (Hons./Prog.) | DU / SOL / NCWEB |,,12th,English/Hindi,Module 2: Exploring Leadership,Previous Year Questions Unit- 2 | Exploring Leadership | Political Leadership & Communication (SEC),https://www.youtube.com/watch?v=6AwxltyGyv0
9,Communication,Political Leadership and Communication (SEC) | Study Material | B.A. (Hons. / Prog) | B.Com (Hons. / Prog.) | B.Sc. (Hons./Prog.) | DU / SOL / NCWEB |,,12th,English/Hindi,Module 3: Expanding Political Communication and Leadership: Orientation and Action,Study Material | Unit- 3 | Expanding Political Communication and Leadership: Orientation and Action,https://www.youtube.com/watch?v=Vhx-dFq7CvE
10,Communication,Political Leadership and Communication (SEC) | Study Material | B.A. (Hons. / Prog) | B.Com (Hons. / Prog.) | B.Sc. (Hons./Prog.) | DU / SOL / NCWEB |,,12th,English/Hindi,Module 3: Expanding Political Communication and Leadership: Orientation and Action,LECTURE UNIT- 3 | Part- 1| Expanding Political Communication and Leadership: Orientation and Action,https://www.youtube.com/watch?v=f16ePYv95J0
11,Communication,Political Leadership and Communication (SEC) | Study Material | B.A. (Hons. / Prog) | B.Com (Hons. / Prog.) | B.Sc. (Hons./Prog.) | DU / SOL / NCWEB |,,12th,English/Hindi,Module 3: Expanding Political Communication and Leadership: Orientation and Action,LECTURE UNIT 3 | Part- 2 | Expanding Political Communication and Leadership: Orientation and Action,https://www.youtube.com/watch?v=Pay-qP3CC1E
12,Communication,Political Leadership and Communication (SEC) | Study Material | B.A. (Hons. / Prog) | B.Com (Hons. / Prog.) | B.Sc. (Hons./Prog.) | DU / SOL / NCWEB |,,12th,English/Hindi,Module 3: Expanding Political Communication and Leadership: Orientation and Action,LECTURE UNIT- 3 | Part- 3 | Expanding Political Communication and Leadership: Orientation and Action,https://www.youtube.com/watch?v=ZzzTZV4Hrpc
13,Communication,Political Leadership and Communication (SEC) | Study Material | B.A. (Hons. / Prog) | B.Com (Hons. / Prog.) | B.Sc. (Hons./Prog.) | DU / SOL / NCWEB |,,12th,English/Hindi,Module 4: Extending Political Communication and Leadership: Opinion & Exit poll,Study Material | Unit- 4 | Extending Political Communication and Leadership: Opinion & Exit poll,https://www.youtube.com/watch?v=6Hpsmk-Du2E
14,Communication,Political Leadership and Communication (SEC) | Study Material | B.A. (Hons. / Prog) | B.Com (Hons. / Prog.) | B.Sc. (Hons./Prog.) | DU / SOL / NCWEB |,,12th,English/Hindi,Module 4: Extending Political Communication and Leadership: Opinion & Exit poll,LECTURE UNIT - 4 | Part -1 | Extending Political Communication and Leadership: Opinion & Exit poll,https://www.youtube.com/watch?v=-klvCS9NWd0
15,Communication,Political Leadership and Communication (SEC) | Study Material | B.A. (Hons. / Prog) | B.Com (Hons. / Prog.) | B.Sc. (Hons./Prog.) | DU / SOL / NCWEB |,,12th,English/Hindi,Module 4: Extending Political Communication and Leadership: Opinion & Exit poll,LECTURE UNIT - 4 | Part - 2 | Extending Political Communication and Leadership: Opinion & Exit poll,https://www.youtube.com/watch?v=fkbWrTsMRJ8
16,Communication,Political Leadership and Communication (SEC) | Study Material | B.A. (Hons. / Prog) | B.Com (Hons. / Prog.) | B.Sc. (Hons./Prog.) | DU / SOL / NCWEB |,,12th,English/Hindi,Module 4: Extending Political Communication and Leadership: Opinion & Exit poll,LECTURE UNIT - 4 | Part - 3 | Extending Political Communication and Leadership: Opinion & Exit poll,https://www.youtube.com/watch?v=PvreyQegnpA
17,Communication,Political Leadership and Communication (SEC) | Study Material | B.A. (Hons. / Prog) | B.Com (Hons. / Prog.) | B.Sc. (Hons./Prog.) | DU / SOL / NCWEB |,,12th,English/Hindi,Module 4: Extending Political Communication and Leadership: Opinion & Exit poll,LECTURE UNIT - 4 | Part - 4 | Extending Political Communication and Leadership: Opinion & Exit poll,https://www.youtube.com/watch?v=NBr63tTvcuY
18,Communication,Political Leadership and Communication (SEC) | Study Material | B.A. (Hons. / Prog) | B.Com (Hons. / Prog.) | B.Sc. (Hons./Prog.) | DU / SOL / NCWEB |,,12th,English/Hindi,Module 5: Executing Political Comm. & Leadrsp. Empirical & Professional Implication,LECTURE UNIT- 5 | Part 1 | Executing Political Comm. & Leadrsp. Empirical & Professional Implication,https://www.youtube.com/watch?v=nHBBqkvDxuY
19,Communication,Political Leadership and Communication (SEC) | Study Material | B.A. (Hons. / Prog) | B.Com (Hons. / Prog.) | B.Sc. (Hons./Prog.) | DU / SOL / NCWEB |,,12th,English/Hindi,Module 5: Executing Political Comm. & Leadrsp. Empirical & Professional Implication,LECTURE UNIT- 5 | Part 2 | Executing Political Comm. & Leadrsp. Empirical & Professional Implication,https://www.youtube.com/watch?v=0IWznsYYxbY
