S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Economics,Complete Macroeconomics,40hrs 11min,12th,English/Hindi,Module 1: Introduction to National Income,#1 Circular flow of income by Hardev Thakur,https://www.youtube.com/watch?v=1gddMXv-ujk
2,Economics,Complete Macroeconomics,,12th,English/Hindi,Module 1: Introduction to National Income,#2 GDP GNP NDP NNP (Aggregates of National Income) by Hardev Thakur,https://www.youtube.com/watch?v=Oqg2wVgD-24
3,Economics,Complete Macroeconomics,,12th,English/Hindi,Module 1: Introduction to National Income,"#3 Difference between GDP, GNP, and GNI by Hardev Thakur",https://www.youtube.com/watch?v=wirAobUvnM0
4,Economics,Complete Macroeconomics,,12th,English/Hindi,Module 1: Introduction to National Income,#4 Value added method (Calculating National Income) by Hardev Thakur,https://www.youtube.com/watch?v=lp6iUGt4470
5,Economics,Complete Macroeconomics,,12th,English/Hindi,Module 2: National Income Concepts and Measurement,#5 Income method (Calculation of National Income) by Hardev Thakur,https://www.youtube.com/watch?v=pXnYTmgnK6g
6,Economics,Complete Macroeconomics,,12th,English/Hindi,Module 2: National Income Concepts and Measurement,#6 Expenditure method (Calculation of National income) by Hardev Thakur,https://www.youtube.com/watch?v=Or083v-dZrs
7,Economics,Complete Macroeconomics,,12th,English/Hindi,Module 2: National Income Concepts and Measurement,#7 Private Income and Personal Income | by Hardev Thakur,https://www.youtube.com/watch?v=GeUWLWLvKkc
8,Economics,Complete Macroeconomics,,12th,English/Hindi,Module 3: National Income Determination,"#8 Real GDP, Nominal GDP and GDP deflator by Hardev Thakur",https://www.youtube.com/watch?v=MAlSV18A4uc
9,Economics,Complete Macroeconomics,,12th,English/Hindi,Module 3: National Income Determination,#09 Classical theory of Income and Employment by Hardev Thakur,https://www.youtube.com/watch?v=knysAaTDpJk
10,Economics,Complete Macroeconomics,,12th,English/Hindi,Module 3: National Income Determination,#10 Keynes theory of employment by Hardev Thakur,https://www.youtube.com/watch?v=q7E10vZTylU
11,Economics,Complete Macroeconomics,,12th,English/Hindi,Module 3: National Income Determination,#11 Keynes Two sector Model by Hardev Thakur,https://www.youtube.com/watch?v=HFz03NDFBlk
12,Economics,Complete Macroeconomics,,12th,English/Hindi,Module 4: The Keynesian Model,#12 Ex-post and Ex-ante saving and investment by Hardev Thakur,https://www.youtube.com/watch?v=I2w3XqfyWqE
13,Economics,Complete Macroeconomics,,12th,English/Hindi,Module 4: The Keynesian Model,#13 Investment multiplier by Hardev Thakur,https://www.youtube.com/watch?v=wA3lANyRNyI
14,Economics,Complete Macroeconomics,,12th,English/Hindi,Module 4: The Keynesian Model,#14 Government Expenditure Multiplier by Hardev Thakur,https://www.youtube.com/watch?v=_1faCrVQA3s
15,Economics,Complete Macroeconomics,,12th,English/Hindi,Module 4: The Keynesian Model,#15 Tax Multiplier by Hardev Thakur,https://www.youtube.com/watch?v=m-IPEjWbOaA
