S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Finance,Corporate Finance,123hrs 12min,12th,English/Hindi,Module 1: Introduction to Corporate Finance,Introduction to Corporate Finance by CA. Mannu Goyal,https://www.youtube.com/watch?v=FLWG3LgNFPo
2,Finance,Corporate Finance,,12th,English/Hindi,Module 1: Introduction to Corporate Finance,"Evolution of Finance, Role of Finance Mgr., Profit Vs Wealth Maximization by CA. Mannu Goyal",https://www.youtube.com/watch?v=OGF3gEPOA8w
3,Finance,Corporate Finance,,12th,English/Hindi,Module 1: Introduction to Corporate Finance,"Agency Problem and Costs, Sources of Finance and its Classification by CA. Mannu Goyal",https://www.youtube.com/watch?v=Bfq5mmj-ogc
4,Finance,Corporate Finance,,12th,English/Hindi,Module 1: Introduction to Corporate Finance,Sources of Finance Part 2 by CA. Mannu Goyal,https://www.youtube.com/watch?v=uha0hqblFsI
5,Finance,Corporate Finance,,12th,English/Hindi,Module 2: International Financing,"International Financing (ADR, GDR, IDR and FCCB) by CA. Mannu Goyal",https://www.youtube.com/watch?v=abYqlVGL9bk
6,Finance,Corporate Finance,,12th,English/Hindi,Module 2: International Financing,"Factors Affecting the choice of the Source of Funds, Equity Shares by CA. Mannu Goyal",https://www.youtube.com/watch?v=Pl38weGOtUI
7,Finance,Corporate Finance,,12th,English/Hindi,Module 2: International Financing,"Types of Share Capital, Right Shares, Bonus Shares, Sweat Equity Shares by CA. Mannu Goyal",https://www.youtube.com/watch?v=zaf-hh8xyyY
8,Finance,Corporate Finance,,12th,English/Hindi,Module 2: International Financing,Preference Shares and its Types by CA. Mannu Goyal,https://www.youtube.com/watch?v=O930fRWXIok
9,Finance,Corporate Finance,,12th,English/Hindi,Module 3: Time Value of Money - Concepts & Applications,Time Value of Money Part 1 by CA. Mannu Goyal,https://www.youtube.com/watch?v=cnEFYEd8QEk
10,Finance,Corporate Finance,,12th,English/Hindi,Module 3: Time Value of Money - Concepts & Applications,Time Value of Money Part 2 by CA. Mannu Goyal,https://www.youtube.com/watch?v=oY-mmmiD5qA
11,Finance,Corporate Finance,,12th,English/Hindi,Module 3: Time Value of Money - Concepts & Applications,Time Value of Money Part 3 by CA. Mannu Goyal,https://www.youtube.com/watch?v=raFDb0U8D9M
12,Finance,Corporate Finance,,12th,English/Hindi,Module 3: Time Value of Money - Concepts & Applications,Capital Budgeting Part 1 by CA. Mannu Goyal,https://www.youtube.com/watch?v=Unjs_BGXI2g
13,Finance,Corporate Finance,,12th,English/Hindi,Module 4: Capital Budgeting - Risk Analysis & Decision Making,Capital Budgeting Part 2 by CA. Mannu Goyal,https://www.youtube.com/watch?v=1QGul81uphk
14,Finance,Corporate Finance,,12th,English/Hindi,Module 4: Capital Budgeting - Risk Analysis & Decision Making,Capital Budgeting Part 3 by CA. Mannu Goyal,https://www.youtube.com/watch?v=GErRiN8Icjg
15,Finance,Corporate Finance,,12th,English/Hindi,Module 4: Capital Budgeting - Risk Analysis & Decision Making,Capital Budgeting Part 4 by CA. Mannu Goyal,https://www.youtube.com/watch?v=Wxz6zLpeH8M
16,Finance,Corporate Finance,,12th,English/Hindi,Module 4: Capital Budgeting - Risk Analysis & Decision Making,Capital Budgeting Part 5 by CA. Mannu Goyal,https://www.youtube.com/watch?v=r9ZQk0_Xk5Q
17,Finance,Corporate Finance,,12th,English/Hindi,Module 5: Working Capital Management - Overview & Techniques,Capital Budgeting Part 6 by CA. Mannu Goyal,https://www.youtube.com/watch?v=mHwvLyDi318
18,Finance,Corporate Finance,,12th,English/Hindi,Module 5: Working Capital Management - Overview & Techniques,Capital Budgeting Part 7 by CA. Mannu Goyal,https://www.youtube.com/watch?v=so5x2t2XOrQ
19,Finance,Corporate Finance,,12th,English/Hindi,Module 5: Working Capital Management - Overview & Techniques,Capital Budgeting Part 8 by CA. Mannu Goyal,https://www.youtube.com/watch?v=UTeyN6OTuHg
20,Finance,Corporate Finance,,12th,English/Hindi,Module 5: Working Capital Management - Overview & Techniques,Capital Structure Part 1 by CA. Mannu Goyal,https://www.youtube.com/watch?v=7TGzNW0vSBs
21,Finance,Corporate Finance,,12th,English/Hindi,Module 5: Working Capital Management - Overview & Techniques,Capital Budgeting Part 9 by CA. Mannu Goyal,https://www.youtube.com/watch?v=lv3kou_162s
22,Finance,Corporate Finance,,12th,English/Hindi,Module 5: Working Capital Management - Overview & Techniques,Working Capital Management Part 1 by CA. Mannu Goyal,https://www.youtube.com/watch?v=u2DMk-G8G2U
23,Finance,Corporate Finance,,12th,English/Hindi,Module 5: Working Capital Management - Overview & Techniques,Working Capital Management Part 2 by CA. Mannu Goyal,https://www.youtube.com/watch?v=AjwJot16Oyg
24,Finance,Corporate Finance,,12th,English/Hindi,Module 5: Working Capital Management - Overview & Techniques,Capital Budgeting Part 10 by CA. Mannu Goyal,https://www.youtube.com/watch?v=TiS919_eYbE
25,Finance,Corporate Finance,,12th,English/Hindi,Module 5: Working Capital Management - Overview & Techniques,Time Value of Money Part 4 ( Practical case study) by CA. Mannu Goyal,https://www.youtube.com/watch?v=hOwfvUT678A
26,Finance,Corporate Finance,,12th,English/Hindi,Module 5: Working Capital Management - Overview & Techniques,Corporate Finance Lecture 26,https://www.youtube.com/watch?v=shzdudKPQm4
