S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Finance,DERIVATIVES COMPLETE CHAPTER,205hrs 11min,12th,English/Hindi,Module 1: Introduction to Derivatives,DERIVATIVES LECTURE NO. 1,https://www.youtube.com/watch?v=jOMCrUG1sAQ
2,Finance,DERIVATIVES COMPLETE CHAPTER,,12th,English/Hindi,Module 1: Introduction to Derivatives,DERIVATIVES LECTURE NO. 2,https://www.youtube.com/watch?v=qMzUWO8heOI
3,Finance,DERIVATIVES COMPLETE CHAPTER,,12th,English/Hindi,Module 1: Introduction to Derivatives,DERIVATIVES LECTURE NO. 3,https://www.youtube.com/watch?v=dKAyeGVO2LY
4,Finance,DERIVATIVES COMPLETE CHAPTER,,12th,English/Hindi,Module 1: Introduction to Derivatives,DERIVATIVES LECTURE NO. 4,https://www.youtube.com/watch?v=py4sUzZzGz4
5,Finance,DERIVATIVES COMPLETE CHAPTER,,12th,English/Hindi,Module 2: Derivatives Pricing,DERIVATIVES LECTURE NO. 5,https://www.youtube.com/watch?v=Jkvz8Mu1esc
6,Finance,DERIVATIVES COMPLETE CHAPTER,,12th,English/Hindi,Module 2: Derivatives Pricing,DERIVATIVES LECTURE NO. 6,https://www.youtube.com/watch?v=Y3raNNxDvSQ
7,Finance,DERIVATIVES COMPLETE CHAPTER,,12th,English/Hindi,Module 2: Derivatives Pricing,DERIVATIVES LECTURE NO. 7,https://www.youtube.com/watch?v=06lmmlyV7SY
8,Finance,DERIVATIVES COMPLETE CHAPTER,,12th,English/Hindi,Module 2: Derivatives Pricing,DERIVATIVES LECTURE NO. 8,https://www.youtube.com/watch?v=3K8qGmEGapI
9,Finance,DERIVATIVES COMPLETE CHAPTER,,12th,English/Hindi,Module 3: Exotic Options,DERIVATIVES LECTURE NO. 9,https://www.youtube.com/watch?v=wXbQJcZdiEc
10,Finance,DERIVATIVES COMPLETE CHAPTER,,12th,English/Hindi,Module 3: Exotic Options,DERIVATIVES LECTURE NO. 10,https://www.youtube.com/watch?v=7SanHebMufI
11,Finance,DERIVATIVES COMPLETE CHAPTER,,12th,English/Hindi,Module 3: Exotic Options,DERIVATIVES LECTURE NO. 11,https://www.youtube.com/watch?v=55kEQmYLEVg
12,Finance,DERIVATIVES COMPLETE CHAPTER,,12th,English/Hindi,Module 3: Exotic Options,DERIVATIVES LECTURE NO. 12,https://www.youtube.com/watch?v=6iQCq0GqcRk
13,Finance,DERIVATIVES COMPLETE CHAPTER,,12th,English/Hindi,Module 4: Interest Rate Derivatives,DERIVATIVES LECTURE NO. 13,https://www.youtube.com/watch?v=lRG3W6M0GuQ
14,Finance,DERIVATIVES COMPLETE CHAPTER,,12th,English/Hindi,Module 4: Interest Rate Derivatives,DERIVATIVES LECTURE NO. 14,https://www.youtube.com/watch?v=HFj9cw74CDI
15,Finance,DERIVATIVES COMPLETE CHAPTER,,12th,English/Hindi,Module 4: Interest Rate Derivatives,DERIVATIVES LECTURE NO. 15,https://www.youtube.com/watch?v=yh4y1mTb1iU
16,Finance,DERIVATIVES COMPLETE CHAPTER,,12th,English/Hindi,Module 4: Interest Rate Derivatives,DERIVATIVES LECTURE NO. 16,https://www.youtube.com/watch?v=vh3y9pB2uc0
17,Finance,DERIVATIVES COMPLETE CHAPTER,,12th,English/Hindi,Module 4: Interest Rate Derivatives,DERIVATIVES LECTURE NO. 17,https://www.youtube.com/watch?v=P7O4ql-fht0
18,Finance,DERIVATIVES COMPLETE CHAPTER,,12th,English/Hindi,Module 4: Interest Rate Derivatives,DERIVATIVES LECTURE NO. 18,https://www.youtube.com/watch?v=TXEiZ2vtJEE
