S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Economics,Economic History of India,32hrs 15min,12th,English/Hindi,Module 1: Agrarian Structure and Land Relations,Agrarian Structure and Land Relations | Part 1 | Zamindari System | Economic History of India | 1 |,https://www.youtube.com/watch?v=-nK3EtxRoyg
2,Economics,Economic History of India,,12th,English/Hindi,Module 1: Agrarian Structure and Land Relations,Agrarian Structure and Land Relations | Part 2 | Mahalwari and Ryotwari System | Tenancy Acts | 2 |,https://www.youtube.com/watch?v=bcgEMEhH-m8
3,Economics,Economic History of India,,12th,English/Hindi,Module 1: Agrarian Structure and Land Relations,Famines in India |Famines in British India |Causes of Famines in British India |Economic History||4|,https://www.youtube.com/watch?v=67kJJ0yi31s
4,Economics,Economic History of India,,12th,English/Hindi,Module 1: Agrarian Structure and Land Relations,Commercialisation of Indian Agriculture in British India | Economic History of India | 3 |,https://www.youtube.com/watch?v=wv8xWFaQfkE
5,Economics,Economic History of India,,12th,English/Hindi,Module 2: Infrastructure and Deindustrialization,Railways during British Rule |Old & New Guarantee System |Impact of Railways| Economic History | 5 |,https://www.youtube.com/watch?v=hC2ceM6eZPA
6,Economics,Economic History of India,,12th,English/Hindi,Module 2: Infrastructure and Deindustrialization,Deindustrialization in India |Causes of Deindustrialization in Colonial India |Economic History| 6 |,https://www.youtube.com/watch?v=mVob7cJNdMg
7,Economics,Economic History of India,,12th,English/Hindi,Module 3: Industrial Evolution and Structure,Evolution of Entrepreneurial and Industrial structure during British Rule | Economic History | 7 |,https://www.youtube.com/watch?v=h4rvet-rsHU
8,Economics,Economic History of India,,12th,English/Hindi,Module 3: Industrial Evolution and Structure,Industrial Structure in Colonial India upto First World War | Economic History of India | 8 |,https://www.youtube.com/watch?v=Ba1mN03dF3E
9,Economics,Economic History of India,,12th,English/Hindi,Module 3: Industrial Evolution and Structure,Nature of Industrialisation during Interwar years in Colonial India | Economic History of India | 9|,https://www.youtube.com/watch?v=nxwMI8y_soA
10,Economics,Economic History of India,,12th,English/Hindi,Module 4: Foreign Trade and Drain of Wealth,Foreign Trade during British Rule in India | Economic History of India | 10 |,https://www.youtube.com/watch?v=BXCBeiOECeo
11,Economics,Economic History of India,,12th,English/Hindi,Module 4: Foreign Trade and Drain of Wealth,Drain of Wealth | Causes of Drain of Wealth | Economic History of India | 11 |,https://www.youtube.com/watch?v=-oguIPhq2R8
