S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Finance,FR PART-1 VOL-1,60hrs 22min,12th,English/Hindi,Module 1: Overview of Financial Regulations,FINANCIAL REGULATIONS PART-1 VOL-1 OVERVIEW,https://www.youtube.com/watch?v=mIOirHcixrs
2,Finance,FR PART-1 VOL-1,,12th,English/Hindi,Module 1: Overview of Financial Regulations,FINANCIAL REGULATIONS CHAPTER-1,https://www.youtube.com/watch?v=SO9xxqz9Ofc
3,Finance,FR PART-1 VOL-1,,12th,English/Hindi,Module 1: Overview of Financial Regulations,FINANCIAL REGULATIONS CHAPTER-2 PART-1 &(REMAINING CHAPTER-1),https://www.youtube.com/watch?v=QuXtomaVqUY
4,Finance,FR PART-1 VOL-1,,12th,English/Hindi,Module 1: Overview of Financial Regulations,FINANCIAL REGULATIONS CHAPTER-2 PART-2,https://www.youtube.com/watch?v=u8Gcgobtma4
5,Finance,FR PART-1 VOL-1,,12th,English/Hindi,Module 2: Deep Dive into Financial Regulations - Chapter 2,FINANCIAL REGULATIONS CHAPTER-2 PART-3,https://www.youtube.com/watch?v=wS4zZg1ups0
6,Finance,FR PART-1 VOL-1,,12th,English/Hindi,Module 2: Deep Dive into Financial Regulations - Chapter 2,FINANCIAL REGULATIONS CHAPTER-2 PART-4,https://www.youtube.com/watch?v=BZTSg8hcDcQ
7,Finance,FR PART-1 VOL-1,,12th,English/Hindi,Module 2: Deep Dive into Financial Regulations - Chapter 2,FINANCIAL REGULATIONS CHAPTER-2 PART-5,https://www.youtube.com/watch?v=d5J2f2OnEDE
8,Finance,FR PART-1 VOL-1,,12th,English/Hindi,Module 2: Deep Dive into Financial Regulations - Chapter 2,FINANCIAL REGULATIONS CHAPTER-2 PART-6,https://www.youtube.com/watch?v=rGN2KeZ5c6E
9,Finance,FR PART-1 VOL-1,,12th,English/Hindi,Module 3: Navigating Chapter 3 of Financial Regulations,FINANCIAL REGULATIONS CHAPTER-2 PART-7,https://www.youtube.com/watch?v=aqeYcVnrchU
10,Finance,FR PART-1 VOL-1,,12th,English/Hindi,Module 3: Navigating Chapter 3 of Financial Regulations,FINANCIAL REGULATIONS CHAPTER-2 PART-8,https://www.youtube.com/watch?v=GWHeZe_N0Ck
11,Finance,FR PART-1 VOL-1,,12th,English/Hindi,Module 3: Navigating Chapter 3 of Financial Regulations,FINANCIAL REGULATIONS CHAPTER-3 PART-1,https://www.youtube.com/watch?v=g52978QuC98
12,Finance,FR PART-1 VOL-1,,12th,English/Hindi,Module 3: Navigating Chapter 3 of Financial Regulations,FINANCIAL REGULATIONS CHAPTER-3 PART-2,https://www.youtube.com/watch?v=58SjT1Wbf_o
13,Finance,FR PART-1 VOL-1,,12th,English/Hindi,Module 4: Mastering the Concepts of Chapter 4,FINANCIAL REGULATIONS CHAPTER-3 PART-3,https://www.youtube.com/watch?v=xVU2BQMR580
14,Finance,FR PART-1 VOL-1,,12th,English/Hindi,Module 4: Mastering the Concepts of Chapter 4,FINANCIAL REGULATIONS CHAPTER-3 PART-4,https://www.youtube.com/watch?v=bQ8vIBL4Dbw
15,Finance,FR PART-1 VOL-1,,12th,English/Hindi,Module 4: Mastering the Concepts of Chapter 4,FINANCIAL REGULATIONS CHAPTER-3 REVISION,https://www.youtube.com/watch?v=rZP3YXfHzkc
16,Finance,FR PART-1 VOL-1,,12th,English/Hindi,Module 4: Mastering the Concepts of Chapter 4,FINANCIAL REGULATIONS CHAPTER-4 PART-1,https://www.youtube.com/watch?v=ksimwhpnCVg
17,Finance,FR PART-1 VOL-1,,12th,English/Hindi,Module 5: In-depth Analysis of Chapter 5,FINANCIAL REGULATIONS CHAPTER-4 PART-2,https://www.youtube.com/watch?v=erT58NVCl1c
18,Finance,FR PART-1 VOL-1,,12th,English/Hindi,Module 5: In-depth Analysis of Chapter 5,FINANCIAL REGULATIONS CHAPTER-4 PART-3,https://www.youtube.com/watch?v=85hHYVaLfOQ
19,Finance,FR PART-1 VOL-1,,12th,English/Hindi,Module 5: In-depth Analysis of Chapter 5,FINANCIAL REGULATIONS CHAPTER-4 PART-4,https://www.youtube.com/watch?v=FhNAHIcNQeU
20,Finance,FR PART-1 VOL-1,,12th,English/Hindi,Module 5: In-depth Analysis of Chapter 5,FINANCIAL REGULATIONS CHAPTER-4 PART-5,https://www.youtube.com/watch?v=Td4iIihAbGY
21,Finance,FR PART-1 VOL-1,,12th,English/Hindi,Module 6: Unraveling the Complexities of Chapter 6,FINANCIAL REGULATIONS CHAPTER-4 REVISION,https://www.youtube.com/watch?v=tTrkhM2Zt8I
22,Finance,FR PART-1 VOL-1,,12th,English/Hindi,Module 6: Unraveling the Complexities of Chapter 6,FINANCIAL REGULATIONS CHAPTER-5 PART-1,https://www.youtube.com/watch?v=0dmTrlrTfwE
23,Finance,FR PART-1 VOL-1,,12th,English/Hindi,Module 6: Unraveling the Complexities of Chapter 6,FINANCIAL REGULATIONS CHAPTER-5 PART-2,https://www.youtube.com/watch?v=VO3eoV6PvuQ
24,Finance,FR PART-1 VOL-1,,12th,English/Hindi,Module 6: Unraveling the Complexities of Chapter 6,FINANCIAL REGULATIONS CHAPTER-5 PART-3,https://www.youtube.com/watch?v=yIukQeoeHf4
25,Finance,FR PART-1 VOL-1,,12th,English/Hindi,Module 7: Comprehensive Study of Chapter 7,FINANCIAL REGULATIONS CHAPTER-5 PART-4,https://www.youtube.com/watch?v=yLlaILsq8Gg
26,Finance,FR PART-1 VOL-1,,12th,English/Hindi,Module 7: Comprehensive Study of Chapter 7,FINANCIAL REGULATIONS CHAPTER-5 PART-5,https://www.youtube.com/watch?v=xNUPVZunGyE
27,Finance,FR PART-1 VOL-1,,12th,English/Hindi,Module 7: Comprehensive Study of Chapter 7,FINANCIAL REGULATIONS CHAPTER-5 REVISION,https://www.youtube.com/watch?v=Awwp2fY0rEA
28,Finance,FR PART-1 VOL-1,,12th,English/Hindi,Module 7: Comprehensive Study of Chapter 7,FINANCIAL REGULATIONS CHAPTER-6 PART-1,https://www.youtube.com/watch?v=bUCizv5KmbU
29,Finance,FR PART-1 VOL-1,,12th,English/Hindi,Module 8: Exploring Chapter 8 in Detail,FINANCIAL REGULATIONS CHAPTER-6 PART-2,https://www.youtube.com/watch?v=mUb9YblWuQY
30,Finance,FR PART-1 VOL-1,,12th,English/Hindi,Module 8: Exploring Chapter 8 in Detail,FINANCIAL REGULATIONS CHAPTER-6 PART-3,https://www.youtube.com/watch?v=rM5wq89877M
31,Finance,FR PART-1 VOL-1,,12th,English/Hindi,Module 8: Exploring Chapter 8 in Detail,FINANCIAL REGULATIONS CHAPTER-6 PART-4,https://www.youtube.com/watch?v=Lu59tg16eag
32,Finance,FR PART-1 VOL-1,,12th,English/Hindi,Module 8: Exploring Chapter 8 in Detail,FINANCIAL REGULATIONS CHAPTER-6 PART-5,https://www.youtube.com/watch?v=y3UIPw01s-8
33,Finance,FR PART-1 VOL-1,,12th,English/Hindi,Module 9: Advanced Topics in Financial Regulations - Chapters 9 & 10,FINANCIAL REGULATIONS CHAPTER-6 REVISION,https://www.youtube.com/watch?v=5gKLwZDjsSI
34,Finance,FR PART-1 VOL-1,,12th,English/Hindi,Module 9: Advanced Topics in Financial Regulations - Chapters 9 & 10,FINANCIAL REGULATIONS CHAPTER-7 PART-1,https://www.youtube.com/watch?v=Q3kQRrMdVnw
35,Finance,FR PART-1 VOL-1,,12th,English/Hindi,Module 9: Advanced Topics in Financial Regulations - Chapters 9 & 10,FINANCIAL REGULATIONS CHAPTER-7 PART-2,https://www.youtube.com/watch?v=WBleAnENHGM
36,Finance,FR PART-1 VOL-1,,12th,English/Hindi,Module 9: Advanced Topics in Financial Regulations - Chapters 9 & 10,FINANCIAL REGULATIONS CHAPTER-7 PART-3,https://www.youtube.com/watch?v=nLqgYMiRha8
37,Finance,FR PART-1 VOL-1,,12th,English/Hindi,Module 10: Final Chapters and Conclusion,FINANCIAL REGULATIONS CHAPTER-7 PART-4,https://www.youtube.com/watch?v=DI-Mr8EpzNs
38,Finance,FR PART-1 VOL-1,,12th,English/Hindi,Module 10: Final Chapters and Conclusion,FINANCIAL REGULATIONS CHAPTER-7 PART-5,https://www.youtube.com/watch?v=liNysWSwLVY
39,Finance,FR PART-1 VOL-1,,12th,English/Hindi,Module 10: Final Chapters and Conclusion,FR-1 CHAPTER-7 REVISION,https://www.youtube.com/watch?v=N5j8WIc_EE8
40,Finance,FR PART-1 VOL-1,,12th,English/Hindi,Module 10: Final Chapters and Conclusion,FINANCIAL REGULATIONS CHAPTER-8 PART-1,https://www.youtube.com/watch?v=1hTFXprGxws
41,Finance,FR PART-1 VOL-1,,12th,English/Hindi,Module 10: Final Chapters and Conclusion,FINANCIAL REGULATIONS CHAPTER-8 PART-2,https://www.youtube.com/watch?v=_TSJ3PCDiZM
42,Finance,FR PART-1 VOL-1,,12th,English/Hindi,Module 10: Final Chapters and Conclusion,FINANCIAL REGULATIONS CHAPTER-8 PART-3,https://www.youtube.com/watch?v=zKIRij0_kJk
43,Finance,FR PART-1 VOL-1,,12th,English/Hindi,Module 10: Final Chapters and Conclusion,FINANCIAL REGULATIONS CHAPTER-8 PART-4,https://www.youtube.com/watch?v=flqp30o54aU
44,Finance,FR PART-1 VOL-1,,12th,English/Hindi,Module 10: Final Chapters and Conclusion,FINANCIAL REGULATIONS CHAPTER-8 PART-5,https://www.youtube.com/watch?v=fl288r8pmY0
45,Finance,FR PART-1 VOL-1,,12th,English/Hindi,Module 10: Final Chapters and Conclusion,FINANCIAL REGULATIONS CHAPTER-8 PART-6,https://www.youtube.com/watch?v=Vo9KnMEBNns
46,Finance,FR PART-1 VOL-1,,12th,English/Hindi,Module 10: Final Chapters and Conclusion,FINANCIAL REGULATIONS CHAPTER-8 REVISION,https://www.youtube.com/watch?v=WBjEecgSu2Q
47,Finance,FR PART-1 VOL-1,,12th,English/Hindi,Module 10: Final Chapters and Conclusion,FINANCIAL REGULATIONS PART-1 VOL-1 CHAPTER-9 PART-1,https://www.youtube.com/watch?v=9T7Y2uJdcng
48,Finance,FR PART-1 VOL-1,,12th,English/Hindi,Module 10: Final Chapters and Conclusion,FINANCIAL REGULATIONS PART-1 VOL-1 CHAPTER-9 PART-2,https://www.youtube.com/watch?v=uzl8M3xmvbA
49,Finance,FR PART-1 VOL-1,,12th,English/Hindi,Module 10: Final Chapters and Conclusion,FINANCIAL REGULATIONS PART-1 VOL-1 CHAPTER-9 PART-3,https://www.youtube.com/watch?v=pndldmBo3No
50,Finance,FR PART-1 VOL-1,,12th,English/Hindi,Module 10: Final Chapters and Conclusion,FINANCIAL REGULATIONS PART-1 VOL-1 CHAPTER-10 PART-1,https://www.youtube.com/watch?v=ORjuD62dOfM
51,Finance,FR PART-1 VOL-1,,12th,English/Hindi,Module 10: Final Chapters and Conclusion,FINANCIAL REGULATIONS PART-1 VOL-1 CHAPTER-10 PART-2,https://www.youtube.com/watch?v=MuKVF8o34w0
52,Finance,FR PART-1 VOL-1,,12th,English/Hindi,Module 10: Final Chapters and Conclusion,FINANCIAL REGULATIONS PART-1 VOL-1 CHAPTER-10 PART-3,https://www.youtube.com/watch?v=9K1kpdKAO_o
53,Finance,FR PART-1 VOL-1,,12th,English/Hindi,Module 10: Final Chapters and Conclusion,FINANCIAL REGULATIONS PART-1 VOL-1 CHAPTER-10 PART-4,https://www.youtube.com/watch?v=_AF_Y_TDlbI
