S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Finance,Financial Accounting,37hrs 14min,12th,English/Hindi,Module 1: Introduction to Accounting,Accounting Basics For Beginners By Dr.Devika Bhatnagar,https://www.youtube.com/watch?v=SUQMUc3Z3vs
2,Finance,Financial Accounting,,12th,English/Hindi,Module 1: Introduction to Accounting,Accounting Concepts & Conventions for Beginners By Dr.Devika Bhatnagar,https://www.youtube.com/watch?v=9Q6uvow8Cnk
3,Finance,Financial Accounting,,12th,English/Hindi,Module 1: Introduction to Accounting,"Accounting Rules -  ""Classification of Accounts"" By Dr.Devika Bhatnagar",https://www.youtube.com/watch?v=MoRuuh4k6A0
4,Finance,Financial Accounting,,12th,English/Hindi,Module 1: Introduction to Accounting,"How to prepare ""Journal Entries"" - The Best Explanation  In English",https://www.youtube.com/watch?v=J7ntz3YSzY0
5,Finance,Financial Accounting,,12th,English/Hindi,Module 2: Recording Financial Transactions,"Posting  ""Ledger Accounts"" from Journal Entries",https://www.youtube.com/watch?v=9r22nu4pFCA
6,Finance,Financial Accounting,,12th,English/Hindi,Module 2: Recording Financial Transactions,"20 Important  ""Accounting Terms"" - In English",https://www.youtube.com/watch?v=68Bew3SflWc
7,Finance,Financial Accounting,,12th,English/Hindi,Module 2: Recording Financial Transactions,8 Types of Subsidiary Books - In English,https://www.youtube.com/watch?v=cic-MD6uj8w
8,Finance,Financial Accounting,,12th,English/Hindi,Module 2: Recording Financial Transactions,Single Column Cash Book Preparation - In English,https://www.youtube.com/watch?v=e5WLw6zpmAc
9,Finance,Financial Accounting,,12th,English/Hindi,Module 2: Recording Financial Transactions,Triple Column Cash Book in Financial Accounting,https://www.youtube.com/watch?v=0QHLmu_SlMk
10,Finance,Financial Accounting,,12th,English/Hindi,Module 3: Adjusting and Analyzing Accounts,Petty Cash Book Preparation in Financial Accouting,https://www.youtube.com/watch?v=7Z3CyaDXxkY
11,Finance,Financial Accounting,,12th,English/Hindi,Module 3: Adjusting and Analyzing Accounts,How to Prepare Opening Entries in Financial Accounting,https://www.youtube.com/watch?v=EwLw0T2XzDo
12,Finance,Financial Accounting,,12th,English/Hindi,Module 3: Adjusting and Analyzing Accounts,""" Trial Balance"" Preparation in Financial Accounting",https://www.youtube.com/watch?v=ZWLrCvLBjls
