S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Economics,Financial Economics,36hrs 5min,12th,English/Hindi,Module 1: Introduction and Fundamentals,Introduction to Financial Economics,https://www.youtube.com/watch?v=cBW67MBR6YQ
2,Economics,Financial Economics,,12th,English/Hindi,Module 1: Introduction and Fundamentals,Consumption Smoothing and Risk Aversion,https://www.youtube.com/watch?v=3k7XJvG_HPo
3,Economics,Financial Economics,,12th,English/Hindi,Module 1: Introduction and Fundamentals,Overview of Financial Securities,https://www.youtube.com/watch?v=VVDGISbtUo4
4,Economics,Financial Economics,,12th,English/Hindi,Module 2: Consumer Preferences and Market Equilibrium,Axioms of Consumer Preferences in  Financial Economics,https://www.youtube.com/watch?v=SvyID-4bYOs
5,Economics,Financial Economics,,12th,English/Hindi,Module 2: Consumer Preferences and Market Equilibrium,Representing Consumer Preferences in Financial Economics,https://www.youtube.com/watch?v=o0STUg-KXKI
6,Economics,Financial Economics,,12th,English/Hindi,Module 2: Consumer Preferences and Market Equilibrium,Incorporating the Capital Market in the Fisher Model,https://www.youtube.com/watch?v=TSIRseFkCsg
7,Economics,Financial Economics,,12th,English/Hindi,Module 2: Consumer Preferences and Market Equilibrium,Examples on Deriving the Capital Market Trading Line,https://www.youtube.com/watch?v=ysGT288mxAc
8,Economics,Financial Economics,,12th,English/Hindi,Module 3: Decision Making Under Uncertainty,Foundations of the Consumer Optimum in the Fisher Model,https://www.youtube.com/watch?v=17VkLFWDbhU
9,Economics,Financial Economics,,12th,English/Hindi,Module 3: Decision Making Under Uncertainty,Determining Optimal Consumption in the Fisher Model,https://www.youtube.com/watch?v=daIPmy0OclQ
10,Economics,Financial Economics,,12th,English/Hindi,Module 3: Decision Making Under Uncertainty,Introduction to Financial Decision Making Under Uncertainty,https://www.youtube.com/watch?v=-1RUPpNqhDg
11,Economics,Financial Economics,,12th,English/Hindi,Module 3: Decision Making Under Uncertainty,Fair Games,https://www.youtube.com/watch?v=7jgxFpSRvcE
12,Economics,Financial Economics,,12th,English/Hindi,Module 3: Decision Making Under Uncertainty,The St. Petersburg Paradox and Expected Utility,https://www.youtube.com/watch?v=nHi49IAppFs
13,Economics,Financial Economics,,12th,English/Hindi,Module 4: Risk Aversion and Portfolio Theory,Axioms of Choice Under Expected Utility,https://www.youtube.com/watch?v=BpoeASX3BLI
14,Economics,Financial Economics,,12th,English/Hindi,Module 4: Risk Aversion and Portfolio Theory,Expected Utility Theorem and Certainty Equivalent,https://www.youtube.com/watch?v=54D-w9SMenU
15,Economics,Financial Economics,,12th,English/Hindi,Module 4: Risk Aversion and Portfolio Theory,Deriving and Illustrating Expected Utility,https://www.youtube.com/watch?v=YLvF60kgVTw
16,Economics,Financial Economics,,12th,English/Hindi,Module 4: Risk Aversion and Portfolio Theory,Jensen's Inequality in Expected Utility,https://www.youtube.com/watch?v=eJ_bsjuVkFI
17,Economics,Financial Economics,,12th,English/Hindi,Module 5: Portfolio Theory and Asset Pricing Models,Example of Expected Utility Theorem using Calculus,https://www.youtube.com/watch?v=RofLHu-C6ik
18,Economics,Financial Economics,,12th,English/Hindi,Module 5: Portfolio Theory and Asset Pricing Models,Insurance Premium in Expected Utility Theorem,https://www.youtube.com/watch?v=jlYInP9KIsc
19,Economics,Financial Economics,,12th,English/Hindi,Module 5: Portfolio Theory and Asset Pricing Models,Arrow-Pratt Measure of Absolute and Relative Risk Aversion,https://www.youtube.com/watch?v=kKyCf50CGGo
20,Economics,Financial Economics,,12th,English/Hindi,Module 5: Portfolio Theory and Asset Pricing Models,Deeper Dive on Certainty Equivalent and Risk Premium,https://www.youtube.com/watch?v=-qEqTnaNMTc
21,Economics,Financial Economics,,12th,English/Hindi,Module 5: Portfolio Theory and Asset Pricing Models,Certainty Equivalent and Risk Premium in terms of Rates of Return,https://www.youtube.com/watch?v=5qSO0Ji0WiQ
22,Economics,Financial Economics,,12th,English/Hindi,Module 5: Portfolio Theory and Asset Pricing Models,Asset Allocation using Expected Utility,https://www.youtube.com/watch?v=5Wd1QXCoPh8
23,Economics,Financial Economics,,12th,English/Hindi,Module 5: Portfolio Theory and Asset Pricing Models,Determining the Optimal Proportion of Risky Investments,https://www.youtube.com/watch?v=rjinNCRXbck
24,Economics,Financial Economics,,12th,English/Hindi,Module 5: Portfolio Theory and Asset Pricing Models,Arrow's Theorems on Investment and Risk Aversion,https://www.youtube.com/watch?v=n5qk3RLtn-4
25,Economics,Financial Economics,,12th,English/Hindi,Module 5: Portfolio Theory and Asset Pricing Models,Security Selection under Expected Utility,https://www.youtube.com/watch?v=GjtDpSVZq_0
26,Economics,Financial Economics,,12th,English/Hindi,Module 5: Portfolio Theory and Asset Pricing Models,Mean-Variance Expected Utility Hypothesis,https://www.youtube.com/watch?v=fFy4SC4_4Jo
27,Economics,Financial Economics,,12th,English/Hindi,Module 5: Portfolio Theory and Asset Pricing Models,Introduction to the Modern Portfolio Theory,https://www.youtube.com/watch?v=TOhKs7rXBSo
28,Economics,Financial Economics,,12th,English/Hindi,Module 5: Portfolio Theory and Asset Pricing Models,Introduction to the Markowitz Model,https://www.youtube.com/watch?v=rbXZwUs5Bm4
29,Economics,Financial Economics,,12th,English/Hindi,Module 5: Portfolio Theory and Asset Pricing Models,The Minimum Variance Portfolio (MVP),https://www.youtube.com/watch?v=yctdJqQo8g0
30,Economics,Financial Economics,,12th,English/Hindi,Module 5: Portfolio Theory and Asset Pricing Models,The Portfolio Diversification Effect,https://www.youtube.com/watch?v=SUh8PBjy5lA
31,Economics,Financial Economics,,12th,English/Hindi,Module 5: Portfolio Theory and Asset Pricing Models,Investment Opportunity Set and Minimum Variance Set,https://www.youtube.com/watch?v=GDbY_MpTASs
32,Economics,Financial Economics,,12th,English/Hindi,Module 5: Portfolio Theory and Asset Pricing Models,CAPM Abnormal Returns,https://www.youtube.com/watch?v=xFLCxs25z7Y
33,Economics,Financial Economics,,12th,English/Hindi,Module 5: Portfolio Theory and Asset Pricing Models,CAPM Expected Return,https://www.youtube.com/watch?v=xowdw_rMYGs
34,Economics,Financial Economics,,12th,English/Hindi,Module 5: Portfolio Theory and Asset Pricing Models,CAPM Security Market Line,https://www.youtube.com/watch?v=19BsZb6ac_M
35,Economics,Financial Economics,,12th,English/Hindi,Module 5: Portfolio Theory and Asset Pricing Models,APT Equilibrium Rate of Return,https://www.youtube.com/watch?v=3TAEMVKedY8
