S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Finance,Financial Markets (2011) with Robert Shiller,185hrs 12min,12th,English/Hindi,Module 1: Introduction and Setting the Stage,1. Introduction and What this Course Will Do for You and Your Purposes,https://www.youtube.com/watch?v=WQui_3Hpmmc
2,Finance,Financial Markets (2011) with Robert Shiller,,12th,English/Hindi,Module 1: Introduction and Setting the Stage,2. Risk and Financial Crises,https://www.youtube.com/watch?v=QbosMr2JVrc
3,Finance,Financial Markets (2011) with Robert Shiller,,12th,English/Hindi,Module 1: Introduction and Setting the Stage,3. Technology and Invention in Finance,https://www.youtube.com/watch?v=Iij2mpilSJo
4,Finance,Financial Markets (2011) with Robert Shiller,,12th,English/Hindi,Module 2: Financial Assets and Institutions,4. Portfolio Diversification and Supporting Financial Institutions,https://www.youtube.com/watch?v=_B_24GUWdSM
5,Finance,Financial Markets (2011) with Robert Shiller,,12th,English/Hindi,Module 2: Financial Assets and Institutions,"5. Insurance, the Archetypal Risk Management Institution, its Opportunities and Vulnerabilities",https://www.youtube.com/watch?v=qfK9rCDCicE
6,Finance,Financial Markets (2011) with Robert Shiller,,12th,English/Hindi,Module 2: Financial Assets and Institutions,6. Guest Speaker David Swensen,https://www.youtube.com/watch?v=wRdx7kVNQ_E
7,Finance,Financial Markets (2011) with Robert Shiller,,12th,English/Hindi,Module 2: Financial Assets and Institutions,7. Efficient Markets,https://www.youtube.com/watch?v=3EzdvkRgToY
8,Finance,Financial Markets (2011) with Robert Shiller,,12th,English/Hindi,Module 3: Market Dynamics and Theories,"8. Theory of Debt, Its Proper Role, Leverage Cycles",https://www.youtube.com/watch?v=3Ir6sbDAx4c
9,Finance,Financial Markets (2011) with Robert Shiller,,12th,English/Hindi,Module 3: Market Dynamics and Theories,9. Corporate Stocks,https://www.youtube.com/watch?v=78_GRGjlL6E
10,Finance,Financial Markets (2011) with Robert Shiller,,12th,English/Hindi,Module 3: Market Dynamics and Theories,10. Real Estate,https://www.youtube.com/watch?v=y_IMH8erqds
11,Finance,Financial Markets (2011) with Robert Shiller,,12th,English/Hindi,Module 4: Behavioral Finance and Market Participants,11. Behavioral Finance and the Role of Psychology,https://www.youtube.com/watch?v=chSHqogx2CI
12,Finance,Financial Markets (2011) with Robert Shiller,,12th,English/Hindi,Module 4: Behavioral Finance and Market Participants,"12. Misbehavior, Crises, Regulation and Self Regulation",https://www.youtube.com/watch?v=W2BURItNYmI
13,Finance,Financial Markets (2011) with Robert Shiller,,12th,English/Hindi,Module 4: Behavioral Finance and Market Participants,13. Banks,https://www.youtube.com/watch?v=1mDL1fKEVZM
14,Finance,Financial Markets (2011) with Robert Shiller,,12th,English/Hindi,Module 5: Specialized Financial Markets and Institutions,"14. Guest Speaker Maurice ""Hank"" Greenberg",https://www.youtube.com/watch?v=72qUcUAtRZc
15,Finance,Financial Markets (2011) with Robert Shiller,,12th,English/Hindi,Module 5: Specialized Financial Markets and Institutions,15. Forward and Futures Markets,https://www.youtube.com/watch?v=rxHu93YzHpc
16,Finance,Financial Markets (2011) with Robert Shiller,,12th,English/Hindi,Module 5: Specialized Financial Markets and Institutions,16. Guest Speaker Laura Cha,https://www.youtube.com/watch?v=vucQ8ila814
17,Finance,Financial Markets (2011) with Robert Shiller,,12th,English/Hindi,Module 5: Specialized Financial Markets and Institutions,17. Options Markets,https://www.youtube.com/watch?v=VkUEWUxI6u0
18,Finance,Financial Markets (2011) with Robert Shiller,,12th,English/Hindi,Module 6: Monetary Policy and Global Finance,18. Monetary Policy,https://www.youtube.com/watch?v=_SpIaGTq0u8
19,Finance,Financial Markets (2011) with Robert Shiller,,12th,English/Hindi,Module 6: Monetary Policy and Global Finance,19. Investment Banks,https://www.youtube.com/watch?v=2yycGEFCNYE
20,Finance,Financial Markets (2011) with Robert Shiller,,12th,English/Hindi,Module 6: Monetary Policy and Global Finance,20. Professional Money Managers and their Influence,https://www.youtube.com/watch?v=txTaBKZ8qrs
21,Finance,Financial Markets (2011) with Robert Shiller,,12th,English/Hindi,Module 7: Careers and Purpose in Finance,"21. Exchanges, Brokers, Dealers, Clearinghouses",https://www.youtube.com/watch?v=kAl8DezwLAE
22,Finance,Financial Markets (2011) with Robert Shiller,,12th,English/Hindi,Module 7: Careers and Purpose in Finance,22. Public and Non-Profit Finance,https://www.youtube.com/watch?v=YAO0St7mPQM
23,Finance,Financial Markets (2011) with Robert Shiller,,12th,English/Hindi,Module 7: Careers and Purpose in Finance,23. Finding your Purpose in a World of Financial Capitalism,https://www.youtube.com/watch?v=2_pDTWgJg94
