S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Finance,Financial Planning and Tax Management (Dwivedi Guidance),48hrs 21min,12th,English/Hindi,Module 1: Introduction to Financial Planning,"Financial Planning Definition, need of financial planning, financial planning and tax management mba",https://www.youtube.com/watch?v=q-O6wTia2-A
2,Finance,Financial Planning and Tax Management (Dwivedi Guidance),,12th,English/Hindi,Module 1: Introduction to Financial Planning,"Process of Financial Planning, financial planning process, financial planning and tax management mba",https://www.youtube.com/watch?v=PB7NCl_I0yo
3,Finance,Financial Planning and Tax Management (Dwivedi Guidance),,12th,English/Hindi,Module 1: Introduction to Financial Planning,"Investors Life Cycle, Individual Investos life Cycle, financial planning and tax management mba",https://www.youtube.com/watch?v=cGkHDejk0a0
4,Finance,Financial Planning and Tax Management (Dwivedi Guidance),,12th,English/Hindi,Module 2: Personal Financial Planning & Risk Management,"Risk Appetite, risk appetite example, risk appetite meaning, Financial Planning and tax management",https://www.youtube.com/watch?v=p05VonWxkX8
5,Finance,Financial Planning and Tax Management (Dwivedi Guidance),,12th,English/Hindi,Module 2: Personal Financial Planning & Risk Management,"Systematic Approach to Investing : SIP, SWP, STP, Systematic investment Plan,  Financial Planning",https://www.youtube.com/watch?v=b8smI0J0FKU
6,Finance,Financial Planning and Tax Management (Dwivedi Guidance),,12th,English/Hindi,Module 3: Systematic Investing and Retirement Planning,"Retirement Planning, Need, Process, Golden rules of retirement planning, Investment options, MBA BBA",https://www.youtube.com/watch?v=qCSyQ5eXP0o
7,Finance,Financial Planning and Tax Management (Dwivedi Guidance),,12th,English/Hindi,Module 3: Systematic Investing and Retirement Planning,"Introduction to Tax, Cannons of Taxation, Financial Planning and Tax Management, aktu mba lectures",https://www.youtube.com/watch?v=I9_gKALF5BI
8,Finance,Financial Planning and Tax Management (Dwivedi Guidance),,12th,English/Hindi,Module 4: Introduction to Income Tax and its Basic Concepts,"Person, Income, Previous Year, Assessment Year, Financial Planning and Tax Management, aktu mba",https://www.youtube.com/watch?v=y7g4_mni2O0
9,Finance,Financial Planning and Tax Management (Dwivedi Guidance),,12th,English/Hindi,Module 4: Introduction to Income Tax and its Basic Concepts,"Residential status, type of residents, ROR, RNOR, Non Resident, Computation of total income aktu mba",https://www.youtube.com/watch?v=yO7JH_4qJAk
10,Finance,Financial Planning and Tax Management (Dwivedi Guidance),,12th,English/Hindi,Module 4: Introduction to Income Tax and its Basic Concepts,"Clubbing of Income, Financial Planning and Tax Management, aktu mba classes, clubbing of income tax",https://www.youtube.com/watch?v=embl7P7FFk8
11,Finance,Financial Planning and Tax Management (Dwivedi Guidance),,12th,English/Hindi,"Module 5: Residential Status, Income Clubbing, and Tax Liability","Calculation of Taxable Income and Tax Liability, Income Tax, Taxation Laws, Tax Management, mba, bba",https://www.youtube.com/watch?v=GlxS7R5hTNs
12,Finance,Financial Planning and Tax Management (Dwivedi Guidance),,12th,English/Hindi,"Module 5: Residential Status, Income Clubbing, and Tax Liability","Deductions in income tax, deduction under 80c to80u, deductions under chapter vi a, taxation laws",https://www.youtube.com/watch?v=0WcDqq62IXc
13,Finance,Financial Planning and Tax Management (Dwivedi Guidance),,12th,English/Hindi,"Module 6: Deductions, Reliefs, and Rebates under Income Tax","Relief under section 89, relief u/s 89, relief u/s 89 in hindi, relief u/s 89 calculation income tax",https://www.youtube.com/watch?v=e2h_KtTWP60
14,Finance,Financial Planning and Tax Management (Dwivedi Guidance),,12th,English/Hindi,"Module 6: Deductions, Reliefs, and Rebates under Income Tax","Rebate under 87A of Income Tax, rebate meaning, calculation of rebate, income tax, taxation laws",https://www.youtube.com/watch?v=uPIQehGg3Ik
15,Finance,Financial Planning and Tax Management (Dwivedi Guidance),,12th,English/Hindi,"Module 6: Deductions, Reliefs, and Rebates under Income Tax","Set Off & Carry Forward of Losses, Principles, Inter sources & Inter head Setoff, Financial Planning",https://www.youtube.com/watch?v=LTJGk4MmWp4
16,Finance,Financial Planning and Tax Management (Dwivedi Guidance),,12th,English/Hindi,Module 7: Set Off & Carry Forward of Losses and Tax Management,"Tax Avoidance, Tax Planning, Tax Evasion, Financial Planning and Tax Management, mba classes, bba",https://www.youtube.com/watch?v=U8tgMqCotfo
17,Finance,Financial Planning and Tax Management (Dwivedi Guidance),,12th,English/Hindi,Module 7: Set Off & Carry Forward of Losses and Tax Management,"Income Tax Authorities, Appointment of Income Tax Authorities, CBDT, Taxation Laws, BBA, MBA, B.Com",https://www.youtube.com/watch?v=JN_Pvu4zpv4
18,Finance,Financial Planning and Tax Management (Dwivedi Guidance),,12th,English/Hindi,Module 8: Income Tax Authorities & Advance Tax,"Advance Tax in Income Tax, advance Calculation, advance tax kya hota hai, advance tax payment, dates",https://www.youtube.com/watch?v=RzImLRUCWrI
19,Finance,Financial Planning and Tax Management (Dwivedi Guidance),,12th,English/Hindi,Module 8: Income Tax Authorities & Advance Tax,"TDS, tds in income tax, tax deducted at source, tds kya hindi me, tds kya hota hai, taxation laws",https://www.youtube.com/watch?v=ON575rIhB88
20,Finance,Financial Planning and Tax Management (Dwivedi Guidance),,12th,English/Hindi,"Module 9: TDS, Exemptions, and Specific Income Sources","Exemption from Tax, Section 10 of Income Tax Act, Exempted Income, Tax management, Income tax",https://www.youtube.com/watch?v=5ndQVyRAjpo
21,Finance,Financial Planning and Tax Management (Dwivedi Guidance),,12th,English/Hindi,"Module 9: TDS, Exemptions, and Specific Income Sources","HRA, House Rent Allowance, Exempted Income, house rent allowance calculation in income tax, sec. 10",https://www.youtube.com/watch?v=px_zEqB3E3Q
22,Finance,Financial Planning and Tax Management (Dwivedi Guidance),,12th,English/Hindi,"Module 9: TDS, Exemptions, and Specific Income Sources","Agriculture Income, Tax Computation on Agricultural Income, Agriculture Income in income tax, mba",https://www.youtube.com/watch?v=KXLFteLy8oQ
23,Finance,Financial Planning and Tax Management (Dwivedi Guidance),,12th,English/Hindi,"Module 9: TDS, Exemptions, and Specific Income Sources","exempted income under section 10,exempted income in income tax, exempted income in income tax bcom,",https://www.youtube.com/watch?v=dJJTlXMgteU
