S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Finance,Fixed Income CFA,17hrs 1min,12th,English/Hindi,Module 1: Introduction to Fixed Income,Classification of Global FI Markets - Fixed Income Markets - Fixed Income,https://www.youtube.com/watch?v=upTx-hwEjag
2,Finance,Fixed Income CFA,,12th,English/Hindi,Module 1: Introduction to Fixed Income,Use of Inter Bank Offer Rates as Reference Rates for Floating Rate Debt - Fixed Income Markets,https://www.youtube.com/watch?v=1ZSzeDMos_4
3,Finance,Fixed Income CFA,,12th,English/Hindi,Module 1: Introduction to Fixed Income,Primary Markets and Secondary Markets - Fixed Income Markets - Fixed Income,https://www.youtube.com/watch?v=M7XglK6sE50
4,Finance,Fixed Income CFA,,12th,English/Hindi,Module 1: Introduction to Fixed Income,Securities Issued by Sovereign Governments - Fixed Income Markets - Fixed Income,https://www.youtube.com/watch?v=gHwt_RSVnMA
5,Finance,Fixed Income CFA,,12th,English/Hindi,Module 2: Fixed Income Instruments and Markets,Securities Issued by Non-Sovereign Governments - Fixed Income Markets - Fixed Income,https://www.youtube.com/watch?v=NMWEDsfTBSM
6,Finance,Fixed Income CFA,,12th,English/Hindi,Module 2: Fixed Income Instruments and Markets,Types of Debt Issued by Corporations - Fixed Income Markets - Fixed Income,https://www.youtube.com/watch?v=9WZNn41Ryxw
7,Finance,Fixed Income CFA,,12th,English/Hindi,Module 2: Fixed Income Instruments and Markets,Structured Financial Instruments - Fixed Income Markets - Fixed Income,https://www.youtube.com/watch?v=DS7xUO1Vl2o
8,Finance,Fixed Income CFA,,12th,English/Hindi,Module 2: Fixed Income Instruments and Markets,Short Term Funding Alternatives Available to Banks - Fixed Income Markets - Fixed Income,https://www.youtube.com/watch?v=ThOLTFF2jgU
9,Finance,Fixed Income CFA,,12th,English/Hindi,Module 3: Asset-Backed Securities,Repurchase REPO Agreements - Fixed Income Markets - Fixed Income,https://www.youtube.com/watch?v=e5KnGKH8DvQ
10,Finance,Fixed Income CFA,,12th,English/Hindi,Module 3: Asset-Backed Securities,"Securitization, Parties Involved in The Process and Benefits of Securitization - Fixed Income",https://www.youtube.com/watch?v=MkMaEleNyZU
11,Finance,Fixed Income CFA,,12th,English/Hindi,Module 3: Asset-Backed Securities,Structures of Securitization including Credit Tranching and Time Tranching Structures - Fixed Income,https://www.youtube.com/watch?v=utDGbErsAMA
12,Finance,Fixed Income CFA,,12th,English/Hindi,Module 3: Asset-Backed Securities,Types & Characteristics of Residential Mortgage Loans - Introduction to Asset Backed Securities,https://www.youtube.com/watch?v=2-2QAlN_3EA
13,Finance,Fixed Income CFA,,12th,English/Hindi,Module 4: Fixed Income Risk and Return,Residential Mortgage Backed Securities (RMBS) - Introduction to Asset Backed Securities,https://www.youtube.com/watch?v=4f32XxQ5r3Y
14,Finance,Fixed Income CFA,,12th,English/Hindi,Module 4: Fixed Income Risk and Return,Mortgage pass through Securities - Introduction to Asset Backed Securities - Fixed Income,https://www.youtube.com/watch?v=HJmCWpC7F7E
15,Finance,Fixed Income CFA,,12th,English/Hindi,Module 4: Fixed Income Risk and Return,Prepayment Risk - Introduction to Asset Backed Securities - Fixed Income,https://www.youtube.com/watch?v=Gb5dANdQbgk
16,Finance,Fixed Income CFA,,12th,English/Hindi,Module 4: Fixed Income Risk and Return,Collateralized Mortgage Obligations (CMO) - Introduction to Asset Backed Securities - Fixed Income,https://www.youtube.com/watch?v=mwL9yUZ6NyQ
17,Finance,Fixed Income CFA,,12th,English/Hindi,Module 4: Fixed Income Risk and Return,Commercial Mortgage Backed Securities (CMBS) - Introduction to Asset Backed Securities,https://www.youtube.com/watch?v=DOy-aKZcm6g
18,Finance,Fixed Income CFA,,12th,English/Hindi,Module 5: Fundamentals of Credit Analysis,Non-Mortgage Backed Securities - Introduction to Asset Backed Securities - Fixed Income,https://www.youtube.com/watch?v=Jg-FtBNUz2o
19,Finance,Fixed Income CFA,,12th,English/Hindi,Module 5: Fundamentals of Credit Analysis,Collateralized Debt Obligations (CDO) - Introduction to Asset Backed Securities - Fixed Income,https://www.youtube.com/watch?v=ozNByGKtm7M
20,Finance,Fixed Income CFA,,12th,English/Hindi,Module 5: Fundamentals of Credit Analysis,Sources of Return for a Fixed Rate Bond - Understanding Fixed Income Risk and Return - Fixed Income,https://www.youtube.com/watch?v=pBNoPb1W18I
21,Finance,Fixed Income CFA,,12th,English/Hindi,Module 5: Fundamentals of Credit Analysis,"Macaulay Duration, Modified Duration and Effective Duration - Fixed Income",https://www.youtube.com/watch?v=8BhX9k2lKPE
22,Finance,Fixed Income CFA,,12th,English/Hindi,Module 5: Fundamentals of Credit Analysis,Key Rate Duration - Understanding Fixed Income Risk and Return - Fixed Income,https://www.youtube.com/watch?v=RJ_sFi-qXjw
23,Finance,Fixed Income CFA,,12th,English/Hindi,Module 5: Fundamentals of Credit Analysis,"Effect of a Bond's Maturity, Coupon and yield Level on Interest Rate Risk - Fixed Income",https://www.youtube.com/watch?v=yRQZ_ECibUc
24,Finance,Fixed Income CFA,,12th,English/Hindi,Module 5: Fundamentals of Credit Analysis,Portfolio's Duration - Understanding Fixed Income Risk and Return - Fixed Income,https://www.youtube.com/watch?v=JKGRFjZ_fgk
25,Finance,Fixed Income CFA,,12th,English/Hindi,Module 5: Fundamentals of Credit Analysis,Money Duration - Understanding Fixed Income Risk and Return - Fixed Income,https://www.youtube.com/watch?v=BG6eM3nKg64
26,Finance,Fixed Income CFA,,12th,English/Hindi,Module 5: Fundamentals of Credit Analysis,Price Value of a Basis Point - Understanding Fixed Income Risk and Return - Fixed Income,https://www.youtube.com/watch?v=wmDR2hCUyl8
27,Finance,Fixed Income CFA,,12th,English/Hindi,Module 5: Fundamentals of Credit Analysis,Relationship between a Bond's Holding Period Return and Investment Horizon - Fixed Income,https://www.youtube.com/watch?v=dYLrzZ2c6bA
28,Finance,Fixed Income CFA,,12th,English/Hindi,Module 5: Fundamentals of Credit Analysis,How Changes in Credit Spread and Liquidity Affect YTM - Fixed Income,https://www.youtube.com/watch?v=3Ft48eCMvWA
29,Finance,Fixed Income CFA,,12th,English/Hindi,Module 5: Fundamentals of Credit Analysis,Credit Risk Default Probability and Lost Severity - Fundamentals of Credit Analysis - Fixed Income,https://www.youtube.com/watch?v=k-zrcKf5fBM
30,Finance,Fixed Income CFA,,12th,English/Hindi,Module 5: Fundamentals of Credit Analysis,Seniority Rankings of Corporate Debt - Fundamentals of Credit Analysis - Fixed Income,https://www.youtube.com/watch?v=v7uyUUezNuA
31,Finance,Fixed Income CFA,,12th,English/Hindi,Module 5: Fundamentals of Credit Analysis,Issuer Credit Ratings vs Issue Credits Ratings - Fundamentals of Credit Analysis - Fixed Income,https://www.youtube.com/watch?v=1MRAaw2fCOk
32,Finance,Fixed Income CFA,,12th,English/Hindi,Module 5: Fundamentals of Credit Analysis,Risk in Relying on Ratings given by Credits Rating Agencies - Fundamentals of Credit Analysis,https://www.youtube.com/watch?v=jP2J2ZY69Ys
33,Finance,Fixed Income CFA,,12th,English/Hindi,Module 5: Fundamentals of Credit Analysis,Four C's of Traditional Credit Analysis - Fundamentals of Credit Analysis - Fixed Income,https://www.youtube.com/watch?v=3AU2ZrMc-sA
34,Finance,Fixed Income CFA,,12th,English/Hindi,Module 5: Fundamentals of Credit Analysis,Financial Ratios used in Credit Analysis - Fundamentals of Credit Analysis - Fixed Income,https://www.youtube.com/watch?v=v6Hnz8c0i-s
35,Finance,Fixed Income CFA,,12th,English/Hindi,Module 5: Fundamentals of Credit Analysis,Factors Affecting the Level and Volatility of Yield Spreads - Fundamentals of Credit Analysis,https://www.youtube.com/watch?v=Gzr5dLxL5OM
36,Finance,Fixed Income CFA,,12th,English/Hindi,Module 5: Fundamentals of Credit Analysis,High Yield Debt - Fundamentals of Credit Analysis - Fixed Income,https://www.youtube.com/watch?v=SpMU_F4au2k
37,Finance,Fixed Income CFA,,12th,English/Hindi,Module 5: Fundamentals of Credit Analysis,Sovereign Debt - Fundamentals of Credit Analysis - Fixed Income,https://www.youtube.com/watch?v=A9mXx5yOFA0
38,Finance,Fixed Income CFA,,12th,English/Hindi,Module 5: Fundamentals of Credit Analysis,Non-Sovereign Debt - Fundamentals of Credit Analysis - Fixed Income,https://www.youtube.com/watch?v=oV53o_FZkKM
