S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Economics,Health Economics,15hrs 0min,12th,English/Hindi,Module 1: Introduction to Health Economics,Health Economics By Prof. Pratap C. Mohanty IIT Roorkee,https://www.youtube.com/watch?v=nwX0omzMQSE
2,Economics,Health Economics,,12th,English/Hindi,Module 1: Introduction to Health Economics,"Lecture 01- Health Economics: Overview, Structure, and Beneficiaries",https://www.youtube.com/watch?v=I2HJ2hKD1Gk
3,Economics,Health Economics,,12th,English/Hindi,Module 1: Introduction to Health Economics,Lecture 02- Concepts and Terminologies in Health  Economics,https://www.youtube.com/watch?v=NL8O0g9qNG8
4,Economics,Health Economics,,12th,English/Hindi,Module 1: Introduction to Health Economics,Lecture 03- Health as an Economic Good,https://www.youtube.com/watch?v=SdrCKzT1gvY
5,Economics,Health Economics,,12th,English/Hindi,Module 2: Demand for Health,Lecture 04- Economics of Health v/s Economics of Healthcare,https://www.youtube.com/watch?v=S1f2jr7LI2o
6,Economics,Health Economics,,12th,English/Hindi,Module 2: Demand for Health,Lecture 05- Arrow's Perspective of Healthcare,https://www.youtube.com/watch?v=6CSwVOvSwDQ
7,Economics,Health Economics,,12th,English/Hindi,Module 2: Demand for Health,Lecture 06 - Utility and Health,https://www.youtube.com/watch?v=WBOEiX88Y5c
8,Economics,Health Economics,,12th,English/Hindi,Module 2: Demand for Health,Lecture 07- Demand for Health care,https://www.youtube.com/watch?v=hGogeAw1e1M
9,Economics,Health Economics,,12th,English/Hindi,Module 3: Health Providers and Production,Lecture 08- Demand for Health: Grossman model-I,https://www.youtube.com/watch?v=jgDphT-Obdk
10,Economics,Health Economics,,12th,English/Hindi,Module 3: Health Providers and Production,Lecture 09- Demand for Health: Grossman model-II,https://www.youtube.com/watch?v=tuv1xr75IKw
11,Economics,Health Economics,,12th,English/Hindi,Module 3: Health Providers and Production,Lecture 10- Grossman model and Health disparities,https://www.youtube.com/watch?v=5u9JifImV98
12,Economics,Health Economics,,12th,English/Hindi,Module 4: Health Care Financing and Insurance,Lecture 11- Physicians as Health Provider-I,https://www.youtube.com/watch?v=B1IvPK_E3TE
