S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Economics,Intro to Political Economy,39hrs 15min,12th,English/Hindi,Module 1: Introduction,"Intro & Overview - Intro to Political Economy, Lecture1",https://www.youtube.com/watch?v=Icv9MxTuaTU
2,Economics,Intro to Political Economy,,12th,English/Hindi,Module 1: Introduction,"Institutions & Revolutions - Intro to Political Economy, Lecture2",https://www.youtube.com/watch?v=fKdSDPsVcQg
3,Economics,Intro to Political Economy,,12th,English/Hindi,Module 1: Introduction,"Property - Intro to Political Economy, Lecture3",https://www.youtube.com/watch?v=HQPeJZ7dXqM
4,Economics,Intro to Political Economy,,12th,English/Hindi,Module 2: Production and Exchange,"Division of Labor - Intro to Political Economy, Lecture4",https://www.youtube.com/watch?v=SiKgyMz2LW4
5,Economics,Intro to Political Economy,,12th,English/Hindi,Module 2: Production and Exchange,"Entrepreneurship & Rent-Seeking - Intro to Political Economy, Lecture5",https://www.youtube.com/watch?v=cNfn63WY-Tc
6,Economics,Intro to Political Economy,,12th,English/Hindi,Module 2: Production and Exchange,"Entrepreneurship - Intro to Political Economy, Lecture6",https://www.youtube.com/watch?v=kyvQT0BdLeA
7,Economics,Intro to Political Economy,,12th,English/Hindi,Module 3: Markets and Value,"Opportunity Cost, Price, & What Stuff is 'Worth' - Intro to Political Economy, Lecture7",https://www.youtube.com/watch?v=95FtkIyvFvA
8,Economics,Intro to Political Economy,,12th,English/Hindi,Module 3: Markets and Value,"Money, Banking, & Public Finance - Intro to Political Economy, Lecture8",https://www.youtube.com/watch?v=IgzDNijWYu4
9,Economics,Intro to Political Economy,,12th,English/Hindi,Module 3: Markets and Value,"Bitcoin - Intro to Political Economy, Lecture9",https://www.youtube.com/watch?v=eTGSC42lfmQ
10,Economics,Intro to Political Economy,,12th,English/Hindi,Module 4: Morality and Collective Action,"Morality & the Free Market - Intro to Political Economy, Lecture10",https://www.youtube.com/watch?v=akgBCshzxhk
11,Economics,Intro to Political Economy,,12th,English/Hindi,Module 4: Morality and Collective Action,"Choosing in Groups - Intro to Political Economy, Lecture11",https://www.youtube.com/watch?v=fthmwmrxiC4
12,Economics,Intro to Political Economy,,12th,English/Hindi,Module 5: Public Choice and Social Choice,"Choosing in Groups II - Intro to Political Economy, Lecture12",https://www.youtube.com/watch?v=pyZWh8zp9_E
13,Economics,Intro to Political Economy,,12th,English/Hindi,Module 5: Public Choice and Social Choice,"Basics of Political Choice - Intro to Political Economy, Lecture13",https://www.youtube.com/watch?v=qfOPvnBv3YA
14,Economics,Intro to Political Economy,,12th,English/Hindi,Module 5: Public Choice and Social Choice,"Political Choice in Multiple Dimensions - Intro to Political Economy, Lecture14",https://www.youtube.com/watch?v=vrQiF3JK8og
15,Economics,Intro to Political Economy,,12th,English/Hindi,Module 5: Public Choice and Social Choice,"Impossibility & Social Choice - Intro to Political Economy, Lecture15",https://www.youtube.com/watch?v=J0aI8H8nWyk
16,Economics,Intro to Political Economy,,12th,English/Hindi,Module 6: Market Failure and the Firm,"Externalities & Market Failure - Intro to Political Economy, Lecture16",https://www.youtube.com/watch?v=zM0ZTzCDS3I
17,Economics,Intro to Political Economy,,12th,English/Hindi,Module 6: Market Failure and the Firm,"Pirates & the Theory of the Firm - Intro to Political Economy, Lecture17",https://www.youtube.com/watch?v=a9bRw6ZWIvA
