S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Finance,Portfolio Management CFA,12hrs 0min,12th,English/Hindi,Module 1: Introduction to Portfolio Management,Portfolio Approach to Investing - Portfolio Management,https://www.youtube.com/watch?v=uLIzhtBeDYc
2,Finance,Portfolio Management CFA,,12th,English/Hindi,Module 2: Portfolio Risk and Return: Part One,Steps in Portfolio Management Process - Portfolio Management,https://www.youtube.com/watch?v=eX2I7tFra0U
3,Finance,Portfolio Management CFA,,12th,English/Hindi,Module 3: Portfolio Planning and Construction,Types of Investors and Their Characteristics - Portfolio Management,https://www.youtube.com/watch?v=_6lYkyRjzS0
4,Finance,Portfolio Management CFA,,12th,English/Hindi,Module 4: Portfolio Risk and Return: Part Two,Defined Benefit vs Defined Contribution Pension Plan - Portfolio Management,https://www.youtube.com/watch?v=pjTQIuwNIH0
5,Finance,Portfolio Management CFA,,12th,English/Hindi,Module 5: Risk Management,Asset Management Industry - Portfolio Management,https://www.youtube.com/watch?v=FqHvqXogaas
6,Finance,Portfolio Management CFA,,12th,English/Hindi,Module 6: Fintech in Investment Management,Introduction to Mutual Funds - Portfolio Management,https://www.youtube.com/watch?v=BqQnX3D9aeg
7,Finance,Portfolio Management CFA,,12th,English/Hindi,Module 7: Technical Analysis,Other Pooled Investment Products - Portfolio Management,https://www.youtube.com/watch?v=JveY8o4L6d0
8,Finance,Portfolio Management CFA,,12th,English/Hindi,Module 7: Technical Analysis,Measures of Returns - Portfolio Risk and Return : Part One - Portfolio Management,https://www.youtube.com/watch?v=woLfIbVlazc
9,Finance,Portfolio Management CFA,,12th,English/Hindi,Module 7: Technical Analysis,Money Weighted vs Time Weighted Rates of Return - Portfolio Risk and Return : Part One,https://www.youtube.com/watch?v=HeyGZwxRwSI
10,Finance,Portfolio Management CFA,,12th,English/Hindi,Module 7: Technical Analysis,Characteristics of Major Asset Classes - Portfolio Risk and Return : Part One - Portfolio Management,https://www.youtube.com/watch?v=hwfIOHRFBSM
11,Finance,Portfolio Management CFA,,12th,English/Hindi,Module 7: Technical Analysis,"Mean, Variance, Covariance and Correlation of Asset Returns - Portfolio Risk and Return : Part One",https://www.youtube.com/watch?v=8mDY-OwoASc
12,Finance,Portfolio Management CFA,,12th,English/Hindi,Module 7: Technical Analysis,Introduction to Risk Aversion - Portfolio Risk and Return : Part One - Portfolio Management,https://www.youtube.com/watch?v=6gKlKXYMtTI
13,Finance,Portfolio Management CFA,,12th,English/Hindi,Module 7: Technical Analysis,Portfolio Standard Deviation or Portfolio Risk - Portfolio Risk and Return : Part One,https://www.youtube.com/watch?v=ftpP_X3tIho
14,Finance,Portfolio Management CFA,,12th,English/Hindi,Module 7: Technical Analysis,Portfolios Risk of Investing in Less Than Perfectly Correlated Assets - Portfolio Management,https://www.youtube.com/watch?v=aNw6zOuBNss
15,Finance,Portfolio Management CFA,,12th,English/Hindi,Module 7: Technical Analysis,Efficient Frontier - Portfolio Risk and Return : Part One - Portfolio Management,https://www.youtube.com/watch?v=8Zg7Xa27kL0
16,Finance,Portfolio Management CFA,,12th,English/Hindi,Module 7: Technical Analysis,Investors utility and Capital Allocation Line (CAL) - Portfolio Risk and Return : Part One,https://www.youtube.com/watch?v=u8PstcVkJKQ
17,Finance,Portfolio Management CFA,,12th,English/Hindi,Module 7: Technical Analysis,Investment Policy Statement (IPS) - Basics of Portfolio Planning and Construction,https://www.youtube.com/watch?v=3c5a_TIcHu4
