S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Finance,Real Estate Finance,9hrs 13min,12th,English/Hindi,Module 1: Introduction to Real Estate Finance,How Principal & Interest Are Applied In Loan Payments | Explained With Example,https://www.youtube.com/watch?v=JvEOX9DcZn8
2,Finance,Real Estate Finance,,12th,English/Hindi,Module 1: Introduction to Real Estate Finance,Subordination of Lien Position,https://www.youtube.com/watch?v=6NHZpDl0vFc
3,Finance,Real Estate Finance,,12th,English/Hindi,Module 1: Introduction to Real Estate Finance,Loan to Value Ratio “LTV” Explained,https://www.youtube.com/watch?v=N2I11H2SlAQ
4,Finance,Real Estate Finance,,12th,English/Hindi,Module 1: Introduction to Real Estate Finance,Fixed-Rate Mortgage Loan,https://www.youtube.com/watch?v=mw_0xgY2tXQ
5,Finance,Real Estate Finance,,12th,English/Hindi,Module 2: Loan Structures and Terms,“ARM Loans” Adjustable Rate Mortgage Terms You Need to Know,https://www.youtube.com/watch?v=3u6y_I57o9Y
6,Finance,Real Estate Finance,,12th,English/Hindi,Module 2: Loan Structures and Terms,“DSCR” Debt Service Coverage Ratio Explained,https://www.youtube.com/watch?v=2cFIwSgUOQM
7,Finance,Real Estate Finance,,12th,English/Hindi,Module 2: Loan Structures and Terms,How To Calculate Cash-On-Cash Return,https://www.youtube.com/watch?v=tvh4witb2qc
8,Finance,Real Estate Finance,,12th,English/Hindi,Module 2: Loan Structures and Terms,Loan Amortization Explained,https://www.youtube.com/watch?v=xKjsgMEXDV8
9,Finance,Real Estate Finance,,12th,English/Hindi,Module 3: Understanding Loan Calculations,Balloon Payment Explained,https://www.youtube.com/watch?v=XDEwY9aaSUw
10,Finance,Real Estate Finance,,12th,English/Hindi,Module 3: Understanding Loan Calculations,How to Calculate Loan Constant,https://www.youtube.com/watch?v=c9k2CETUkqM
11,Finance,Real Estate Finance,,12th,English/Hindi,Module 3: Understanding Loan Calculations,“Principal Paydown” Principal Reduction Explained,https://www.youtube.com/watch?v=U2cdC2_TXHQ
12,Finance,Real Estate Finance,,12th,English/Hindi,Module 3: Understanding Loan Calculations,Basis Point Explained (aka “Bips”),https://www.youtube.com/watch?v=VjC3SfOplSU
13,Finance,Real Estate Finance,,12th,English/Hindi,Module 4: Commercial Loan Structures,Annual Debt Service Explained,https://www.youtube.com/watch?v=L8q91lOw_as
14,Finance,Real Estate Finance,,12th,English/Hindi,Module 4: Commercial Loan Structures,“Bad-Boy Carve Outs” Explained,https://www.youtube.com/watch?v=TSmAlEMnCnU
15,Finance,Real Estate Finance,,12th,English/Hindi,Module 4: Commercial Loan Structures,Recourse vs. Non-Recourse Debt,https://www.youtube.com/watch?v=VXqgmOl05Lo
16,Finance,Real Estate Finance,,12th,English/Hindi,Module 5: Advanced Real Estate Finance Concepts,What Determines Mortgage Rates? | How Interest Rates Are Set,https://www.youtube.com/watch?v=k1caqlVu574
17,Finance,Real Estate Finance,,12th,English/Hindi,Module 5: Advanced Real Estate Finance Concepts,Combo Loans Explained,https://www.youtube.com/watch?v=LucJ6m8wR3M
18,Finance,Real Estate Finance,,12th,English/Hindi,Module 5: Advanced Real Estate Finance Concepts,“Points” and Fees Explained | Understand Discount Points and Mortgage Loan Fees,https://www.youtube.com/watch?v=1ycTCPZ2L0k
19,Finance,Real Estate Finance,,12th,English/Hindi,Module 6: Real Estate Investment Analysis,Why to ALWAYS Use a Commercial Mortgage Broker,https://www.youtube.com/watch?v=z19d-pa7xH0
20,Finance,Real Estate Finance,,12th,English/Hindi,Module 6: Real Estate Investment Analysis,Subordination and Lien Position Explained,https://www.youtube.com/watch?v=DAziOJ15Z7s
21,Finance,Real Estate Finance,,12th,English/Hindi,Module 6: Real Estate Investment Analysis,Promissory Notes Explained,https://www.youtube.com/watch?v=Z-MpltBp8qA
22,Finance,Real Estate Finance,,12th,English/Hindi,Module 7: Commercial Mortgage Loans and Processes,Why Your Balance Goes UP After Making a Payment,https://www.youtube.com/watch?v=Fe-EV6u-lHw
23,Finance,Real Estate Finance,,12th,English/Hindi,Module 7: Commercial Mortgage Loans and Processes,Real Estate Appraisals Explained,https://www.youtube.com/watch?v=lQf1dsS6oG4
24,Finance,Real Estate Finance,,12th,English/Hindi,Module 7: Commercial Mortgage Loans and Processes,Risk and Return in Finance and Investments,https://www.youtube.com/watch?v=_ZSeaZTJcUM
25,Finance,Real Estate Finance,,12th,English/Hindi,Module 8: Multifamily Loans and Programs,Mezzanine Debt & Weighted Average Cost of Capital,https://www.youtube.com/watch?v=widOh-0HMKk
26,Finance,Real Estate Finance,,12th,English/Hindi,Module 8: Multifamily Loans and Programs,How Leverage Impacts Your Return On Investment (ROI),https://www.youtube.com/watch?v=8QplNAC9RPI
27,Finance,Real Estate Finance,,12th,English/Hindi,Module 8: Multifamily Loans and Programs,How Leverage Impacts Your Return on Investment,https://www.youtube.com/watch?v=XcLXUamWltk
28,Finance,Real Estate Finance,,12th,English/Hindi,Module 9: Real Estate Finance Tools and Resources,ARM Loans - Adjustable Rate Mortgage Loan Terms Explained,https://www.youtube.com/watch?v=n0RApgCWXeM
29,Finance,Real Estate Finance,,12th,English/Hindi,Module 9: Real Estate Finance Tools and Resources,Tranches & Mortgage Backed Securities Explained,https://www.youtube.com/watch?v=mYCkZ2kkGLA
30,Finance,Real Estate Finance,,12th,English/Hindi,Module 9: Real Estate Finance Tools and Resources,"Prepayment Penalties - Step Down, Yield Maintenance, and Defeasance Explained",https://www.youtube.com/watch?v=5jDpcZn_IZM
31,Finance,Real Estate Finance,,12th,English/Hindi,Module 9: Real Estate Finance Tools and Resources,Construction Loans Explained,https://www.youtube.com/watch?v=jAyBgUv5nB4
32,Finance,Real Estate Finance,,12th,English/Hindi,Module 9: Real Estate Finance Tools and Resources,HUD Commercial Multifamily Loans | What You Need to Know About HUD 223(f) Loan in 2024,https://www.youtube.com/watch?v=KCZ_3wp94hs
33,Finance,Real Estate Finance,,12th,English/Hindi,Module 9: Real Estate Finance Tools and Resources,HP 12c Guide + FREE Calculator App,https://www.youtube.com/watch?v=XTvEJlLDuB8
34,Finance,Real Estate Finance,,12th,English/Hindi,Module 9: Real Estate Finance Tools and Resources,Freddie Mac Commercial Multifamily Loans | Overview,https://www.youtube.com/watch?v=-S5LFnY-ND8
35,Finance,Real Estate Finance,,12th,English/Hindi,Module 9: Real Estate Finance Tools and Resources,How to Calculate Internal Rate of Return “IRR”,https://www.youtube.com/watch?v=ZAf1EzNPs4w
36,Finance,Real Estate Finance,,12th,English/Hindi,Module 9: Real Estate Finance Tools and Resources,The Real Estate Finance and Investment Matrix,https://www.youtube.com/watch?v=UHNtIp1a46o
37,Finance,Real Estate Finance,,12th,English/Hindi,Module 9: Real Estate Finance Tools and Resources,13 Myths About Commercial Loans,https://www.youtube.com/watch?v=ntI2SttUV7o
38,Finance,Real Estate Finance,,12th,English/Hindi,Module 9: Real Estate Finance Tools and Resources,How to Calculate Your Interest Rate on Any Loan or Credit Card,https://www.youtube.com/watch?v=dMJqTmH4vEU
