S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Finance,Wealth Management Tutorial,31hrs 12min,12th,English/Hindi,Module 1: Introduction to Wealth Management,Wealth Management,https://www.youtube.com/watch?v=l24V5aK0Dcc
2,Finance,Wealth Management Tutorial,,12th,English/Hindi,Module 1: Introduction to Wealth Management,Wealth Cycle,https://www.youtube.com/watch?v=3RA75GO6BSk
3,Finance,Wealth Management Tutorial,,12th,English/Hindi,Module 1: Introduction to Wealth Management,Asset Allocation,https://www.youtube.com/watch?v=-uDEe_yRw7Q
4,Finance,Wealth Management Tutorial,,12th,English/Hindi,Module 1: Introduction to Wealth Management,Financial Plannning,https://www.youtube.com/watch?v=4cBJ4UBXxgE
5,Finance,Wealth Management Tutorial,,12th,English/Hindi,Module 2: Navigating the Wealth Cycle,Retirement Planning,https://www.youtube.com/watch?v=gXE4MODDsHY
6,Finance,Wealth Management Tutorial,,12th,English/Hindi,Module 2: Navigating the Wealth Cycle,Estate Planning,https://www.youtube.com/watch?v=48vlXeQTrhk
7,Finance,Wealth Management Tutorial,,12th,English/Hindi,Module 2: Navigating the Wealth Cycle,Money Laundering,https://www.youtube.com/watch?v=OXeafDUsLr8
8,Finance,Wealth Management Tutorial,,12th,English/Hindi,Module 3: Financial Planning and Goal Setting,Portfolio Management,https://www.youtube.com/watch?v=Qmw15cG2Mv4
9,Finance,Wealth Management Tutorial,,12th,English/Hindi,Module 3: Financial Planning and Goal Setting,Mutual Fund Ratios,https://www.youtube.com/watch?v=ZxJVSBPnJxU
10,Finance,Wealth Management Tutorial,,12th,English/Hindi,Module 3: Financial Planning and Goal Setting,Behavioral Biases In Investing,https://www.youtube.com/watch?v=GQ8geflGWAQ
