S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Electrical Engineering,EIM ( Electrical Instrument & Measurement ),32hrs 8min,12th,English/Hindi,Module 1: Introduction to Electrical Instruments,Static characteristics | Electrical Instruments | Lec - 01,https://www.youtube.com/watch?v=HY39LA6H-Lo
2,Electrical Engineering,EIM ( Electrical Instrument & Measurement ),,12th,English/Hindi,Module 1: Introduction to Electrical Instruments,Dynamic Characteristics | Error | Electrical Instruments | Lec - 02,https://www.youtube.com/watch?v=lC4xD103E3A
3,Electrical Engineering,EIM ( Electrical Instrument & Measurement ),,12th,English/Hindi,Module 1: Introduction to Electrical Instruments,DC Ammeter | Basic Meter |  Electrical Instruments | Lec - 03,https://www.youtube.com/watch?v=KhqSfPC5ReA
4,Electrical Engineering,EIM ( Electrical Instrument & Measurement ),,12th,English/Hindi,Module 1: Introduction to Electrical Instruments,Multi-range ammeter | Electrical Instruments ( EIM ) | Lec - 04,https://www.youtube.com/watch?v=d5CldQ9BsJ4
5,Electrical Engineering,EIM ( Electrical Instrument & Measurement ),,12th,English/Hindi,Module 2: DC Instruments,Multi-range ammeter | Aryton shunt | Electrical Instruments ( EIM ) | Lec - 05,https://www.youtube.com/watch?v=W0slhH_1ayI
6,Electrical Engineering,EIM ( Electrical Instrument & Measurement ),,12th,English/Hindi,Module 2: DC Instruments,RF ammeter | Thermocouple types | Electrical Instruments ( EIM ) | Lec - 06,https://www.youtube.com/watch?v=MOtDQF8o7OE
7,Electrical Engineering,EIM ( Electrical Instrument & Measurement ),,12th,English/Hindi,Module 2: DC Instruments,DC voltmeter | Sensitivity | Electrical Instruments ( EIM ) | Lec - 07,https://www.youtube.com/watch?v=JDoZdJFC-Kc
8,Electrical Engineering,EIM ( Electrical Instrument & Measurement ),,12th,English/Hindi,Module 2: DC Instruments,Multi-Range voltmeter | Examples | Electrical Instruments ( EIM ) | Lec - 08,https://www.youtube.com/watch?v=MIjuQ2Bwiz4
9,Electrical Engineering,EIM ( Electrical Instrument & Measurement ),,12th,English/Hindi,Module 3: AC Instruments,Solid state voltmeter | Differential voltmeter | Electrical Instruments ( EIM ) | Lec - 09,https://www.youtube.com/watch?v=83nUu0lEDig
10,Electrical Engineering,EIM ( Electrical Instrument & Measurement ),,12th,English/Hindi,Module 3: AC Instruments,DC Difference voltmeter | AC voltmeter | Electrical Instruments ( EIM ) | Lec - 10,https://www.youtube.com/watch?v=KKKvLbgn8S8
