S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Electrical Engineering,Embedded Systems(ES),23hrs 1min,12th,English/Hindi,Module 1: Introduction to Embedded Systems,Embedded Systems tutorial for beginners | Lec-1 |  Bhanu priya,https://www.youtube.com/watch?v=JO4AEkOVF2M
2,Electrical Engineering,Embedded Systems(ES),,12th,English/Hindi,Module 1: Introduction to Embedded Systems,Building blocks| Embedded Systems | Lec-2 |  Bhanu priya,https://www.youtube.com/watch?v=-eK_niCyf5Y
3,Electrical Engineering,Embedded Systems(ES),,12th,English/Hindi,Module 1: Introduction to Embedded Systems,Applications of embedded systems| Embedded Systems | Lec-3 |  Bhanu priya,https://www.youtube.com/watch?v=7x9CDXM4DgM
4,Electrical Engineering,Embedded Systems(ES),,12th,English/Hindi,Module 1: Introduction to Embedded Systems,Characteristics of Embedded systems | Embedded Systems | Lec-4 |  Bhanu priya,https://www.youtube.com/watch?v=kDcbFP4tMTE
5,Electrical Engineering,Embedded Systems(ES),,12th,English/Hindi,Module 2: 8051 Microcontroller & Architecture,Harvard and Von neumann architecture | Embedded Systems | Lec-5 |  Bhanu priya,https://www.youtube.com/watch?v=QMFlF-9ji8Y
6,Electrical Engineering,Embedded Systems(ES),,12th,English/Hindi,Module 2: 8051 Microcontroller & Architecture,Simple programs of 8051 | Part-1/2 | Embedded Systems | Lec-6 |  Bhanu priya,https://www.youtube.com/watch?v=myw7ycAgJYM
7,Electrical Engineering,Embedded Systems(ES),,12th,English/Hindi,Module 3: Introduction to ARM Architecture,Simple Programs of 8051 | Part-2/2 | Embedded Systems | Lec-7 |  Bhanu priya,https://www.youtube.com/watch?v=8zMF14Xp1IQ
8,Electrical Engineering,Embedded Systems(ES),,12th,English/Hindi,Module 3: Introduction to ARM Architecture,ARM introduction | Embedded Systems | Lec-8 |  Bhanu priya,https://www.youtube.com/watch?v=arv68gb6PlA
9,Electrical Engineering,Embedded Systems(ES),,12th,English/Hindi,Module 3: Introduction to ARM Architecture,ARM architecture | Embedded Systems | Lec-9 |  Bhanu Priya,https://www.youtube.com/watch?v=JPfG0UQd3x4
10,Electrical Engineering,Embedded Systems(ES),,12th,English/Hindi,Module 3: Introduction to ARM Architecture,ARM register Organisation | Part -1/2 | Embedded Systems | Lec-10 |  Bhanu priya,https://www.youtube.com/watch?v=-7D_PZhb7Qc
