S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Electrical Engineering,Fundamentals of Electric Drives,74hrs 8min,12th,English/Hindi,Module 1: Introduction to Electric Drives,noc19-ee65-lec01,https://www.youtube.com/watch?v=1AT1yuQ9awM
2,Electrical Engineering,Fundamentals of Electric Drives,,12th,English/Hindi,Module 1: Introduction to Electric Drives,noc19-ee65-lec02,https://www.youtube.com/watch?v=zWvcM-4aUgg
3,Electrical Engineering,Fundamentals of Electric Drives,,12th,English/Hindi,Module 1: Introduction to Electric Drives,noc19-ee65-lec03,https://www.youtube.com/watch?v=JZ6f_i4ao6Y
4,Electrical Engineering,Fundamentals of Electric Drives,,12th,English/Hindi,Module 1: Introduction to Electric Drives,noc19-ee65-lec04,https://www.youtube.com/watch?v=oE9JHETIuns
5,Electrical Engineering,Fundamentals of Electric Drives,,12th,English/Hindi,Module 2: Modeling of DC Machines,noc19-ee65-lec05,https://www.youtube.com/watch?v=x1wKfrvXQvQ
6,Electrical Engineering,Fundamentals of Electric Drives,,12th,English/Hindi,Module 2: Modeling of DC Machines,noc19-ee65-lec06,https://www.youtube.com/watch?v=3A0hUjiFLUA
7,Electrical Engineering,Fundamentals of Electric Drives,,12th,English/Hindi,Module 2: Modeling of DC Machines,noc19-ee65-lec07,https://www.youtube.com/watch?v=D0BZLsTV9fY
8,Electrical Engineering,Fundamentals of Electric Drives,,12th,English/Hindi,Module 3: DC Motor Control,noc19-ee65-lec08,https://www.youtube.com/watch?v=NfLS6Kt4nPE
9,Electrical Engineering,Fundamentals of Electric Drives,,12th,English/Hindi,Module 3: DC Motor Control,noc19-ee65-lec09,https://www.youtube.com/watch?v=e_JFQAOg8Mk
10,Electrical Engineering,Fundamentals of Electric Drives,,12th,English/Hindi,Module 3: DC Motor Control,noc19-ee65-lec10,https://www.youtube.com/watch?v=1HZTerNo0sA
11,Electrical Engineering,Fundamentals of Electric Drives,,12th,English/Hindi,Module 4: AC Machine Fundamentals,noc19-ee65-lec11,https://www.youtube.com/watch?v=9-xX1i_JSW0
12,Electrical Engineering,Fundamentals of Electric Drives,,12th,English/Hindi,Module 4: AC Machine Fundamentals,noc19-ee65-lec12,https://www.youtube.com/watch?v=pjwXSoOGXiE
13,Electrical Engineering,Fundamentals of Electric Drives,,12th,English/Hindi,Module 4: AC Machine Fundamentals,noc19-ee65-lec13,https://www.youtube.com/watch?v=6ETL5XI4uy0
14,Electrical Engineering,Fundamentals of Electric Drives,,12th,English/Hindi,Module 5: Induction Motor Principles,noc19-ee65-lec14,https://www.youtube.com/watch?v=AriELqEa0G8
15,Electrical Engineering,Fundamentals of Electric Drives,,12th,English/Hindi,Module 5: Induction Motor Principles,noc19-ee65-lec15,https://www.youtube.com/watch?v=dWQLNIbX8aM
16,Electrical Engineering,Fundamentals of Electric Drives,,12th,English/Hindi,Module 5: Induction Motor Principles,noc19-ee65-lec16,https://www.youtube.com/watch?v=LB6VOXSq1Kg
17,Electrical Engineering,Fundamentals of Electric Drives,,12th,English/Hindi,Module 6: Induction Motor Control,noc19-ee65-lec17,https://www.youtube.com/watch?v=LcBvFfZ6COc
18,Electrical Engineering,Fundamentals of Electric Drives,,12th,English/Hindi,Module 6: Induction Motor Control,noc19-ee65-lec18,https://www.youtube.com/watch?v=7WbkIWdT6_I
19,Electrical Engineering,Fundamentals of Electric Drives,,12th,English/Hindi,Module 6: Induction Motor Control,noc19-ee65-lec19,https://www.youtube.com/watch?v=OBh3BZP0C_I
20,Electrical Engineering,Fundamentals of Electric Drives,,12th,English/Hindi,Module 7: Synchronous Machines,noc19-ee65-lec20,https://www.youtube.com/watch?v=wVgIBA_BdoM
21,Electrical Engineering,Fundamentals of Electric Drives,,12th,English/Hindi,Module 7: Synchronous Machines,noc19-ee65-lec21,https://www.youtube.com/watch?v=VN8x2YkosyU
22,Electrical Engineering,Fundamentals of Electric Drives,,12th,English/Hindi,Module 7: Synchronous Machines,noc19-ee65-lec22,https://www.youtube.com/watch?v=NqtaIwAFasU
23,Electrical Engineering,Fundamentals of Electric Drives,,12th,English/Hindi,Module 8: Synchronous Motor Drives,noc19-ee65-lec23,https://www.youtube.com/watch?v=6KKHcFU-FVc
24,Electrical Engineering,Fundamentals of Electric Drives,,12th,English/Hindi,Module 8: Synchronous Motor Drives,noc19-ee65-lec24,https://www.youtube.com/watch?v=jR6gr4hVGPQ
25,Electrical Engineering,Fundamentals of Electric Drives,,12th,English/Hindi,Module 8: Synchronous Motor Drives,noc19-ee65-lec25,https://www.youtube.com/watch?v=ZADWe-6Ve40
26,Electrical Engineering,Fundamentals of Electric Drives,,12th,English/Hindi,Module 9: Drive Applications,noc19-ee65-lec26,https://www.youtube.com/watch?v=82p5f0BRyyQ
27,Electrical Engineering,Fundamentals of Electric Drives,,12th,English/Hindi,Module 9: Drive Applications,noc19-ee65-lec27,https://www.youtube.com/watch?v=SlJPsWcGKCQ
28,Electrical Engineering,Fundamentals of Electric Drives,,12th,English/Hindi,Module 9: Drive Applications,noc19-ee65-lec28,https://www.youtube.com/watch?v=MDugo6ogCA0
29,Electrical Engineering,Fundamentals of Electric Drives,,12th,English/Hindi,Module 10: Emerging Trends in Drives,noc19-ee65-lec29,https://www.youtube.com/watch?v=me-Y2WcMiHU
30,Electrical Engineering,Fundamentals of Electric Drives,,12th,English/Hindi,Module 10: Emerging Trends in Drives,noc19-ee65-lec30,https://www.youtube.com/watch?v=3_SEKxSW7jc
31,Electrical Engineering,Fundamentals of Electric Drives,,12th,English/Hindi,Module 10: Emerging Trends in Drives,noc19-ee65-lec31,https://www.youtube.com/watch?v=rGwyf2xbahw
32,Electrical Engineering,Fundamentals of Electric Drives,,12th,English/Hindi,Module 10: Emerging Trends in Drives,noc19-ee65-lec32,https://www.youtube.com/watch?v=ZI0jfNW-oV4
33,Electrical Engineering,Fundamentals of Electric Drives,,12th,English/Hindi,Module 10: Emerging Trends in Drives,noc19-ee65-lec33,https://www.youtube.com/watch?v=AmFiEOVtcqc
34,Electrical Engineering,Fundamentals of Electric Drives,,12th,English/Hindi,Module 10: Emerging Trends in Drives,noc19-ee65-lec34,https://www.youtube.com/watch?v=ZtwjZeBQR7M
35,Electrical Engineering,Fundamentals of Electric Drives,,12th,English/Hindi,Module 10: Emerging Trends in Drives,noc19-ee65-lec35,https://www.youtube.com/watch?v=VpSZPb1tcCI
36,Electrical Engineering,Fundamentals of Electric Drives,,12th,English/Hindi,Module 10: Emerging Trends in Drives,noc19-ee65-lec36,https://www.youtube.com/watch?v=RBgq0DQBshw
37,Electrical Engineering,Fundamentals of Electric Drives,,12th,English/Hindi,Module 10: Emerging Trends in Drives,noc19-ee65-lec37,https://www.youtube.com/watch?v=OnFDfUkNsxU
38,Electrical Engineering,Fundamentals of Electric Drives,,12th,English/Hindi,Module 10: Emerging Trends in Drives,noc19-ee65-lec38,https://www.youtube.com/watch?v=PDrhjLdc_Ps
39,Electrical Engineering,Fundamentals of Electric Drives,,12th,English/Hindi,Module 10: Emerging Trends in Drives,noc19-ee65-lec39,https://www.youtube.com/watch?v=CPo_QIinYHY
40,Electrical Engineering,Fundamentals of Electric Drives,,12th,English/Hindi,Module 10: Emerging Trends in Drives,noc19-ee65-lec40,https://www.youtube.com/watch?v=DtSY8aElB2Q
