S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Electrical Engineering,Fundamentals of Electric Vehicles: Technology & Economics,4hrs 23min,12th,English/Hindi,Module 1: Introduction,Introduction to the Course,https://www.youtube.com/watch?v=UgtjRob5qMg
2,Electrical Engineering,Fundamentals of Electric Vehicles: Technology & Economics,,12th,English/Hindi,Module 2: EV Landscape in India,Lecture 1: Overview of Electric Vehicles in India,https://www.youtube.com/watch?v=3E1SXG7VkQk
3,Electrical Engineering,Fundamentals of Electric Vehicles: Technology & Economics,,12th,English/Hindi,Module 3: Battery Fundamentals,Lecture 2: Can India Drive its EV program Innovatively and Differently and scale? - Part 1,https://www.youtube.com/watch?v=FXpAhoZ13r0
4,Electrical Engineering,Fundamentals of Electric Vehicles: Technology & Economics,,12th,English/Hindi,Module 4: EV Subsystems & Forces,Lecture 3 - Can India Drive its EV program Innovatively and Differently and scale? - Part 2,https://www.youtube.com/watch?v=SHeIrRsrPuQ
5,Electrical Engineering,Fundamentals of Electric Vehicles: Technology & Economics,,12th,English/Hindi,Module 5: Energy Consumption & Drive Cycles,Lecture 4 - A bit about batteries,https://www.youtube.com/watch?v=A3fHQsIkYeU
6,Electrical Engineering,Fundamentals of Electric Vehicles: Technology & Economics,,12th,English/Hindi,Module 6: EV Drive Train Design,Lecture 5: Charging and SwappingInfrastructure,https://www.youtube.com/watch?v=pk-xvzuxMPA
7,Electrical Engineering,Fundamentals of Electric Vehicles: Technology & Economics,,12th,English/Hindi,Module 7: Lithium-Ion Batteries,Lecture 6: Where will we get Lithium for batteries?,https://www.youtube.com/watch?v=vx3ssPmdzWw
8,Electrical Engineering,Fundamentals of Electric Vehicles: Technology & Economics,,12th,English/Hindi,Module 8: Battery Management System (BMS),Lecture 7: EV Subsystems,https://www.youtube.com/watch?v=2CGPfkvCpXw
9,Electrical Engineering,Fundamentals of Electric Vehicles: Technology & Economics,,12th,English/Hindi,Module 9: Battery Pack Design & Development,Lecture 8 - Forces acting when a vehicle move,https://www.youtube.com/watch?v=jHgHEjDEDvM
10,Electrical Engineering,Fundamentals of Electric Vehicles: Technology & Economics,,12th,English/Hindi,Module 10: EV Motors and Controllers,"Lecture 9 - Aerodynamic drag, Rolling Resistance and Uphill Resistance",https://www.youtube.com/watch?v=7YShjrDwP9s
11,Electrical Engineering,Fundamentals of Electric Vehicles: Technology & Economics,,12th,English/Hindi,Module 11: AC Motors & Control,Lecture 10 - Power and Torque to accelerate,https://www.youtube.com/watch?v=3gbpn-bFs28
12,Electrical Engineering,Fundamentals of Electric Vehicles: Technology & Economics,,12th,English/Hindi,Module 12: Thermal Management,Lecture 11 - Putting it all together - 1,https://www.youtube.com/watch?v=BDpb-_H20tI
13,Electrical Engineering,Fundamentals of Electric Vehicles: Technology & Economics,,12th,English/Hindi,Module 13: Engineering Considerations & Future Trends,Lecture 12 - Putting it all together - 2,https://www.youtube.com/watch?v=y7psKwEkxBs
14,Electrical Engineering,Fundamentals of Electric Vehicles: Technology & Economics,,12th,English/Hindi,Module 14: EV Chargers: Types and Infrastructure,Lecture 13 - Concept of Drive Cycle - 1,https://www.youtube.com/watch?v=ftWx0mE3ivE
15,Electrical Engineering,Fundamentals of Electric Vehicles: Technology & Economics,,12th,English/Hindi,Module 15: Economics and Analytics,Lecture 14 - Concept of Drive Cycle - 2,https://www.youtube.com/watch?v=61VupMVdIK8
16,Electrical Engineering,Fundamentals of Electric Vehicles: Technology & Economics,,12th,English/Hindi,Module 15: Economics and Analytics,Lecture 15 - Drive Cycles and Energy used per km - Part 1,https://www.youtube.com/watch?v=AgHtL-DPGkg
17,Electrical Engineering,Fundamentals of Electric Vehicles: Technology & Economics,,12th,English/Hindi,Module 15: Economics and Analytics,Lecture 16 - Drive Cycles and Energy used per km - Part 2,https://www.youtube.com/watch?v=CN0VQOCYa7Q
18,Electrical Engineering,Fundamentals of Electric Vehicles: Technology & Economics,,12th,English/Hindi,Module 15: Economics and Analytics,Lecture 17 - EV Subsystem: Design of EV Drive Train - Part 1,https://www.youtube.com/watch?v=WfiTscWVfWI
19,Electrical Engineering,Fundamentals of Electric Vehicles: Technology & Economics,,12th,English/Hindi,Module 15: Economics and Analytics,Lecture 18 - EV Subsystem: Design of EV Drive Train - Part 2,https://www.youtube.com/watch?v=VC3WLZlzCA8
20,Electrical Engineering,Fundamentals of Electric Vehicles: Technology & Economics,,12th,English/Hindi,Module 15: Economics and Analytics,Lecture 19 - Introduction to Battery Parameters - Part 1,https://www.youtube.com/watch?v=iihYXx79QiE
21,Electrical Engineering,Fundamentals of Electric Vehicles: Technology & Economics,,12th,English/Hindi,Module 15: Economics and Analytics,Lecture 20 - Introduction to Battery Parameters - Part 2,https://www.youtube.com/watch?v=A565YNXItLg
