S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Electrical Engineering,High Voltage Engineering - Electrical Engineering,40hrs 0min,12th,English/Hindi,Module 1: Introduction to High Voltage Engineering,"Introduction to HVE, Electric Stress Control and Estimation - High Voltage Engineering",https://www.youtube.com/watch?v=jVRBSKcd3Io
2,Electrical Engineering,High Voltage Engineering - Electrical Engineering,,12th,English/Hindi,Module 1: Introduction to High Voltage Engineering,Analysis of Electric Field in a Single and Multidielctric System - High Voltage Engineering,https://www.youtube.com/watch?v=GCk6NDyptDQ
3,Electrical Engineering,High Voltage Engineering - Electrical Engineering,,12th,English/Hindi,Module 1: Introduction to High Voltage Engineering,Numerical Method For Estimation of Electric Field - High Voltage Engineering,https://www.youtube.com/watch?v=Kqd0oUOzTDI
4,Electrical Engineering,High Voltage Engineering - Electrical Engineering,,12th,English/Hindi,Module 1: Introduction to High Voltage Engineering,Surge Voltage Their Distribution and Control - High Voltage Engineering,https://www.youtube.com/watch?v=vj8Cmao24R4
5,Electrical Engineering,High Voltage Engineering - Electrical Engineering,,12th,English/Hindi,Module 2: Corona Discharge and Breakdown in Dielectrics,Collision Process and Ionization Process in Gas - High Voltage Engineering,https://www.youtube.com/watch?v=ko567Fey3x0
6,Electrical Engineering,High Voltage Engineering - Electrical Engineering,,12th,English/Hindi,Module 2: Corona Discharge and Breakdown in Dielectrics,Current Growth Equation in Presence of Primary Ionization Process - High Voltage Engineering,https://www.youtube.com/watch?v=Q-0yPPIIwnA
7,Electrical Engineering,High Voltage Engineering - Electrical Engineering,,12th,English/Hindi,Module 2: Corona Discharge and Breakdown in Dielectrics,Current Growth Equation in Presence Secondary Ionization Process - High Voltage Engineering,https://www.youtube.com/watch?v=wtZkttLKeXs
8,Electrical Engineering,High Voltage Engineering - Electrical Engineering,,12th,English/Hindi,Module 2: Corona Discharge and Breakdown in Dielectrics,Townsend's Criterion and Limitations - High Voltage Engineering,https://www.youtube.com/watch?v=LJgYYztIwws
9,Electrical Engineering,High Voltage Engineering - Electrical Engineering,,12th,English/Hindi,Module 3: Voltage Multiplier Circuits and Electrostatic Machines,Post-breakdown Phenomenon and Application - High Voltage Engineering,https://www.youtube.com/watch?v=Z6IlwSLrgu4
10,Electrical Engineering,High Voltage Engineering - Electrical Engineering,,12th,English/Hindi,Module 3: Voltage Multiplier Circuits and Electrostatic Machines,Streamer or Kanal Mechanism of Breakdown - High Voltage Engineering,https://www.youtube.com/watch?v=u7QAJHlFS7A
11,Electrical Engineering,High Voltage Engineering - Electrical Engineering,,12th,English/Hindi,Module 3: Voltage Multiplier Circuits and Electrostatic Machines,Paschen's Law - Conduction & Breakdown in Air & Other Gaseous Dielectrics - High Voltage Engineering,https://www.youtube.com/watch?v=gpRA6aANfCE
12,Electrical Engineering,High Voltage Engineering - Electrical Engineering,,12th,English/Hindi,Module 3: Voltage Multiplier Circuits and Electrostatic Machines,"Numerical on Townsend’s Theory, Paschen’s - High Voltage Engineering",https://www.youtube.com/watch?v=DKVjTSF1248
