S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Electrical Engineering,Microprocessor,16hrs 20min,12th,English/Hindi,Module 1: Introduction to Microprocessors and 8085,Lec-1: Microprocessor and Microcontroller in Computer system,https://www.youtube.com/watch?v=SBh6dJMM6AI
2,Electrical Engineering,Microprocessor,,12th,English/Hindi,Module 1: Introduction to Microprocessors and 8085,Microprocessor vs Microcontroller🎮💻 #shorts #ytshorts #education #electronic #computer,https://www.youtube.com/watch?v=bf9BYmYPqkE
3,Electrical Engineering,Microprocessor,,12th,English/Hindi,Module 1: Introduction to Microprocessors and 8085,Lec-2: Introduction to 8085 Microprocessor,https://www.youtube.com/watch?v=rjnDD0f6vMY
4,Electrical Engineering,Microprocessor,,12th,English/Hindi,Module 1: Introduction to Microprocessors and 8085,Lec-3: 8085 | 40-pin diagram | External Architecture in Hindi,https://www.youtube.com/watch?v=llh4rkvj2OA
5,Electrical Engineering,Microprocessor,,12th,English/Hindi,Module 2: 8085 Architecture and Instructions,Lec-4: Internal Architecture of 8085 Microprocessor | Working of 8085,https://www.youtube.com/watch?v=w2oXhH02GSU
6,Electrical Engineering,Microprocessor,,12th,English/Hindi,Module 2: 8085 Architecture and Instructions,Lec-5: Types of Registers in 8085 | Accumulator | General Purpose Register,https://www.youtube.com/watch?v=z0ktlO0qLbQ
7,Electrical Engineering,Microprocessor,,12th,English/Hindi,Module 2: 8085 Architecture and Instructions,Lec-6: Types of Flag Register in 8085 Microprocessor | Auxiliary carry | Parity | Carry flag,https://www.youtube.com/watch?v=rlcBbFa9A6M
8,Electrical Engineering,Microprocessor,,12th,English/Hindi,Module 2: 8085 Architecture and Instructions,Lec-7: Sign flag & Zero Flag in 8085 | Flag Register | Microprocessor,https://www.youtube.com/watch?v=WXzeS_BLnsY
9,Electrical Engineering,Microprocessor,,12th,English/Hindi,Module 3: 8085 Branching and Addressing Modes,"Lec-8: Instruction in 8085 | 1B, 2B & 3B Instructions | Opcode & Operand | Microprocessor",https://www.youtube.com/watch?v=ln6U1oqSOoo
10,Electrical Engineering,Microprocessor,,12th,English/Hindi,Module 3: 8085 Branching and Addressing Modes,Lec-9: Branching in 8085 | Microprocessor,https://www.youtube.com/watch?v=ZCthW8daesA
11,Electrical Engineering,Microprocessor,,12th,English/Hindi,Module 3: 8085 Branching and Addressing Modes,Lec-10: Unconditional Branching in 8085 | Microprocessor,https://www.youtube.com/watch?v=vkpPGW-IwUg
12,Electrical Engineering,Microprocessor,,12th,English/Hindi,Module 4: Introduction to 8086 and 8051,Lec-11: Addressing modes in 8085 | Microprocessor,https://www.youtube.com/watch?v=vkNVBai9Ciw
13,Electrical Engineering,Microprocessor,,12th,English/Hindi,Module 4: Introduction to 8086 and 8051,Lec-12: Introduction to 8086 Microprocessor,https://www.youtube.com/watch?v=nV0pC0-zJc0
14,Electrical Engineering,Microprocessor,,12th,English/Hindi,Module 4: Introduction to 8086 and 8051,Lec-13: Architecture of 8086 Microprocessor,https://www.youtube.com/watch?v=W1DMmuunJZU
15,Electrical Engineering,Microprocessor,,12th,English/Hindi,Module 4: Introduction to 8086 and 8051,Lec-14: Introduction to 8051 Microcontroller | Basic Features & Imp Points,https://www.youtube.com/watch?v=KcD5ffnfEcA
16,Electrical Engineering,Microprocessor,,12th,English/Hindi,Module 4: Introduction to 8086 and 8051,40 Pin📌 Diagram of 8051 Microcontroller#shorts #shortvideo #ytshorts #education,https://www.youtube.com/watch?v=1U3tu3UZRU8
17,Electrical Engineering,Microprocessor,,12th,English/Hindi,Module 4: Introduction to 8086 and 8051,Conditional Branching in 8085 | Branching in Microprocessor,https://www.youtube.com/watch?v=yu5ovUbPC0I
