S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Electrical Engineering,Smart Grid:  Basics to Advanced Technologies,11hrs 17min,12th,English/Hindi,Module 1: Introduction to Smart Grid,Smart Grid:  Basics to Advanced Technologies,https://www.youtube.com/watch?v=Q_OdV8m6cqk
2,Electrical Engineering,Smart Grid:  Basics to Advanced Technologies,,12th,English/Hindi,Module 1: Introduction to Smart Grid,Introduction to Smart Grid-I.,https://www.youtube.com/watch?v=fojsAvPjgRs
3,Electrical Engineering,Smart Grid:  Basics to Advanced Technologies,,12th,English/Hindi,Module 1: Introduction to Smart Grid,Architecture of Smart Grid system,https://www.youtube.com/watch?v=tWL87K-qC-0
4,Electrical Engineering,Smart Grid:  Basics to Advanced Technologies,,12th,English/Hindi,Module 1: Introduction to Smart Grid,Standards for Smart Grid system,https://www.youtube.com/watch?v=m-vhrYyQkKs
5,Electrical Engineering,Smart Grid:  Basics to Advanced Technologies,,12th,English/Hindi,Module 2: Elements and Technologies of Smart Grid,Elements and Technologies of Smart Grid System-I,https://www.youtube.com/watch?v=9n5-8dogBjU
6,Electrical Engineering,Smart Grid:  Basics to Advanced Technologies,,12th,English/Hindi,Module 2: Elements and Technologies of Smart Grid,Introduction to Smart Grid-II.,https://www.youtube.com/watch?v=CTBlHqw198I
7,Electrical Engineering,Smart Grid:  Basics to Advanced Technologies,,12th,English/Hindi,Module 2: Elements and Technologies of Smart Grid,Elements and Technologies of Smart Grid System-II,https://www.youtube.com/watch?v=q8KnBoKILPA
8,Electrical Engineering,Smart Grid:  Basics to Advanced Technologies,,12th,English/Hindi,Module 2: Elements and Technologies of Smart Grid,Distributed Generation Resources-I,https://www.youtube.com/watch?v=vEFWXyOIYmU
9,Electrical Engineering,Smart Grid:  Basics to Advanced Technologies,,12th,English/Hindi,Module 3: Distributed Generation Resources,Distributed Generation Resources- II,https://www.youtube.com/watch?v=_HdWsyi1OLs
10,Electrical Engineering,Smart Grid:  Basics to Advanced Technologies,,12th,English/Hindi,Module 3: Distributed Generation Resources,Distributed Generation Resources- III,https://www.youtube.com/watch?v=pZK38gEwolg
11,Electrical Engineering,Smart Grid:  Basics to Advanced Technologies,,12th,English/Hindi,Module 3: Distributed Generation Resources,Distributed Generation Resources- IV,https://www.youtube.com/watch?v=IpMTeCcsFXI
12,Electrical Engineering,Smart Grid:  Basics to Advanced Technologies,,12th,English/Hindi,Module 3: Distributed Generation Resources,Introduction to energy storage devices,https://www.youtube.com/watch?v=o6Afp-MI_tQ
