S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Entrepreneurship,ENTREPRENEURIAL MINDSET AND MOTIVATION,14hrs 14min,12th,English/Hindi,Module 1: Introduction to Entrepreneurial Mindset,Entrepreneur Greatness is a Mental Stress Test | Entrepreneurial Mindset #motivation,https://www.youtube.com/watch?v=yKguPEYePG0
2,Entrepreneurship,ENTREPRENEURIAL MINDSET AND MOTIVATION,,12th,English/Hindi,Module 1: Introduction to Entrepreneurial Mindset,Entrepreneurship: How I Became An Inventor,https://www.youtube.com/watch?v=1yePXMbzCNs
3,Entrepreneurship,ENTREPRENEURIAL MINDSET AND MOTIVATION,,12th,English/Hindi,Module 1: Introduction to Entrepreneurial Mindset,ENTREPRENEUR MINDSET: Are You Cut Out For Entrepreneurship?,https://www.youtube.com/watch?v=rACUYGvB12M
4,Entrepreneurship,ENTREPRENEURIAL MINDSET AND MOTIVATION,,12th,English/Hindi,Module 1: Introduction to Entrepreneurial Mindset,How to Easily Spot a Winner: The Power of an Entrepreneur Mindset | Identifying Greatness,https://www.youtube.com/watch?v=LfRvLyUhFKE
5,Entrepreneurship,ENTREPRENEURIAL MINDSET AND MOTIVATION,,12th,English/Hindi,Module 2: Identifying Entrepreneurial Traits,Entrepreneurial Mindset: Make It Count,https://www.youtube.com/watch?v=ZSMIkCXJxN0
6,Entrepreneurship,ENTREPRENEURIAL MINDSET AND MOTIVATION,,12th,English/Hindi,Module 2: Identifying Entrepreneurial Traits,From Setbacks to Success: Entrepreneur Mindset - Overcoming Obstacles and Achieving Success,https://www.youtube.com/watch?v=8yZ2lt9dmuc
7,Entrepreneurship,ENTREPRENEURIAL MINDSET AND MOTIVATION,,12th,English/Hindi,Module 2: Identifying Entrepreneurial Traits,From dream to reality: Entrepreneur Motivation - Get motivated for Starting a Business,https://www.youtube.com/watch?v=O6iBFaJli5s
8,Entrepreneurship,ENTREPRENEURIAL MINDSET AND MOTIVATION,,12th,English/Hindi,Module 2: Identifying Entrepreneurial Traits,How to Program Your Mind for Success (Entrepreneurial Mindset) - Cracking the Mindset Code,https://www.youtube.com/watch?v=TGFjDGyNLvU
9,Entrepreneurship,ENTREPRENEURIAL MINDSET AND MOTIVATION,,12th,English/Hindi,Module 3: Cultivating the Entrepreneurial Mindset,Entrepreneur Mindset: 10 Signs Entrepreneurship Is Right For You - Take the Leap,https://www.youtube.com/watch?v=_xt6_dNslwg
10,Entrepreneurship,ENTREPRENEURIAL MINDSET AND MOTIVATION,,12th,English/Hindi,Module 3: Cultivating the Entrepreneurial Mindset,Entrepreneur Motivation: The Best Mindset to Achieve Financial Success,https://www.youtube.com/watch?v=pAXQ3dX2Alo
11,Entrepreneurship,ENTREPRENEURIAL MINDSET AND MOTIVATION,,12th,English/Hindi,Module 3: Cultivating the Entrepreneurial Mindset,Justin Leonard Explains the Power of the Entrepreneurial Mindset -  The Key to Success,https://www.youtube.com/watch?v=nXpB30uXJN0
12,Entrepreneurship,ENTREPRENEURIAL MINDSET AND MOTIVATION,,12th,English/Hindi,Module 4: Success Stories and Case Studies,Entrepreneurial Mindset: How To Thinking Like a Successful Entrepreneur,https://www.youtube.com/watch?v=8AFDhC80a4s
13,Entrepreneurship,ENTREPRENEURIAL MINDSET AND MOTIVATION,,12th,English/Hindi,Module 4: Success Stories and Case Studies,Entrepreneurial Mindset: A Characteristic Common To All Entrepreneurs - Trait Among Visionaries,https://www.youtube.com/watch?v=bWFY83iSDsQ
14,Entrepreneurship,ENTREPRENEURIAL MINDSET AND MOTIVATION,,12th,English/Hindi,Module 4: Success Stories and Case Studies,The Key Entrepreneurial  Mindset: Winners (Especially) Have THIS Unique Trait,https://www.youtube.com/watch?v=JLy5WFZFpmg
15,Entrepreneurship,ENTREPRENEURIAL MINDSET AND MOTIVATION,,12th,English/Hindi,Module 4: Success Stories and Case Studies,Entrepreneur Motivation: How To Dramatically Boost Financial Success,https://www.youtube.com/watch?v=WGQ3UKuXlDw
