S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Entrepreneurship,Entrepreneurial Leadership (work time)Playlist,9hrs 10min,12th,English/Hindi,"Module 1: Entrepreneurial Vision and Mindset: Mahalia - I Wish I Missed My Ex, Michael Kiwanuka, Tom Misch - Money (Official Video)",Mahalia - I Wish I Missed My Ex,https://www.youtube.com/watch?v=a7kT52xL-7g
2,Entrepreneurship,Entrepreneurial Leadership (work time)Playlist,,12th,English/Hindi,"Module 1: Entrepreneurial Vision and Mindset: Mahalia - I Wish I Missed My Ex, Michael Kiwanuka, Tom Misch - Money (Official Video)","Michael Kiwanuka, Tom Misch - Money (Official Video)",https://www.youtube.com/watch?v=EJjn03K0JsQ
3,Entrepreneurship,Entrepreneurial Leadership (work time)Playlist,,12th,English/Hindi,"Module 1: Entrepreneurial Vision and Mindset: Mahalia - I Wish I Missed My Ex, Michael Kiwanuka, Tom Misch - Money (Official Video)",Hawa Boussim - Koregore (Clip officiel),https://www.youtube.com/watch?v=gdLVscm8V6M
4,Entrepreneurship,Entrepreneurial Leadership (work time)Playlist,,12th,English/Hindi,"Module 1: Entrepreneurial Vision and Mindset: Mahalia - I Wish I Missed My Ex, Michael Kiwanuka, Tom Misch - Money (Official Video)",Labrinth - No Ordinary (Official Audio),https://www.youtube.com/watch?v=ArDADZO1Wjk
5,Entrepreneurship,Entrepreneurial Leadership (work time)Playlist,,12th,English/Hindi,Module 2: Opportunity Recognition and Evaluation: Solange - Don't Touch My Hair (Video) ft. Sampha,Abrham Belayneh - Ete Abay | እቴ አባይ - New Ethiopian Music 2019 (Official Video),https://www.youtube.com/watch?v=w8GArtFPTFM
6,Entrepreneurship,Entrepreneurial Leadership (work time)Playlist,,12th,English/Hindi,Module 2: Opportunity Recognition and Evaluation: Solange - Don't Touch My Hair (Video) ft. Sampha,Solange - Don't Touch My Hair (Video) ft. Sampha,https://www.youtube.com/watch?v=YTtrnDbOQAU
7,Entrepreneurship,Entrepreneurial Leadership (work time)Playlist,,12th,English/Hindi,Module 2: Opportunity Recognition and Evaluation: Solange - Don't Touch My Hair (Video) ft. Sampha,Kokoroko - ABUSEY JUNCTION // WE OUT HERE,https://www.youtube.com/watch?v=tSv04ylc6To
8,Entrepreneurship,Entrepreneurial Leadership (work time)Playlist,,12th,English/Hindi,Module 3: Leading with Passion and Purpose: Nafas,STORMZY - AUDACITY (feat. HEADIE ONE),https://www.youtube.com/watch?v=Zm7Zya6Hl50
9,Entrepreneurship,Entrepreneurial Leadership (work time)Playlist,,12th,English/Hindi,Module 3: Leading with Passion and Purpose: Nafas,Nafas,https://www.youtube.com/watch?v=SYgMIV4CSSs
10,Entrepreneurship,Entrepreneurial Leadership (work time)Playlist,,12th,English/Hindi,Module 3: Leading with Passion and Purpose: Nafas,Tiwa Savage - Koroba,https://www.youtube.com/watch?v=5goMslKxEWs
11,Entrepreneurship,Entrepreneurial Leadership (work time)Playlist,,12th,English/Hindi,Module 4: Building High-Performing Teams: SANDS TIGI OFFICIAL VIDEO,XUSEEN  M SAXARDIID | Adaan Duni Kuu Aqaan | New Somali Music 2020 (Official Video),https://www.youtube.com/watch?v=jtXuEINS4DM
