S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Entrepreneurship,Entrepreneurial Marketing,3hrs 13min,12th,English/Hindi,Module 1: Introduction to Entrepreneurial Marketing,Entrepreneurial Marketing: Introduction,https://www.youtube.com/watch?v=KwjtFgn-TEU
2,Entrepreneurship,Entrepreneurial Marketing,,12th,English/Hindi,Module 1: Introduction to Entrepreneurial Marketing,Entrepreneurial Marketing: Quad Marketing Approach,https://www.youtube.com/watch?v=J0WXUbBJ7Ug
3,Entrepreneurship,Entrepreneurial Marketing,,12th,English/Hindi,Module 1: Introduction to Entrepreneurial Marketing,Entrepreneurial Marketing: Modern Marketing Strategy,https://www.youtube.com/watch?v=yeIM5IxvY-o
4,Entrepreneurship,Entrepreneurial Marketing,,12th,English/Hindi,Module 1: Introduction to Entrepreneurial Marketing,Entrepreneurial Marketing: Content and Objectives,https://www.youtube.com/watch?v=ZbmKtfZGnbk
5,Entrepreneurship,Entrepreneurial Marketing,,12th,English/Hindi,Module 2: Managing the Marketing Mix,Entrepreneurial Marketing: Marketing Mix Management,https://www.youtube.com/watch?v=wY8aVBCANk4
6,Entrepreneurship,Entrepreneurial Marketing,,12th,English/Hindi,Module 2: Managing the Marketing Mix,Entrepreneurial Marketing: Growth Hacking,https://www.youtube.com/watch?v=wLNEllZMotc
7,Entrepreneurship,Entrepreneurial Marketing,,12th,English/Hindi,Module 2: Managing the Marketing Mix,Entrepreneurial Marketing: Consolidate & Codify Learning,https://www.youtube.com/watch?v=N2plHl9zNlw
8,Entrepreneurship,Entrepreneurial Marketing,,12th,English/Hindi,Module 3: Insights from Neil Patel - Online Marketing,Entrepreneurial Marketing: Insights from Neil Patel / Online Marketing,https://www.youtube.com/watch?v=C3D3GtaGeEI
9,Entrepreneurship,Entrepreneurial Marketing,,12th,English/Hindi,Module 3: Insights from Neil Patel - Online Marketing,Entrepreneurial Marketing: Insights from Neil Patel / Email Marketing,https://www.youtube.com/watch?v=BdGRUaOeMO8
10,Entrepreneurship,Entrepreneurial Marketing,,12th,English/Hindi,Module 4: Insights from Neil Patel - SEO,Entrepreneurial Marketing: Insights from Neil Patel / SEO,https://www.youtube.com/watch?v=amP8CSKwBZ4
11,Entrepreneurship,Entrepreneurial Marketing,,12th,English/Hindi,Module 4: Insights from Neil Patel - SEO,Entrepreneurial Marketing: Insights from Neil Patel / Marketing Tactics,https://www.youtube.com/watch?v=cHb0Yts-IEY
12,Entrepreneurship,Entrepreneurial Marketing,,12th,English/Hindi,Module 5: Insights from Neil Patel - Content Marketing,Entrepreneurial Marketing: Insights from Neil Patel / Content Marketing,https://www.youtube.com/watch?v=4zcydwhYS48
13,Entrepreneurship,Entrepreneurial Marketing,,12th,English/Hindi,Module 5: Insights from Neil Patel - Content Marketing,Entrepreneurial Marketing: Insights from Neil Patel / Neil's Tips,https://www.youtube.com/watch?v=xeZPUvSm83A
