S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Entrepreneurship,Entrepreneurship and Family Business - 1 (Dwivedi Guidance),60hrs 16min,12th,English/Hindi,Module 1: Introduction to Entrepreneurship and Family Business,"Entrepreneurship and Family business, John Kao's Model, Entrepreneurship and Family business 1",https://www.youtube.com/watch?v=EYDN8AjivGs
2,Entrepreneurship,Entrepreneurship and Family Business - 1 (Dwivedi Guidance),,12th,English/Hindi,Module 1: Introduction to Entrepreneurship and Family Business,"Entrepreneurship and Family Business, Strategic Planning for Business, Building Team, Idea Generatio",https://www.youtube.com/watch?v=mxlydWfQy90
3,Entrepreneurship,Entrepreneurship and Family Business - 1 (Dwivedi Guidance),,12th,English/Hindi,Module 1: Introduction to Entrepreneurship and Family Business,"Business Plan, Purpose and Contents of a business plan, Introduction to Entrepreneurship in hindi",https://www.youtube.com/watch?v=RKhcqYh4T0c
4,Entrepreneurship,Entrepreneurship and Family Business - 1 (Dwivedi Guidance),,12th,English/Hindi,Module 1: Introduction to Entrepreneurship and Family Business,"Loan Syndication and, Consortium Finance, Entrepreneurship and Family Business, Single bank arrange",https://www.youtube.com/watch?v=j7_I3xYj0cE
5,Entrepreneurship,Entrepreneurship and Family Business - 1 (Dwivedi Guidance),,12th,English/Hindi,Module 2: Business Plan Development,"Stimulating Creativity, Creative Teams, Entrepreneurship and Family Business, creativity, creative",https://www.youtube.com/watch?v=wtQE2rzZflk
6,Entrepreneurship,Entrepreneurship and Family Business - 1 (Dwivedi Guidance),,12th,English/Hindi,Module 2: Business Plan Development,"Innovation, Sources of Innovation in business, Entrepreneurship and Family business 1, entrepreneur",https://www.youtube.com/watch?v=aDTms62r-2A
7,Entrepreneurship,Entrepreneurship and Family Business - 1 (Dwivedi Guidance),,12th,English/Hindi,Module 2: Business Plan Development,"Social Entrepreneurship, Characteristics, Role of Social Entrepreneur, entrepreneurship and family",https://www.youtube.com/watch?v=-suuHkJmz-w
8,Entrepreneurship,Entrepreneurship and Family Business - 1 (Dwivedi Guidance),,12th,English/Hindi,Module 3: Stimulating Creativity and Innovation,Sources of Finance | Financing the New Venture | Innovation and Entrepreneurship | Entrepreneurship,https://www.youtube.com/watch?v=58nG5-X_lJI
9,Entrepreneurship,Entrepreneurship and Family Business - 1 (Dwivedi Guidance),,12th,English/Hindi,Module 3: Stimulating Creativity and Innovation,"Stages of Financing, Stages of business development funding, financing of new ventures, entrepreneur",https://www.youtube.com/watch?v=8FPBDj8YtO4
10,Entrepreneurship,Entrepreneurship and Family Business - 1 (Dwivedi Guidance),,12th,English/Hindi,Module 3: Stimulating Creativity and Innovation,"Seed Funding, Seed funding for startups in India, source of Finance, Incubators, Accelerators, bcom",https://www.youtube.com/watch?v=0qSSl3vZjCM
11,Entrepreneurship,Entrepreneurship and Family Business - 1 (Dwivedi Guidance),,12th,English/Hindi,Module 4: Social Entrepreneurship and its Role,"Venture Capital, Angel Investing, Crowdfunding, Angel Investor, Innovation and Entrepreneurship",https://www.youtube.com/watch?v=CMyqgbJwR4I
12,Entrepreneurship,Entrepreneurship and Family Business - 1 (Dwivedi Guidance),,12th,English/Hindi,Module 4: Social Entrepreneurship and its Role,"Entrepreneurship : Concept and Objective, Entrepreneur, Introduction to entrepreneurship bcom, bba",https://www.youtube.com/watch?v=rA4uKIy5gO0
13,Entrepreneurship,Entrepreneurship and Family Business - 1 (Dwivedi Guidance),,12th,English/Hindi,Module 4: Social Entrepreneurship and its Role,"Type of Entrepreneurs, Entrepreneurship Development, Introduction to entrepreneurship, entrepreneur",https://www.youtube.com/watch?v=cNUiBt5_ZaM
14,Entrepreneurship,Entrepreneurship and Family Business - 1 (Dwivedi Guidance),,12th,English/Hindi,Module 5: Stages of Financing and Business Development,"Entrepreneurial Traits and Mindset, Introduction to Entrepreneurship, B.Com, BBA, MBA, BCA, Dwivedi",https://www.youtube.com/watch?v=l0KNDM0p-YQ
15,Entrepreneurship,Entrepreneurship and Family Business - 1 (Dwivedi Guidance),,12th,English/Hindi,Module 5: Stages of Financing and Business Development,"Commercial Banks : Meaning, Types, Functions of commercial banks, Currency banking and Exchange bcom",https://www.youtube.com/watch?v=uFCCVEg2Mg8
16,Entrepreneurship,Entrepreneurship and Family Business - 1 (Dwivedi Guidance),,12th,English/Hindi,Module 5: Stages of Financing and Business Development,"Family Business, Characteristics of family business, type of family business, entrepreneurship bba",https://www.youtube.com/watch?v=rRXt9Jf2EWs
