S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Entrepreneurship,How to Start a Startup,109hrs 17min,12th,English/Hindi,Module 1: Startup Genesis,"Lecture 1 - How to Start a Startup (Sam Altman, Dustin Moskovitz)",https://www.youtube.com/watch?v=CBYhVcO4WgI
2,Entrepreneurship,How to Start a Startup,,12th,English/Hindi,Module 1: Startup Genesis,Lecture 2 - Team and Execution (Sam Altman),https://www.youtube.com/watch?v=CVfnkM44Urs
3,Entrepreneurship,How to Start a Startup,,12th,English/Hindi,Module 1: Startup Genesis,Lecture 3 - Before the Startup (Paul Graham),https://www.youtube.com/watch?v=ii1jcLg-eIQ
4,Entrepreneurship,How to Start a Startup,,12th,English/Hindi,Module 2: Pre-Launch Essentials,"Lecture 4 - Building Product, Talking to Users, and Growing (Adora Cheung)",https://www.youtube.com/watch?v=yP176MBG9Tk
5,Entrepreneurship,How to Start a Startup,,12th,English/Hindi,Module 2: Pre-Launch Essentials,Lecture 5 - Competition is for Losers (Peter Thiel),https://www.youtube.com/watch?v=5_0dVHMpJlo
6,Entrepreneurship,How to Start a Startup,,12th,English/Hindi,Module 3: Growth Hacking,Lecture 6 - Growth (Alex Schultz),https://www.youtube.com/watch?v=n_yHZ_vKjno
7,Entrepreneurship,How to Start a Startup,,12th,English/Hindi,Module 3: Growth Hacking,Lecture 7 - How to Build Products Users Love (Kevin Hale),https://www.youtube.com/watch?v=sz_LgBAGYyo
8,Entrepreneurship,How to Start a Startup,,12th,English/Hindi,Module 4: Product Development,"Lecture 8 - How to Get Started, Doing Things that Don't Scale, Press",https://www.youtube.com/watch?v=oQOC-qy-GDY
9,Entrepreneurship,How to Start a Startup,,12th,English/Hindi,Module 4: Product Development,"Lecture 9 - How to Raise Money (Marc Andreessen, Ron Conway, Parker Conrad)",https://www.youtube.com/watch?v=uFX95HahaUs
10,Entrepreneurship,How to Start a Startup,,12th,English/Hindi,Module 5: Funding & Culture,"Lecture 10 - Culture (Brian Chesky, Alfred Lin)",https://www.youtube.com/watch?v=RfWgVWGEuGE
11,Entrepreneurship,How to Start a Startup,,12th,English/Hindi,Module 5: Funding & Culture,"Lecture 11 - Hiring and Culture, Part 2 (Patrick and John Collison, Ben Silbermann)",https://www.youtube.com/watch?v=H8Dl8rZ6qwE
12,Entrepreneurship,How to Start a Startup,,12th,English/Hindi,Module 6: Scaling & Leadership,Lecture 12 - Building for the Enterprise (Aaron Levie),https://www.youtube.com/watch?v=tFVDjrvQJdw
13,Entrepreneurship,How to Start a Startup,,12th,English/Hindi,Module 6: Scaling & Leadership,Lecture 13 - How to be a Great Founder (Reid Hoffman),https://www.youtube.com/watch?v=dQ7ZvO5DpIw
14,Entrepreneurship,How to Start a Startup,,12th,English/Hindi,Module 7: Operational Excellence,Lecture 14 - How to Operate (Keith Rabois),https://www.youtube.com/watch?v=6fQHLK1aIBs
15,Entrepreneurship,How to Start a Startup,,12th,English/Hindi,Module 7: Operational Excellence,Lecture 15 - How to Manage (Ben Horowitz),https://www.youtube.com/watch?v=uVhTvQXfibU
16,Entrepreneurship,How to Start a Startup,,12th,English/Hindi,Module 8: User-Centric Design,Lecture 16 - How to Run a User Interview (Emmett Shear),https://www.youtube.com/watch?v=qAws7eXItMk
17,Entrepreneurship,How to Start a Startup,,12th,English/Hindi,Module 8: User-Centric Design,Lecture 17 - How to Design Hardware Products (Hosain Rahman),https://www.youtube.com/watch?v=F4K_qVlYQkg
18,Entrepreneurship,How to Start a Startup,,12th,English/Hindi,Module 9: Hardware & Legal,"Lecture 18 - Legal and Accounting Basics for Startups (Kirsty Nathoo, Carolynn Levy)",https://www.youtube.com/watch?v=EHzvmyMJEK4
19,Entrepreneurship,How to Start a Startup,,12th,English/Hindi,Module 9: Hardware & Legal,Lecture 19 - Sales and Marketing; How to Talk to Investors (Tyler Bosmeny; YC Partners),https://www.youtube.com/watch?v=SHAh6WKBgiE
20,Entrepreneurship,How to Start a Startup,,12th,English/Hindi,Module 10: Investment & Growth,Lecture 20 - Later-stage Advice (Sam Altman),https://www.youtube.com/watch?v=59ZQ-rf6iIc
21,Entrepreneurship,How to Start a Startup,,12th,English/Hindi,Module 10: Investment & Growth,"YC Startup Talk for Students, 2022",https://www.youtube.com/watch?v=cfV70T6Owpw
