S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Fashion Design,Digital Fashion Design Course,1hrs 20min,12th,English/Hindi,Module 1: Introduction to Digital Fashion,Digital Fashion Design Course #1,https://www.youtube.com/watch?v=ujLyN7U8_tE
2,Fashion Design,Digital Fashion Design Course,,12th,English/Hindi,Module 1: Introduction to Digital Fashion,Digital Fashion Design Course #2,https://www.youtube.com/watch?v=7rQ16tIEPBw
3,Fashion Design,Digital Fashion Design Course,,12th,English/Hindi,Module 1: Introduction to Digital Fashion,Digital Fashion Design Course #3,https://www.youtube.com/watch?v=993JmRM1gqE
4,Fashion Design,Digital Fashion Design Course,,12th,English/Hindi,Module 2: Digital Fashion Design Software,Digital Fashion Design Course #4,https://www.youtube.com/watch?v=PdLQ2aqG63s
5,Fashion Design,Digital Fashion Design Course,,12th,English/Hindi,Module 2: Digital Fashion Design Software,Digital Fashion Design Course #5,https://www.youtube.com/watch?v=v6k0SwUhDmI
6,Fashion Design,Digital Fashion Design Course,,12th,English/Hindi,Module 2: Digital Fashion Design Software,Digital Fashion Design Course #6,https://www.youtube.com/watch?v=Tyvrk4ZUPfQ
7,Fashion Design,Digital Fashion Design Course,,12th,English/Hindi,Module 3: Digital Fashion Design Techniques,Digital Fashion Design Course #7,https://www.youtube.com/watch?v=lxiU8c82c-Y
8,Fashion Design,Digital Fashion Design Course,,12th,English/Hindi,Module 3: Digital Fashion Design Techniques,Digital Fashion Design Course #8,https://www.youtube.com/watch?v=dcuFbvJOnQ0
9,Fashion Design,Digital Fashion Design Course,,12th,English/Hindi,Module 3: Digital Fashion Design Techniques,Digital Fashion Design Course #9,https://www.youtube.com/watch?v=XaQw0GbOrH0
10,Fashion Design,Digital Fashion Design Course,,12th,English/Hindi,Module 4: Digital Fashion Portfolio,Digital Fashion Design Course #10,https://www.youtube.com/watch?v=mdMg1_cNleo
11,Fashion Design,Digital Fashion Design Course,,12th,English/Hindi,Module 4: Digital Fashion Portfolio,Digital Fashion Design Course #11,https://www.youtube.com/watch?v=qlhvcsZEMMQ
12,Fashion Design,Digital Fashion Design Course,,12th,English/Hindi,Module 4: Digital Fashion Portfolio,Digital Fashion Design Course #12,https://www.youtube.com/watch?v=0EG70OINP-8
