S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Fashion Design,FASHION ENTREPRENEURSHIP,42hrs 22min,12th,English/Hindi,Module 1: Goal Setting & Business Planning,HOW TO SET GOALS AS A FASHION ENTREPRENEUR (& ACTUALLY ACHIEVE THEM!),https://www.youtube.com/watch?v=rGH46L6wKKY
2,Fashion Design,FASHION ENTREPRENEURSHIP,,12th,English/Hindi,Module 1: Goal Setting & Business Planning,PLANNING YOUR BUSINESS MODEL FOR THE FUTURE OF THE FASHION INDUSTRY,https://www.youtube.com/watch?v=KqbmG79c4N4
3,Fashion Design,FASHION ENTREPRENEURSHIP,,12th,English/Hindi,Module 1: Goal Setting & Business Planning,CREATE A BUSINESS PLAN FOR YOUR FASHION BRAND IN 5 SIMPLE STEPS,https://www.youtube.com/watch?v=eS0QvstDq2k
4,Fashion Design,FASHION ENTREPRENEURSHIP,,12th,English/Hindi,Module 1: Goal Setting & Business Planning,HOW I LAUNCHED A SUSTAINABLE FASHION BRAND,https://www.youtube.com/watch?v=bE6eeZOCCF0
5,Fashion Design,FASHION ENTREPRENEURSHIP,,12th,English/Hindi,Module 2: Sustainable Fashion & Brand Launching,THIS IS THE REQUIRED TRAIT OF A FASHION ENTREPRENEUR,https://www.youtube.com/watch?v=lwO6D6tmwRI
6,Fashion Design,FASHION ENTREPRENEURSHIP,,12th,English/Hindi,Module 2: Sustainable Fashion & Brand Launching,HOW TO PUSH PAST FEAR TO LAUNCH YOUR FASHION BRAND THIS YEAR,https://www.youtube.com/watch?v=7bCkvdZsJWM
7,Fashion Design,FASHION ENTREPRENEURSHIP,,12th,English/Hindi,Module 2: Sustainable Fashion & Brand Launching,A STARTUP CONVERSATION WITH FOUNDER OF LIZ RIDEN,https://www.youtube.com/watch?v=ppMSODCG-Bw
8,Fashion Design,FASHION ENTREPRENEURSHIP,,12th,English/Hindi,Module 2: Sustainable Fashion & Brand Launching,WHEN TO INVEST IN YOUR FASHION BUSINESS (& WHERE TO START FOR FREE),https://www.youtube.com/watch?v=J4FU1NPdCv8
9,Fashion Design,FASHION ENTREPRENEURSHIP,,12th,English/Hindi,Module 3: Overcoming Fear & Building Resilience,WORRYING ABOUT COPYCATS & COMPETITORS AS A FASHION FOUNDER,https://www.youtube.com/watch?v=rjBRYF2OMD4
10,Fashion Design,FASHION ENTREPRENEURSHIP,,12th,English/Hindi,Module 3: Overcoming Fear & Building Resilience,A SIMPLE PRODUCTIVITY BOOSTER TO GET MORE DONE AS A FASHION ENTREPRENEUR,https://www.youtube.com/watch?v=3TG6dv0eZ3s
11,Fashion Design,FASHION ENTREPRENEURSHIP,,12th,English/Hindi,Module 3: Overcoming Fear & Building Resilience,HOW TO SET GOALS YOU'LL ACTUALLY ACHIEVE WITH FACTORY45 MENTOR DENISHA FERGUSON,https://www.youtube.com/watch?v=RY4fhJURogg
12,Fashion Design,FASHION ENTREPRENEURSHIP,,12th,English/Hindi,Module 4: Productivity & Competitor Analysis,SHOULD YOU START A SUSTAINABLE FASHION BRAND DURING A RECESSION?,https://www.youtube.com/watch?v=BAiiXNXFRhM
13,Fashion Design,FASHION ENTREPRENEURSHIP,,12th,English/Hindi,Module 4: Productivity & Competitor Analysis,HOW FASHION ENTREPRENEURS CAN STOP FEARING FAILURE,https://www.youtube.com/watch?v=TMVufx9eWcc
14,Fashion Design,FASHION ENTREPRENEURSHIP,,12th,English/Hindi,Module 4: Productivity & Competitor Analysis,HOW TO DEAL WITH INFORMATION OVERLOAD WHEN BUILDING YOUR FASHION BRAND,https://www.youtube.com/watch?v=CRMCa40nIP0
15,Fashion Design,FASHION ENTREPRENEURSHIP,,12th,English/Hindi,"Module 5: Funding, Pivoting & Work-Life Balance",HOW ENTREPRENEURSHIP CHANGES YOUR BRAIN (FOR THE BETTER),https://www.youtube.com/watch?v=D-uPx4vSxks
16,Fashion Design,FASHION ENTREPRENEURSHIP,,12th,English/Hindi,"Module 5: Funding, Pivoting & Work-Life Balance",HOW TO LAUNCH A FASHION BRAND WITHOUT GOING INTO DEBT,https://www.youtube.com/watch?v=JMXm3Oe6Izk
17,Fashion Design,FASHION ENTREPRENEURSHIP,,12th,English/Hindi,"Module 5: Funding, Pivoting & Work-Life Balance",HOW TO PIVOT FROM A TRADITIONAL CAREER TO FASHION ENTREPRENEURSHIP,https://www.youtube.com/watch?v=3S8FyE1-hmw
18,Fashion Design,FASHION ENTREPRENEURSHIP,,12th,English/Hindi,"Module 5: Funding, Pivoting & Work-Life Balance",HOW TO BALANCE PARENTING & FASHION ENTREPRENEURSHIP,https://www.youtube.com/watch?v=KsR6XkDL3h0
