S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Fashion Design,Fashion  Communication,9hrs 13min,12th,English/Hindi,Module 1: Introduction to Design Principles,Elements and Principles of Design,https://www.youtube.com/watch?v=0oaqIJGwCOI
2,Fashion Design,Fashion  Communication,,12th,English/Hindi,Module 1: Introduction to Design Principles,Principles of Design,https://www.youtube.com/watch?v=ZDcd5PdrttQ
3,Fashion Design,Fashion  Communication,,12th,English/Hindi,Module 1: Introduction to Design Principles,Fashion elements and principles Movie,https://www.youtube.com/watch?v=yel-H9eBIz0
4,Fashion Design,Fashion  Communication,,12th,English/Hindi,Module 1: Introduction to Design Principles,Elements and Principles of Design PowerPoint,https://www.youtube.com/watch?v=Wxq4Hnw0Ukw
5,Fashion Design,Fashion  Communication,,12th,English/Hindi,Module 2: Principles of Design in Fashion,Apparel designing fundamentals   Principles of Design,https://www.youtube.com/watch?v=UM0zLZwr50M
6,Fashion Design,Fashion  Communication,,12th,English/Hindi,Module 2: Principles of Design in Fashion,Elements of Design - Line Direction Jayne Gwyne M. Gonzales,https://www.youtube.com/watch?v=WgQM7ySG-f8
7,Fashion Design,Fashion  Communication,,12th,English/Hindi,Module 2: Principles of Design in Fashion,How lines are used in Fashion Design,https://www.youtube.com/watch?v=EMg08NXPQVQ
8,Fashion Design,Fashion  Communication,,12th,English/Hindi,Module 3: Elements and Principles - PowerPoint,Design Elements | Material & Form,https://www.youtube.com/watch?v=wMtfWj8vt68
9,Fashion Design,Fashion  Communication,,12th,English/Hindi,Module 3: Elements and Principles - PowerPoint,Elements & Principles of Design By Alicia Meyer,https://www.youtube.com/watch?v=YeeFPCkSMuc
10,Fashion Design,Fashion  Communication,,12th,English/Hindi,Module 4: Fashion Illustration and its Elements,"Introduction To Fashion Elements, Principles And Illustration…",https://www.youtube.com/watch?v=I9dicM_2pr8
