S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Fashion Design,Fashion Forecasting,29hrs 18min,12th,English/Hindi,Module 1: Introduction to Fashion Forecasting,"Fashion Buyer and What is a Trend Forecaster | S1, E4 | Future of Fashion | British Vogue",https://www.youtube.com/watch?v=CQcOmHphL-4
2,Fashion Design,Fashion Forecasting,,12th,English/Hindi,Module 1: Introduction to Fashion Forecasting,How companies predict fashion trends and kill individuality | Mahir Can Işik | TED Institute,https://www.youtube.com/watch?v=xlgnWJx9oxc
3,Fashion Design,Fashion Forecasting,,12th,English/Hindi,Module 1: Introduction to Fashion Forecasting,As a Fashion Design Student | All about Trend Forecasting,https://www.youtube.com/watch?v=Ig80s7haF_s
4,Fashion Design,Fashion Forecasting,,12th,English/Hindi,Module 1: Introduction to Fashion Forecasting,Trend Forecasting with WGSN,https://www.youtube.com/watch?v=9IouItawTOE
5,Fashion Design,Fashion Forecasting,,12th,English/Hindi,Module 2: Trend Forecasting for Fashion Designers,5 Big Trends For Spring/Summer 2019,https://www.youtube.com/watch?v=BigYSIm86zs
6,Fashion Design,Fashion Forecasting,,12th,English/Hindi,Module 2: Trend Forecasting for Fashion Designers,How to Forecast Fashion Trends for your Brand in 2019,https://www.youtube.com/watch?v=gyRRNvNXZyg
7,Fashion Design,Fashion Forecasting,,12th,English/Hindi,Module 2: Trend Forecasting for Fashion Designers,Fashion Trend Forecasting,https://www.youtube.com/watch?v=Rnf0ZjJMUsw
8,Fashion Design,Fashion Forecasting,,12th,English/Hindi,Module 2: Trend Forecasting for Fashion Designers,"Feminism In Fashion with Alexa Chung | S1, E5 | The Future Of Fashion | British Vogue",https://www.youtube.com/watch?v=_443sz0XP6E
9,Fashion Design,Fashion Forecasting,,12th,English/Hindi,Module 3: Fashion Trend Forecasting Techniques,WWD Studios Presents: Trend Forecasting with Trendera,https://www.youtube.com/watch?v=_9Npa2xudzo
10,Fashion Design,Fashion Forecasting,,12th,English/Hindi,Module 3: Fashion Trend Forecasting Techniques,"What Type of Forecasting Does a Fashion Company Use? : Marketing, Branding, & Work Life",https://www.youtube.com/watch?v=S9PuTgkVCaE
11,Fashion Design,Fashion Forecasting,,12th,English/Hindi,Module 3: Fashion Trend Forecasting Techniques,SPRING SUMMER 2019 FASHION TRENDS & COLOURS,https://www.youtube.com/watch?v=FgL2II5DnL8
12,Fashion Design,Fashion Forecasting,,12th,English/Hindi,Module 3: Fashion Trend Forecasting Techniques,SPRING SUMMER 2020 FASHION TRENDS & COLOURS,https://www.youtube.com/watch?v=o1jAcSrx8kI
13,Fashion Design,Fashion Forecasting,,12th,English/Hindi,Module 4: Spring/Summer Fashion Trends & Colors,Lecture about Fashion Trend Forecasting,https://www.youtube.com/watch?v=RBYnFOAXgLA
14,Fashion Design,Fashion Forecasting,,12th,English/Hindi,Module 4: Spring/Summer Fashion Trends & Colors,AMM 101 Fashion Forecasting Explanation,https://www.youtube.com/watch?v=mwBiWmuScHk
15,Fashion Design,Fashion Forecasting,,12th,English/Hindi,Module 4: Spring/Summer Fashion Trends & Colors,Color Trends Fall/Winter 2018-2019,https://www.youtube.com/watch?v=S4a7g6m5F_o
16,Fashion Design,Fashion Forecasting,,12th,English/Hindi,Module 4: Spring/Summer Fashion Trends & Colors,Introduction to Fashion Forecasting,https://www.youtube.com/watch?v=ChJyFbscLHs
17,Fashion Design,Fashion Forecasting,,12th,English/Hindi,Module 5: Fashion Forecasting in Action,"Forecasting: Exponential Smoothing, MSE",https://www.youtube.com/watch?v=k_HN0wOKDd0
18,Fashion Design,Fashion Forecasting,,12th,English/Hindi,Module 5: Fashion Forecasting in Action,5 MUST HAVE APPS FOR FASHION DESIGNERS!,https://www.youtube.com/watch?v=c5_bvbt4duU
19,Fashion Design,Fashion Forecasting,,12th,English/Hindi,Module 5: Fashion Forecasting in Action,10 FASHION TRENDS FOR 2019 // Fashion Mumblr,https://www.youtube.com/watch?v=HYIsRJWpXBA
20,Fashion Design,Fashion Forecasting,,12th,English/Hindi,Module 5: Fashion Forecasting in Action,Using Excel to Do Trend Forecasting,https://www.youtube.com/watch?v=DH_Pa7rUjkU
21,Fashion Design,Fashion Forecasting,,12th,English/Hindi,Module 6: The Fashion Cycle and Adoption,Linear Trend Forecasting,https://www.youtube.com/watch?v=kAdPvMPaMRo
22,Fashion Design,Fashion Forecasting,,12th,English/Hindi,Module 6: The Fashion Cycle and Adoption,Operations Management using Excel: Seasonality and Trend Forecasting,https://www.youtube.com/watch?v=RoKGvvMJAME
23,Fashion Design,Fashion Forecasting,,12th,English/Hindi,Module 6: The Fashion Cycle and Adoption,"SPECIAL FEATURE: ""I.M International"" and The Birth of Fashion Forecasting",https://www.youtube.com/watch?v=t3X2TAUnqpw
24,Fashion Design,Fashion Forecasting,,12th,English/Hindi,Module 7: Applications of Fashion Forecasting,Spring Trend Forecasting From Head to Toe,https://www.youtube.com/watch?v=z7A69ACj3o4
25,Fashion Design,Fashion Forecasting,,12th,English/Hindi,Module 7: Applications of Fashion Forecasting,Fashion Trends & Fashion Cycle,https://www.youtube.com/watch?v=hhwAW9PVVSQ
