S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Fashion Design,"Garment Construction: Pattern Making, Draping, Sewing",73hrs 12min,12th,English/Hindi,Module 1: Pattern Making Essentials,"Pattern Making, Draping, and Sewing Tools Deep Dive",https://www.youtube.com/watch?v=n0XcVdQ5cG0
2,Fashion Design,"Garment Construction: Pattern Making, Draping, Sewing",,12th,English/Hindi,Module 1: Pattern Making Essentials,How To Drape a Basic Bodice (Front & Back),https://www.youtube.com/watch?v=BhG9Sp3UutI
3,Fashion Design,"Garment Construction: Pattern Making, Draping, Sewing",,12th,English/Hindi,Module 1: Pattern Making Essentials,How to Create a Pattern from a Muslin Drape,https://www.youtube.com/watch?v=5AMKSq8GfFY
4,Fashion Design,"Garment Construction: Pattern Making, Draping, Sewing",,12th,English/Hindi,Module 1: Pattern Making Essentials,How to Move Darts & Create Princess Seams (Pattern Making Tutorial),https://www.youtube.com/watch?v=yPpp-ZTkXO0
5,Fashion Design,"Garment Construction: Pattern Making, Draping, Sewing",,12th,English/Hindi,Module 2: Pattern Making from Draping,Intro to Industrial Sewing Machines,https://www.youtube.com/watch?v=4r4p61Mk84w
6,Fashion Design,"Garment Construction: Pattern Making, Draping, Sewing",,12th,English/Hindi,Module 2: Pattern Making from Draping,How To Sew 8 Common Seams,https://www.youtube.com/watch?v=s9CB-uq8N-Q
7,Fashion Design,"Garment Construction: Pattern Making, Draping, Sewing",,12th,English/Hindi,Module 2: Pattern Making from Draping,Everything You Need to Know About Zippers,https://www.youtube.com/watch?v=fg_p2D9FY6g
8,Fashion Design,"Garment Construction: Pattern Making, Draping, Sewing",,12th,English/Hindi,Module 2: Pattern Making from Draping,Fashion Design Business Tutorial: How to Use Style Numbers,https://www.youtube.com/watch?v=I4bY3GUvTR4
9,Fashion Design,"Garment Construction: Pattern Making, Draping, Sewing",,12th,English/Hindi,Module 3: Zipper Mastery,How to Sew Zippers (Separating and Closed End),https://www.youtube.com/watch?v=WyD-FhUiRLc
10,Fashion Design,"Garment Construction: Pattern Making, Draping, Sewing",,12th,English/Hindi,Module 3: Zipper Mastery,Intro to Industrial Overlock/Serger Sewing Machines,https://www.youtube.com/watch?v=oC0Oub0xdD0
11,Fashion Design,"Garment Construction: Pattern Making, Draping, Sewing",,12th,English/Hindi,Module 3: Zipper Mastery,Boro + How I Made My Patchwork Coat,https://www.youtube.com/watch?v=XtpfQfd0J5M
12,Fashion Design,"Garment Construction: Pattern Making, Draping, Sewing",,12th,English/Hindi,Module 3: Zipper Mastery,How to Produce a Fashion Collection (Starting a Fashion Company Series),https://www.youtube.com/watch?v=bTvB_feqye8
13,Fashion Design,"Garment Construction: Pattern Making, Draping, Sewing",,12th,English/Hindi,Module 4: Upcycling & Boro Techniques,How to Shop for Quality Clothes,https://www.youtube.com/watch?v=2SL7Kk5pr20
14,Fashion Design,"Garment Construction: Pattern Making, Draping, Sewing",,12th,English/Hindi,Module 4: Upcycling & Boro Techniques,"Answering Your Garment Construction Questions (Patternmaking, Draping, Sewing, and More)",https://www.youtube.com/watch?v=pLVWuyKw8XY
15,Fashion Design,"Garment Construction: Pattern Making, Draping, Sewing",,12th,English/Hindi,Module 4: Upcycling & Boro Techniques,How to Make a Mask with Filter Pocket & Nose Pinch,https://www.youtube.com/watch?v=qap97coLKrg
16,Fashion Design,"Garment Construction: Pattern Making, Draping, Sewing",,12th,English/Hindi,Module 4: Upcycling & Boro Techniques,"All About Linings: Design, Fabrics, Construction",https://www.youtube.com/watch?v=hosWBzj9Z0A
17,Fashion Design,"Garment Construction: Pattern Making, Draping, Sewing",,12th,English/Hindi,Module 5: Mask Making Fundamentals,How to Measure Bodies & Clothes (What is a Spec Sheet?),https://www.youtube.com/watch?v=9GdfLM9rspg
18,Fashion Design,"Garment Construction: Pattern Making, Draping, Sewing",,12th,English/Hindi,Module 5: Mask Making Fundamentals,Fashion Design Tutorial: All About the Details: Shirts,https://www.youtube.com/watch?v=d32L8WBDVog
19,Fashion Design,"Garment Construction: Pattern Making, Draping, Sewing",,12th,English/Hindi,Module 5: Mask Making Fundamentals,3 Gorgeous Seams You Need to Know,https://www.youtube.com/watch?v=d_QnOUUgSpk
20,Fashion Design,"Garment Construction: Pattern Making, Draping, Sewing",,12th,English/Hindi,Module 5: Mask Making Fundamentals,How To Sew A Luxury Cocoon Coat With Fur Collar (Collab w/ Daniela Tabois Part 2),https://www.youtube.com/watch?v=WdyYQKsUyAA
21,Fashion Design,"Garment Construction: Pattern Making, Draping, Sewing",,12th,English/Hindi,Module 6: Decorative Seam Techniques,How to Create Volume & Structure (Fashion Design Tutorial),https://www.youtube.com/watch?v=ZV5NBV5VzUo
22,Fashion Design,"Garment Construction: Pattern Making, Draping, Sewing",,12th,English/Hindi,Module 6: Decorative Seam Techniques,How to Sew Pockets for High Quality Clothes (Patch Pocket and Side Pocket with Extra Details),https://www.youtube.com/watch?v=khqH8ZImQTc
23,Fashion Design,"Garment Construction: Pattern Making, Draping, Sewing",,12th,English/Hindi,Module 6: Decorative Seam Techniques,What is Mid Size? Your Sizing Questions Answered! (for both designers and shoppers!),https://www.youtube.com/watch?v=K6pT5-fnXdY
24,Fashion Design,"Garment Construction: Pattern Making, Draping, Sewing",,12th,English/Hindi,Module 6: Decorative Seam Techniques,How To Draft a Sleeve Pattern (Both Imperial + Metric Measurements),https://www.youtube.com/watch?v=N6WLQj83ajo
25,Fashion Design,"Garment Construction: Pattern Making, Draping, Sewing",,12th,English/Hindi,Module 7: Understanding Mid-Size Fashion,My Pattern Making Class!,https://www.youtube.com/watch?v=MWRWFmlS29s
26,Fashion Design,"Garment Construction: Pattern Making, Draping, Sewing",,12th,English/Hindi,Module 7: Understanding Mid-Size Fashion,How Do You Make That?: A New Fashion Design Series,https://www.youtube.com/watch?v=tOcjQ09nyoU
27,Fashion Design,"Garment Construction: Pattern Making, Draping, Sewing",,12th,English/Hindi,Module 7: Understanding Mid-Size Fashion,Plus Size Fashion Construction: 5 DOS and 1 DON'T,https://www.youtube.com/watch?v=5vgfy82MSeA
28,Fashion Design,"Garment Construction: Pattern Making, Draping, Sewing",,12th,English/Hindi,Module 7: Understanding Mid-Size Fashion,All About Dress Forms,https://www.youtube.com/watch?v=3GnM1SJEuiY
29,Fashion Design,"Garment Construction: Pattern Making, Draping, Sewing",,12th,English/Hindi,Module 8: Plus Size Construction Techniques,Draping on the Bias for Beginners: Watch Me Design: Season 2: Ep 7,https://www.youtube.com/watch?v=VhUvUKI1ykc
30,Fashion Design,"Garment Construction: Pattern Making, Draping, Sewing",,12th,English/Hindi,Module 8: Plus Size Construction Techniques,Designing by Draping: Cowl Neck Dresses and Adding Fullness,https://www.youtube.com/watch?v=ZMg_m8-jUAQ
31,Fashion Design,"Garment Construction: Pattern Making, Draping, Sewing",,12th,English/Hindi,Module 8: Plus Size Construction Techniques,How to Make a Corset from Scratch Part 1: Draping,https://www.youtube.com/watch?v=jIKu1UC8oQI
32,Fashion Design,"Garment Construction: Pattern Making, Draping, Sewing",,12th,English/Hindi,Module 8: Plus Size Construction Techniques,How to Make a Corset Part 2: Draping Busts and Blocking Muslin,https://www.youtube.com/watch?v=cNiRUuqBdhQ
