S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Fashion Design,Photoshop & Textile Designing Video Course,56hrs 7min,12th,English/Hindi,Module 1: Introduction to Textile Designing Tools,Textile Designing Video 1 Drowing tools (Hindi),https://www.youtube.com/watch?v=a4oE55v-Ddo
2,Fashion Design,Photoshop & Textile Designing Video Course,,12th,English/Hindi,Module 1: Introduction to Textile Designing Tools,Textile Designing Video 2 I  Selection Tools (Hindi),https://www.youtube.com/watch?v=kx31oIOeXPA
3,Fashion Design,Photoshop & Textile Designing Video Course,,12th,English/Hindi,Module 1: Introduction to Textile Designing Tools,Textile Designing Video 3 I Other IMP tools (Hindi),https://www.youtube.com/watch?v=3xRLmKEEtiI
4,Fashion Design,Photoshop & Textile Designing Video Course,,12th,English/Hindi,Module 1: Introduction to Textile Designing Tools,Textile Designing Video 5 I File Menu (Hindi),https://www.youtube.com/watch?v=dKuNJFV3a-s
5,Fashion Design,Photoshop & Textile Designing Video Course,,12th,English/Hindi,Module 2: Working with Images and Layers,Textile Designing Video 6 I Edit menu (Hindi),https://www.youtube.com/watch?v=TN2JZw5YkKI
6,Fashion Design,Photoshop & Textile Designing Video Course,,12th,English/Hindi,Module 2: Working with Images and Layers,Textile Designing Video 7 I  Image Menu Mode & Adjustments (Hindi),https://www.youtube.com/watch?v=IXsKzKEkHe4
7,Fashion Design,Photoshop & Textile Designing Video Course,,12th,English/Hindi,Module 2: Working with Images and Layers,Textile Designing Video 8 I Image Menu Hindi,https://www.youtube.com/watch?v=1k4atKFVZ_w
8,Fashion Design,Photoshop & Textile Designing Video Course,,12th,English/Hindi,Module 2: Working with Images and Layers,Textile Designing Video 9 I Layer Menu (Hindi),https://www.youtube.com/watch?v=QsmBiPpq_g0
9,Fashion Design,Photoshop & Textile Designing Video Course,,12th,English/Hindi,Module 3: Designing Basics and Techniques,Textile Designing Video 11 I Filter Menu (Hindi),https://www.youtube.com/watch?v=RNg9sthbdRs
10,Fashion Design,Photoshop & Textile Designing Video Course,,12th,English/Hindi,Module 3: Designing Basics and Techniques,Textile Designing Video 10 I Select Menu (Hindi),https://www.youtube.com/watch?v=CpwIyuqj9C4
11,Fashion Design,Photoshop & Textile Designing Video Course,,12th,English/Hindi,Module 3: Designing Basics and Techniques,Textile Designing Video 12 I View Menu (Hindi),https://www.youtube.com/watch?v=s58bzg6FunM
12,Fashion Design,Photoshop & Textile Designing Video Course,,12th,English/Hindi,Module 3: Designing Basics and Techniques,Window Menu Video 13 I Textile Designing I Photoshop CS5  (Hindi),https://www.youtube.com/watch?v=Oy7UYPFP0Ko
