S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Public Health,Chronic Disease Prevention,6hrs 0min,12th,English/Hindi,Module 1: Diabetes Prevention in Diverse Communities,We Can Prevent Diabetes - African American,https://www.youtube.com/watch?v=fzUE_-E7QYU
2,Public Health,Chronic Disease Prevention,,12th,English/Hindi,Module 1: Diabetes Prevention in Diverse Communities,We Can Prevent Diabetes - Caucasian,https://www.youtube.com/watch?v=_UqOBHVLrKw
3,Public Health,Chronic Disease Prevention,,12th,English/Hindi,Module 1: Diabetes Prevention in Diverse Communities,We Cam Prevent Diabetes - Latino,https://www.youtube.com/watch?v=jWNByT_gzIE
4,Public Health,Chronic Disease Prevention,,12th,English/Hindi,Module 1: Diabetes Prevention in Diverse Communities,We Can Prevent Diabetes - Somali,https://www.youtube.com/watch?v=tguCGdWnxFk
5,Public Health,Chronic Disease Prevention,,12th,English/Hindi,Module 2: Understanding COPD and Cholesterol Management,We Can Prevent Diabetes - Native American,https://www.youtube.com/watch?v=ZpDQrkOZUTk
6,Public Health,Chronic Disease Prevention,,12th,English/Hindi,Module 2: Understanding COPD and Cholesterol Management,We Can Prevent Diabetes - Hmong,https://www.youtube.com/watch?v=L7oxYmAe-eo
7,Public Health,Chronic Disease Prevention,,12th,English/Hindi,Module 3: Cardiovascular Health and Stroke Awareness,MN Tracking Program: COPD (Chronic Obstructive Pulmonary Disease),https://www.youtube.com/watch?v=9x4dsvWeSoY
8,Public Health,Chronic Disease Prevention,,12th,English/Hindi,Module 3: Cardiovascular Health and Stroke Awareness,Put Cholesterol on Your Calendar,https://www.youtube.com/watch?v=c2thWLBYcY4
9,Public Health,Chronic Disease Prevention,,12th,English/Hindi,Module 3: Cardiovascular Health and Stroke Awareness,Blood Pressure Explained Visually,https://www.youtube.com/watch?v=JT8Iu0UaP1M
10,Public Health,Chronic Disease Prevention,,12th,English/Hindi,Module 4: Heart Attack Risk Factors and Prevention,It's One-sided: 12 Signs of Strokes,https://www.youtube.com/watch?v=evu_ZHKNPOc
11,Public Health,Chronic Disease Prevention,,12th,English/Hindi,Module 4: Heart Attack Risk Factors and Prevention,A Heart Attack's 11 Excuses,https://www.youtube.com/watch?v=S7wZ2PrXAqg
12,Public Health,Chronic Disease Prevention,,12th,English/Hindi,Module 4: Heart Attack Risk Factors and Prevention,Young but Not Invincible - Emma's Story,https://www.youtube.com/watch?v=K3Im9pg1zIc
