S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Healthcare Management,Community health nursing,19hrs 21min,12th,English/Hindi,Module 1: Introduction to Community Health Nursing,Introduction of community health nursing,https://www.youtube.com/watch?v=VJtpNjJK8zA
2,Healthcare Management,Community health nursing,,12th,English/Hindi,Module 1: Introduction to Community Health Nursing,Demography: sources & cycle,https://www.youtube.com/watch?v=-okTFohWfx8
3,Healthcare Management,Community health nursing,,12th,English/Hindi,Module 1: Introduction to Community Health Nursing,Dimensions of health,https://www.youtube.com/watch?v=Ma23i55r_Ws
4,Healthcare Management,Community health nursing,,12th,English/Hindi,Module 1: Introduction to Community Health Nursing,Determinants of health: simple explanation,https://www.youtube.com/watch?v=jrmRFFhR5G8
5,Healthcare Management,Community health nursing,,12th,English/Hindi,Module 2: Health Education and Promotion,Health education: principles & objectives,https://www.youtube.com/watch?v=qaJpyz6i-z0
6,Healthcare Management,Community health nursing,,12th,English/Hindi,Module 2: Health Education and Promotion,Epidemiological methods (design),https://www.youtube.com/watch?v=6swwJ1Lg1LM
7,Healthcare Management,Community health nursing,,12th,English/Hindi,Module 2: Health Education and Promotion,Principles And Steps Of Home Visit,https://www.youtube.com/watch?v=y-zVNoHXJ0E
8,Healthcare Management,Community health nursing,,12th,English/Hindi,Module 2: Health Education and Promotion,Epidemiological Triad : Simple Explanation,https://www.youtube.com/watch?v=KwlodqhsyYA
9,Healthcare Management,Community health nursing,,12th,English/Hindi,Module 3: Epidemiological Concepts and Methods,Mode Of Disease Transmission,https://www.youtube.com/watch?v=0Y3nSbvG0wQ
10,Healthcare Management,Community health nursing,,12th,English/Hindi,Module 3: Epidemiological Concepts and Methods,World health organization (WHO),https://www.youtube.com/watch?v=uRUjVv5MkDQ
11,Healthcare Management,Community health nursing,,12th,English/Hindi,Module 3: Epidemiological Concepts and Methods,UNICEF : Services/Functions,https://www.youtube.com/watch?v=VaVMar9LTrc
12,Healthcare Management,Community health nursing,,12th,English/Hindi,Module 3: Epidemiological Concepts and Methods,Concept of Health,https://www.youtube.com/watch?v=xZsODfAk7a0
13,Healthcare Management,Community health nursing,,12th,English/Hindi,Module 4: Home Visit and Community Assessment,Principles of community health nursing: simple explanation,https://www.youtube.com/watch?v=uuyDR_zlLNE
14,Healthcare Management,Community health nursing,,12th,English/Hindi,Module 4: Home Visit and Community Assessment,Roles of community health nurse,https://www.youtube.com/watch?v=OoYZIqHseso
15,Healthcare Management,Community health nursing,,12th,English/Hindi,Module 4: Home Visit and Community Assessment,Levels of prevention with simple examples/ English,https://www.youtube.com/watch?v=NaPJySskCeM
16,Healthcare Management,Community health nursing,,12th,English/Hindi,Module 4: Home Visit and Community Assessment,Scope of community health nursing/ English,https://www.youtube.com/watch?v=38Du4yx1Lfw
17,Healthcare Management,Community health nursing,,12th,English/Hindi,Module 4: Home Visit and Community Assessment,Functions of community health nurse/english,https://www.youtube.com/watch?v=hEDr6Lluins
18,Healthcare Management,Community health nursing,,12th,English/Hindi,Module 4: Home Visit and Community Assessment,Chickenpox / varicella : simple explanation,https://www.youtube.com/watch?v=r2eYj3OqV5s
19,Healthcare Management,Community health nursing,,12th,English/Hindi,Module 4: Home Visit and Community Assessment,Measles (rubeola) simple explanation/english,https://www.youtube.com/watch?v=ifwiiTJyCF0
20,Healthcare Management,Community health nursing,,12th,English/Hindi,Module 4: Home Visit and Community Assessment,Mumps simple explanation,https://www.youtube.com/watch?v=RSm7fAdH3Gc
21,Healthcare Management,Community health nursing,,12th,English/Hindi,Module 4: Home Visit and Community Assessment,German measles/rubella:simple explanation,https://www.youtube.com/watch?v=fi2-1GM3Rq8
