S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Public Health,DISASTER MANAGEMENT (DM),9hrs 11min,12th,English/Hindi,Module 1: Introduction to Disaster Management,1.1 Disaster,https://www.youtube.com/watch?v=z8VDdZxEG2M
2,Public Health,DISASTER MANAGEMENT (DM),,12th,English/Hindi,Module 1: Introduction to Disaster Management,1.2 Disaster management,https://www.youtube.com/watch?v=wlKAotfqOHQ
3,Public Health,DISASTER MANAGEMENT (DM),,12th,English/Hindi,Module 1: Introduction to Disaster Management,1.3 Hazard,https://www.youtube.com/watch?v=UctJLJIh2Dw
4,Public Health,DISASTER MANAGEMENT (DM),,12th,English/Hindi,Module 1: Introduction to Disaster Management,1.4 Vulnerability,https://www.youtube.com/watch?v=sj2ZC1J09j0
5,Public Health,DISASTER MANAGEMENT (DM),,12th,English/Hindi,Module 1: Introduction to Disaster Management,1.5 Risk,https://www.youtube.com/watch?v=jTIEvXaTawQ
6,Public Health,DISASTER MANAGEMENT (DM),,12th,English/Hindi,Module 1: Introduction to Disaster Management,1.6 Resilience,https://www.youtube.com/watch?v=BxwYt76nf7c
7,Public Health,DISASTER MANAGEMENT (DM),,12th,English/Hindi,Module 1: Introduction to Disaster Management,1.7 Natural and man made disasters,https://www.youtube.com/watch?v=OUhC7PihDzY
8,Public Health,DISASTER MANAGEMENT (DM),,12th,English/Hindi,Module 2: Types and Causes of Disasters,1.8 Review of past Disasters,https://www.youtube.com/watch?v=80L77eMkUSQ
9,Public Health,DISASTER MANAGEMENT (DM),,12th,English/Hindi,Module 2: Types and Causes of Disasters,1.9 All about floods,https://www.youtube.com/watch?v=IhiY4glYmZc
10,Public Health,DISASTER MANAGEMENT (DM),,12th,English/Hindi,Module 2: Types and Causes of Disasters,1.10 All about droughts,https://www.youtube.com/watch?v=WLvglXULDFo
11,Public Health,DISASTER MANAGEMENT (DM),,12th,English/Hindi,Module 2: Types and Causes of Disasters,2.1 Causes of Disaster,https://www.youtube.com/watch?v=TtFYtvrzSpY
12,Public Health,DISASTER MANAGEMENT (DM),,12th,English/Hindi,Module 2: Types and Causes of Disasters,2.2 impacts of Disaster,https://www.youtube.com/watch?v=xOIITRXctoc
13,Public Health,DISASTER MANAGEMENT (DM),,12th,English/Hindi,Module 2: Types and Causes of Disasters,2.3 urban disaster,https://www.youtube.com/watch?v=n1mXSRB06XA
14,Public Health,DISASTER MANAGEMENT (DM),,12th,English/Hindi,Module 2: Types and Causes of Disasters,2.4 Epidemic,https://www.youtube.com/watch?v=8IcXCpuTi_k
15,Public Health,DISASTER MANAGEMENT (DM),,12th,English/Hindi,Module 2: Types and Causes of Disasters,2.5 Pandemic,https://www.youtube.com/watch?v=0IeCe1pUeUw
16,Public Health,DISASTER MANAGEMENT (DM),,12th,English/Hindi,Module 2: Types and Causes of Disasters,2.6 Complex emergencies,https://www.youtube.com/watch?v=c1KV5U37dtw
17,Public Health,DISASTER MANAGEMENT (DM),,12th,English/Hindi,Module 2: Types and Causes of Disasters,2.7 Climatic changes,https://www.youtube.com/watch?v=4qlJDKTldZA
18,Public Health,DISASTER MANAGEMENT (DM),,12th,English/Hindi,Module 2: Types and Causes of Disasters,2.8 Cyclones,https://www.youtube.com/watch?v=aSq5CD1LsQo
19,Public Health,DISASTER MANAGEMENT (DM),,12th,English/Hindi,Module 2: Types and Causes of Disasters,2.9 Storms,https://www.youtube.com/watch?v=wg5WuHDRz8s
20,Public Health,DISASTER MANAGEMENT (DM),,12th,English/Hindi,Module 2: Types and Causes of Disasters,2.10 Earthquake,https://www.youtube.com/watch?v=ZcPmd1y95YM
21,Public Health,DISASTER MANAGEMENT (DM),,12th,English/Hindi,Module 2: Types and Causes of Disasters,2.11 Volcanic Eruption,https://www.youtube.com/watch?v=hSXAvC1OyEg
