S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Public Health,13.1 - Environment & Health,32hrs 1min,12th,English/Hindi,Module 1: Safe Water and Sources,Safe Water | PSM lectures | Community Medicine lectures | PSM made easy | PSM rapid revision | Arpit,https://www.youtube.com/watch?v=4LVaDH_mA5U
2,Public Health,13.1 - Environment & Health,,12th,English/Hindi,Module 1: Safe Water and Sources,Problem Habitation | Problem Village | PSM lectures | Community Medicine lectures | PSM made easy,https://www.youtube.com/watch?v=wpvIWoHZf84
3,Public Health,13.1 - Environment & Health,,12th,English/Hindi,Module 1: Safe Water and Sources,Sources of Water | PSM lectures | Community Medicine lectures,https://www.youtube.com/watch?v=634BEVaNPxM
4,Public Health,13.1 - Environment & Health,,12th,English/Hindi,Module 2: Wells and Sanitation,Difference between Shallow well and Deep Well | PSM lectures | Community Medicine lectures | Arpit,https://www.youtube.com/watch?v=VANgIrrewXA
5,Public Health,13.1 - Environment & Health,,12th,English/Hindi,Module 2: Wells and Sanitation,Sanitary Well | PSM lectures | Community Medicine lectures | PSM made easy | PSM rapid revision,https://www.youtube.com/watch?v=wuFKbdrvnpg
6,Public Health,13.1 - Environment & Health,,12th,English/Hindi,Module 2: Wells and Sanitation,Water Pollution | PSM lectures | Community Medicine lectures | PSM made easy | PSM rapid revision,https://www.youtube.com/watch?v=weRTxqqNXoc
7,Public Health,13.1 - Environment & Health,,12th,English/Hindi,Module 3: Water Pollution and Diseases,Diseases of Water | PSM lectures | Community Medicine lectures | PSM made easy | PSM rapid revision,https://www.youtube.com/watch?v=nVSSqWGn5kw
8,Public Health,13.1 - Environment & Health,,12th,English/Hindi,Module 3: Water Pollution and Diseases,Purification of Water  | PSM lectures | Community Medicine lectures | PSM made easy | PSM  revision,https://www.youtube.com/watch?v=Cm1-K9_bOyc
9,Public Health,13.1 - Environment & Health,,12th,English/Hindi,Module 4: Water Purification Methods,Slow Sand Filter | Vital layer | PSM lectures | Community Medicine lectures | PSM made easy | Arpit,https://www.youtube.com/watch?v=yztfA9vAzUA
10,Public Health,13.1 - Environment & Health,,12th,English/Hindi,Module 4: Water Purification Methods,Rapid Sand Filter | PSM lectures | Community Medicine lectures | PSM made easy | PSM rapid revision,https://www.youtube.com/watch?v=mvG61BYwdGs
11,Public Health,13.1 - Environment & Health,,12th,English/Hindi,Module 4: Water Purification Methods,Difference between Rapid Sand Filter & Slow Sand Filter | PSM lectures | Community Medicine lectures,https://www.youtube.com/watch?v=-OrBAWMLit0
12,Public Health,13.1 - Environment & Health,,12th,English/Hindi,Module 4: Water Purification Methods,Chlorination | PSM lectures | Community Medicine lectures | PSM made easy | PSM rapid revision,https://www.youtube.com/watch?v=Zr7GJZvbVOU
13,Public Health,13.1 - Environment & Health,,12th,English/Hindi,Module 5: Water Purification and Disinfection,Ozonation | PSM lectures | Community Medicine lectures | PSM made easy | PSM rapid revision | Arpits,https://www.youtube.com/watch?v=nEcKM-Q8Fy8
14,Public Health,13.1 - Environment & Health,,12th,English/Hindi,Module 5: Water Purification and Disinfection,Membrane processes | Reverse Osmosis | Nanofiltration | PSM lectures | Community Medicine lectures,https://www.youtube.com/watch?v=cK8GpQVnkMA
15,Public Health,13.1 - Environment & Health,,12th,English/Hindi,Module 5: Water Purification and Disinfection,Household purification of water | PSM lectures | Community Medicine lectures | PSM made easy | PSM,https://www.youtube.com/watch?v=hRRkhLy15iY
16,Public Health,13.1 - Environment & Health,,12th,English/Hindi,Module 6: Water Quality and Hardness,Disinfection of Well | PSM lectures | Community Medicine lectures | PSM made easy | PSM revision,https://www.youtube.com/watch?v=YK6SMAxRVnQ
17,Public Health,13.1 - Environment & Health,,12th,English/Hindi,Module 6: Water Quality and Hardness,Double Pot Method | PSM lectures | Community Medicine lectures | PSM made easy | PSM rapid revision,https://www.youtube.com/watch?v=OQp0KB4hsLE
18,Public Health,13.1 - Environment & Health,,12th,English/Hindi,Module 6: Water Quality and Hardness,Horrock's Apparatus | PSM lectures | Community Medicine lectures | PSM made easy | PSM revision,https://www.youtube.com/watch?v=MftqNBnf54c
19,Public Health,13.1 - Environment & Health,,12th,English/Hindi,Module 7: Water Management and Sanitation,Hardness of Water | PSM lectures | Community Medicine lectures | PSM made easy | PSM rapid revision,https://www.youtube.com/watch?v=wN7ybrQ3pU0
20,Public Health,13.1 - Environment & Health,,12th,English/Hindi,Module 7: Water Management and Sanitation,Water Quality Standards & Criteria | PSM lectures | Community Medicine lectures,https://www.youtube.com/watch?v=lB2bcorz2CM
21,Public Health,13.1 - Environment & Health,,12th,English/Hindi,Module 7: Water Management and Sanitation,Water Harvesting | PSM lectures | Community Medicine lectures | PSM made easy | PSM rapid revision,https://www.youtube.com/watch?v=tPzULwp-u_c
22,Public Health,13.1 - Environment & Health,,12th,English/Hindi,Module 8: Thermal Comfort and Air Quality,Swimming Pool Sanitation | PSM lectures | Community Medicine lectures | PSM made easy | PSM revision,https://www.youtube.com/watch?v=QITSKbBzxHE
