S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Public Health,Essentials of Global Health,32hrs 19min,12th,English/Hindi,Module 1: Introduction to Global Health,Course Introduction | Essentials of Global Health with Richard Skolnik,https://www.youtube.com/watch?v=kWQugT6WbCE
2,Public Health,Essentials of Global Health,,12th,English/Hindi,Module 1: Introduction to Global Health,Key Perspectives on Global Health & the Determinants of Health | Essentials of Global Health,https://www.youtube.com/watch?v=MwmFwFndlCE
3,Public Health,Essentials of Global Health,,12th,English/Hindi,Module 1: Introduction to Global Health,The Global Health Context and Who Plays | Essentials of Global Health with Richard Skolnik,https://www.youtube.com/watch?v=B3xUdn0aHOg
4,Public Health,Essentials of Global Health,,12th,English/Hindi,Module 1: Introduction to Global Health,The State of the World's Health | Essentials of Global Health with Richard Skolnik,https://www.youtube.com/watch?v=ZBvPvUBG8Dg
5,Public Health,Essentials of Global Health,,12th,English/Hindi,Module 2: Global Health Challenges & Measurement,Demography and Health | Essentials of Global Health with Richard Skolnik,https://www.youtube.com/watch?v=oPaeBPDy1gw
6,Public Health,Essentials of Global Health,,12th,English/Hindi,Module 2: Global Health Challenges & Measurement,Measuring the Burden of Disease - the DALY | Essentials of Global Health with Richard Skolnik,https://www.youtube.com/watch?v=qDtyVNe9WSs
7,Public Health,Essentials of Global Health,,12th,English/Hindi,Module 2: Global Health Challenges & Measurement,"What Do People Get Sick, Disabled, and Die From? | Essentials of Global Health with Richard Skolnik",https://www.youtube.com/watch?v=hj8Fjw07tu4
8,Public Health,Essentials of Global Health,,12th,English/Hindi,Module 3: Disease Burden and Risk Factors,"Key Risk Factors for Illness, Death, and DALY | Essentials of Global Health with Richard Skolnik",https://www.youtube.com/watch?v=jC1G1N0tqQc
9,Public Health,Essentials of Global Health,,12th,English/Hindi,Module 3: Disease Burden and Risk Factors,Value for Money in Global Health | Essentials of Global Health with Richard Skolnik,https://www.youtube.com/watch?v=G-Gu-ESBkDM
10,Public Health,Essentials of Global Health,,12th,English/Hindi,Module 3: Disease Burden and Risk Factors,The Aims and Organization of Health Systems | Essentials of Global Health with Richard Skolnik,https://www.youtube.com/watch?v=uro_EqGkTDc
11,Public Health,Essentials of Global Health,,12th,English/Hindi,Module 4: Health Systems and Disparities,Key Health Systems Issues | Essentials of Global Health with Richard Skolnik,https://www.youtube.com/watch?v=K-lh1tuIrzw
12,Public Health,Essentials of Global Health,,12th,English/Hindi,Module 4: Health Systems and Disparities,Health Disparities | Essentials of Global Health with Richard Skolnik,https://www.youtube.com/watch?v=1ikf-LHMgwc
13,Public Health,Essentials of Global Health,,12th,English/Hindi,Module 4: Health Systems and Disparities,The Environment and Health | Essentials of Global Health with Richard Skolnik,https://www.youtube.com/watch?v=K12L_qQv-r8
14,Public Health,Essentials of Global Health,,12th,English/Hindi,Module 5: Environmental and Nutritional Health,Nutrition and Global Health | Essentials of Global Health with Richard Skolnik,https://www.youtube.com/watch?v=jvWDFrwSrD4
15,Public Health,Essentials of Global Health,,12th,English/Hindi,Module 5: Environmental and Nutritional Health,Women's Health | Essentials of Global Health with Richard Skolnik,https://www.youtube.com/watch?v=LkFVZbcoKAo
16,Public Health,Essentials of Global Health,,12th,English/Hindi,Module 5: Environmental and Nutritional Health,Child Health | Essentials of Global Health with Richard Skolnik,https://www.youtube.com/watch?v=CGuzSFHKeIc
