S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Healthcare Management,Health Care Data Analytics,53hrs 1min,12th,English/Hindi,Module 1: Introduction to Health Care Data Analytics,"Health Care Data Analytics: Unit 1: ""Introduction to Health Care Data Analytics"" - Lecture A",https://www.youtube.com/watch?v=zMdPAwXX8-M
2,Healthcare Management,Health Care Data Analytics,,12th,English/Hindi,Module 1: Introduction to Health Care Data Analytics,Health Care Data Analytics: Unit 1: Introduction to Health Care Data Analytics - Lecture B,https://www.youtube.com/watch?v=Og8xOSa5jsA
3,Healthcare Management,Health Care Data Analytics,,12th,English/Hindi,Module 1: Introduction to Health Care Data Analytics,Health Care Data Analytics: Unit 2: Working with Data,https://www.youtube.com/watch?v=6RGw65uITvI
4,Healthcare Management,Health Care Data Analytics,,12th,English/Hindi,Module 1: Introduction to Health Care Data Analytics,Health Care Data Analytics: Unit 3: Secondary Use of Clinical Data,https://www.youtube.com/watch?v=XbWW4ExrHsw
5,Healthcare Management,Health Care Data Analytics,,12th,English/Hindi,Module 2: Secondary Use of Clinical Data,Health Care Data Analytics: Unit 3: Secondary Use of Clinical Data - Lecture B,https://www.youtube.com/watch?v=4BqpRJcAIns
6,Healthcare Management,Health Care Data Analytics,,12th,English/Hindi,Module 2: Secondary Use of Clinical Data,Health Care Data Analytics: Unit 4: Communicating Data Analysis Results,https://www.youtube.com/watch?v=kHo_IESl840
7,Healthcare Management,Health Care Data Analytics,,12th,English/Hindi,Module 2: Secondary Use of Clinical Data,Health Care Data Analytics: Unit 5: Patient Identification - Lecture A,https://www.youtube.com/watch?v=uaRRs_AVxlI
8,Healthcare Management,Health Care Data Analytics,,12th,English/Hindi,Module 2: Secondary Use of Clinical Data,Health Care Data Analytics: Unit 5: Patient Identification - Lecture B,https://www.youtube.com/watch?v=0-fLFNjdqFY
9,Healthcare Management,Health Care Data Analytics,,12th,English/Hindi,Module 3: Machine Learning and Natural Language Processing,Health Care Data Analytics: Unit 6: Machine Learning and Natural Language Processing - Lecture A,https://www.youtube.com/watch?v=1dpTsx1Gvig
10,Healthcare Management,Health Care Data Analytics,,12th,English/Hindi,Module 3: Machine Learning and Natural Language Processing,Health Care Data Analytics: Unit 6: Machine Learning and Natural Language Processing - Lecture B,https://www.youtube.com/watch?v=p8_mnW2WT4Q
11,Healthcare Management,Health Care Data Analytics,,12th,English/Hindi,Module 3: Machine Learning and Natural Language Processing,Health Care Data Analytics: Unit 6: Machine Learning and Natural Language Processing - Lecture C,https://www.youtube.com/watch?v=f-4Z1OCim84
12,Healthcare Management,Health Care Data Analytics,,12th,English/Hindi,Module 4: Data Analytics in Clinical Settings,Health Care Data Analytics: Unit 7: Data Analytics in Clinical Settings - Lecture A,https://www.youtube.com/watch?v=Ut6K-vz_FZ4
13,Healthcare Management,Health Care Data Analytics,,12th,English/Hindi,Module 4: Data Analytics in Clinical Settings,Health Care Data Analytics: Unit 7: Data Analytics in Clinical Settings - Lecture B,https://www.youtube.com/watch?v=I1xXO93qd7Y
14,Healthcare Management,Health Care Data Analytics,,12th,English/Hindi,Module 4: Data Analytics in Clinical Settings,Health Care Data Analytics: Unit 7: Data Analytics in Clinical Settings - Lecture C,https://www.youtube.com/watch?v=r8xvmBitN-4
15,Healthcare Management,Health Care Data Analytics,,12th,English/Hindi,Module 4: Data Analytics in Clinical Settings,Health Care Data Analytics: Unit 8: Learning Health Systems,https://www.youtube.com/watch?v=sPkhxF3EA88
16,Healthcare Management,Health Care Data Analytics,,12th,English/Hindi,Module 5: Usability,Health Care Data Analytics: Unit 9: Usability,https://www.youtube.com/watch?v=0jS5QFvnd8A
17,Healthcare Management,Health Care Data Analytics,,12th,English/Hindi,Module 5: Usability,Health Care Data Analytics: Unit 10: Risk Adjustment and Predictive Modelling - Lecture A,https://www.youtube.com/watch?v=KiUpA6cx5L0
18,Healthcare Management,Health Care Data Analytics,,12th,English/Hindi,Module 5: Usability,Health Care Data Analytics: Unit 10: Risk Adjustment and Predictive Modelling - Lecture B,https://www.youtube.com/watch?v=tyYngzcDZMI
19,Healthcare Management,Health Care Data Analytics,,12th,English/Hindi,Module 5: Usability,Health Care Data Analytics: Unit 10: Risk Adjustment and Predictive Modelling,https://www.youtube.com/watch?v=Uhd4MeX1OLE
