S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Public Health,Health Insurance,46hrs 9min,12th,English/Hindi,Module 1: Introduction to Health Insurance,This is the most difficult decision in personal finance!,https://www.youtube.com/watch?v=rMFALNJpJNk
2,Public Health,Health Insurance,,12th,English/Hindi,Module 1: Introduction to Health Insurance,How I lost money due to room rent sub limit clause in health insurance,https://www.youtube.com/watch?v=2o1qqemylDU
3,Public Health,Health Insurance,,12th,English/Hindi,Module 1: Introduction to Health Insurance,Compare Health Insurance Policies with this spreadsheet!,https://www.youtube.com/watch?v=C7rtU6RBcMs
4,Public Health,Health Insurance,,12th,English/Hindi,Module 2: Common Health Insurance Pitfalls,How to select a health insurance policy: Tutorial,https://www.youtube.com/watch?v=gcbcU3EutTc
5,Public Health,Health Insurance,,12th,English/Hindi,Module 2: Common Health Insurance Pitfalls,How to lower your medical insurance costs!,https://www.youtube.com/watch?v=mIxXIBLDju8
6,Public Health,Health Insurance,,12th,English/Hindi,Module 3: Health Insurance Policy Selection,My 5th health insurance claim experience plus cashless vs reimbursement debate,https://www.youtube.com/watch?v=1AjsgPrrOss
7,Public Health,Health Insurance,,12th,English/Hindi,Module 3: Health Insurance Policy Selection,Arogya Sanjeevani Standard Health Insurance Policy Review,https://www.youtube.com/watch?v=mmUNTY_3PYo
8,Public Health,Health Insurance,,12th,English/Hindi,Module 4: Optimizing Your Health Insurance,What you need to know before buying Super Top Up Insurance policies!,https://www.youtube.com/watch?v=Z3qMWqSXD30
9,Public Health,Health Insurance,,12th,English/Hindi,Module 4: Optimizing Your Health Insurance,New features introduced in United India Insurance Family Medicare Policy,https://www.youtube.com/watch?v=-vzDdOWhyOs
10,Public Health,Health Insurance,,12th,English/Hindi,Module 5: Advanced Health Insurance Concepts,Why we purchased United India Super Top Up Policy with 95 lakhs sum insured,https://www.youtube.com/watch?v=_Uo-HXQZ2Vo
11,Public Health,Health Insurance,,12th,English/Hindi,Module 5: Advanced Health Insurance Concepts,Claim rejection data for standalone health insurers for FY 2021 2022,https://www.youtube.com/watch?v=TbSX5c9iRyI
12,Public Health,Health Insurance,,12th,English/Hindi,Module 5: Advanced Health Insurance Concepts,What to do if your health insurance claim is rejected,https://www.youtube.com/watch?v=pEEpql02XZk
