S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Public Health,21 - Health Planning & Management,62hrs 3min,12th,English/Hindi,Module 1: Introduction to Health Planning,Planning Cycle | PSM lecture | Community Medicine lecture | PSM made easy | PSM rapid revision,https://www.youtube.com/watch?v=LGKE6bRCsV4
2,Public Health,21 - Health Planning & Management,,12th,English/Hindi,Module 1: Introduction to Health Planning,"Health Planning Committees of India (Bhore, Mudaliar ) | PSM lectures | Community Medicine lectures",https://www.youtube.com/watch?v=pfVV9t-whXI
3,Public Health,21 - Health Planning & Management,,12th,English/Hindi,Module 2: Health Planning in India,NITI Aayog | PSM lecture | Community Medicine lecture | PSM made easy | PSM rapid revision | Arpit,https://www.youtube.com/watch?v=OE_C9EOgYgQ
4,Public Health,21 - Health Planning & Management,,12th,English/Hindi,Module 2: Health Planning in India,Management methods & techniques | Cost Benefit analysis | PSM lecture | Community Medicine lecture,https://www.youtube.com/watch?v=sBpRgPyx8ms
5,Public Health,21 - Health Planning & Management,,12th,English/Hindi,Module 3: Management in Healthcare,Cost Benefit analysis | Cost Effective analysis | PSM lecture | Community Medicine lecture | Arpit,https://www.youtube.com/watch?v=_7MmjspyBnA
6,Public Health,21 - Health Planning & Management,,12th,English/Hindi,Module 3: Management in Healthcare,Inventory Control | PSM lecture | Community Medicine lecture | PSM made easy | PSM rapid revision,https://www.youtube.com/watch?v=CL7G_6Bdwko
7,Public Health,21 - Health Planning & Management,,12th,English/Hindi,Module 4: Inventory & Resource Management,Powers of Manager | PSM lecture | Community Medicine lecture | PSM made easy | PSM rapid revision,https://www.youtube.com/watch?v=9XqetaDRHzk
8,Public Health,21 - Health Planning & Management,,12th,English/Hindi,Module 4: Inventory & Resource Management,Evaluation of Health Services | PSM lecture | Community Medicine lecture | PSM made easy | Arpit,https://www.youtube.com/watch?v=8T_hRPUMdzA
9,Public Health,21 - Health Planning & Management,,12th,English/Hindi,Module 5: National Health Policies,National Health Policy | PSM lectures | Community Medicine lectures | PSM made easy | PSM revision,https://www.youtube.com/watch?v=ZyMLdq4JSAQ
10,Public Health,21 - Health Planning & Management,,12th,English/Hindi,Module 5: National Health Policies,National Population Policy | PSM lecture | Community Medicine lecture | PSM made easy | PSM revision,https://www.youtube.com/watch?v=blv6R36Anog
