S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Public Health,Health and Physical Education,27hrs 23min,12th,English/Hindi,Module 1: Introduction to Health and Physical Education,"Health Education: Definition, aims and objectives | Health and Physical education",https://www.youtube.com/watch?v=SIRaDbEbRUY
2,Public Health,Health and Physical Education,,12th,English/Hindi,Module 1: Introduction to Health and Physical Education,"Concept of Mind and Healthy Mind, Relation of Healthy Mind and Healthy Body",https://www.youtube.com/watch?v=ZdpEajI9k-s
3,Public Health,Health and Physical Education,,12th,English/Hindi,Module 1: Introduction to Health and Physical Education,Role of teacher in development of health and good hygienic habits | Health and Physical Education,https://www.youtube.com/watch?v=mk005duUfFQ
4,Public Health,Health and Physical Education,,12th,English/Hindi,Module 2: Mental and Physical Well-being,Health and Wellness | Health and Physical Education,https://www.youtube.com/watch?v=b_rB4S_D5dU
5,Public Health,Health and Physical Education,,12th,English/Hindi,Module 2: Mental and Physical Well-being,"School Health Program: Health Services, Health Supervision and Health Instruction.",https://www.youtube.com/watch?v=5exhGHSRUEc
6,Public Health,Health and Physical Education,,12th,English/Hindi,Module 2: Mental and Physical Well-being,"Hygiene Education: Definition, aims and objectives | Health and Physical Education",https://www.youtube.com/watch?v=5FnjRA6QpPM
7,Public Health,Health and Physical Education,,12th,English/Hindi,Module 3: The Role of Education in Health,"Health: Concept, definition, dimensions and determinants.",https://www.youtube.com/watch?v=nzj5iM_CwPs
8,Public Health,Health and Physical Education,,12th,English/Hindi,Module 3: The Role of Education in Health,"Physical Education: Concept, definition, aims andobjectives",https://www.youtube.com/watch?v=9c5UxdiKdP8
9,Public Health,Health and Physical Education,,12th,English/Hindi,Module 3: The Role of Education in Health,Health and Physical Education and its relation with other subjects like science and Languages,https://www.youtube.com/watch?v=dMpcyQRVTAY
10,Public Health,Health and Physical Education,,12th,English/Hindi,Module 4: School Health and Hygiene,"Recreation: Meaning, Significance and Recreational Programs in School | Health and Physical edu",https://www.youtube.com/watch?v=YY2AO0S3-v8
11,Public Health,Health and Physical Education,,12th,English/Hindi,Module 4: School Health and Hygiene,"Tournaments -Types, inter-house competition, sportsmeet | Health and Physical Education",https://www.youtube.com/watch?v=KQp_IdncE7A
12,Public Health,Health and Physical Education,,12th,English/Hindi,Module 4: School Health and Hygiene,Concept of Integrated Personality and its Realization through physical Education Program.,https://www.youtube.com/watch?v=pSSPTNqVeKo
13,Public Health,Health and Physical Education,,12th,English/Hindi,Module 5: Physical Education and its Connections,"Physical Education: Concept, definition, aims and objectives",https://www.youtube.com/watch?v=exlkFbku6iM
14,Public Health,Health and Physical Education,,12th,English/Hindi,Module 5: Physical Education and its Connections,"Athletic meet – Meaning, need and importance. Process to organize athletic meet at School level",https://www.youtube.com/watch?v=bnKN-53zu-o
15,Public Health,Health and Physical Education,,12th,English/Hindi,Module 6: Recreation and Sports,Importance of Meditation in school | Health and Physical Education,https://www.youtube.com/watch?v=GDU2D5rG-Eg
16,Public Health,Health and Physical Education,,12th,English/Hindi,Module 6: Recreation and Sports,"Introduction, Meaning and mis-concepts about Yoga | Yoga and Physical Fitness",https://www.youtube.com/watch?v=WOxGPHm714c
17,Public Health,Health and Physical Education,,12th,English/Hindi,Module 6: Recreation and Sports,"Organization and administration: planning, budgeting, fixture(Knock out and league)",https://www.youtube.com/watch?v=cuaKOWlGb0I
18,Public Health,Health and Physical Education,,12th,English/Hindi,Module 7: Integrated Personality Development,"Postures: Importance of Good Posture, Common Postural Defects and Remedial Exercises.",https://www.youtube.com/watch?v=-jSpwsPw_aQ
19,Public Health,Health and Physical Education,,12th,English/Hindi,Module 7: Integrated Personality Development,Sex Education and concerns for HIV/AIDS | health and Physical Education,https://www.youtube.com/watch?v=PqwbvExix68
20,Public Health,Health and Physical Education,,12th,English/Hindi,Module 8: Yoga and Meditation,Rules and Regulations and skills of any one of the Games: Basketball | Health and Physical Education,https://www.youtube.com/watch?v=sZnHOi_wYig
21,Public Health,Health and Physical Education,,12th,English/Hindi,Module 8: Yoga and Meditation,"Need, scope and Importance of Physical Education Programs at different school levels",https://www.youtube.com/watch?v=HhRGGbPxFms
22,Public Health,Health and Physical Education,,12th,English/Hindi,Module 8: Yoga and Meditation,"Types of Yoga, Ashtang Yoga of Patanjali (Eight stages of Yoga) | Health and Physical Education",https://www.youtube.com/watch?v=Nan6Fyd5ujA
23,Public Health,Health and Physical Education,,12th,English/Hindi,Module 9: Physical Fitness and Training,Meaning and Importance of Pranayama and Shudhikriya | Health and Physical Education,https://www.youtube.com/watch?v=zEp9GpyCsXE
24,Public Health,Health and Physical Education,,12th,English/Hindi,Module 9: Physical Fitness and Training,"Nutrition: Elements of Balanced Diet, Food habits, Functions of Food and Malnutrition",https://www.youtube.com/watch?v=9ckTu7MTWWY
25,Public Health,Health and Physical Education,,12th,English/Hindi,Module 9: Physical Fitness and Training,Training methods of physical fitness | Health and Physical Education,https://www.youtube.com/watch?v=ktZ-9o5UPhM
26,Public Health,Health and Physical Education,,12th,English/Hindi,Module 10: Health Challenges and Prevention,"Physical fitness: Meaning, importance. Motor component of physical fitness (strength, flexibility)",https://www.youtube.com/watch?v=CvL5CYP_Fnk
27,Public Health,Health and Physical Education,,12th,English/Hindi,Module 10: Health Challenges and Prevention,"Wellness common Health Problems and Preventions: Accidents, Overpopulation, Alcoholism, Smoking",https://www.youtube.com/watch?v=pfcnoi7Et28
28,Public Health,Health and Physical Education,,12th,English/Hindi,Module 10: Health Challenges and Prevention,"Communicable Diseases: Mode of Transmission, Methods of Prevention and Control | Health education",https://www.youtube.com/watch?v=pQeAS0xIZqA
