S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Healthcare Management,Healthcare Law,17hrs 23min,12th,English/Hindi,Module 1: Introduction to Healthcare Law,Healthcare Law Introduction | BBALLBGYAN,https://www.youtube.com/watch?v=9PAuw6uVoDQ
2,Healthcare Management,Healthcare Law,,12th,English/Hindi,Module 1: Introduction to Healthcare Law,"Constitutional Provisions (Fundamental Rights,Remedies) Healthcare Law | BBALLBGYAN",https://www.youtube.com/watch?v=penKoKffQy4
3,Healthcare Management,Healthcare Law,,12th,English/Hindi,Module 1: Introduction to Healthcare Law,Right to Confidentiality and Access to Medical Records Healthcare Law | BBALLBGYAN,https://www.youtube.com/watch?v=yIXFHA93KXw
4,Healthcare Management,Healthcare Law,,12th,English/Hindi,Module 1: Introduction to Healthcare Law,"Transplantation of Human Organs Act, 1994 Health Care Law | BBALLBGYAN",https://www.youtube.com/watch?v=bj92BPk-eSo
5,Healthcare Management,Healthcare Law,,12th,English/Hindi,Module 2: Pre-Natal Diagnostics & Medical Ethics,Pre-Conception and Pre Natal Diagnostic Techniques Act 1994 Health Care Law | BBALLBGYAN,https://www.youtube.com/watch?v=CVgWKUAAQNA
6,Healthcare Management,Healthcare Law,,12th,English/Hindi,Module 2: Pre-Natal Diagnostics & Medical Ethics,The International Code of Medical Ethics Health Care Law | BBALLBGYAN,https://www.youtube.com/watch?v=6V1AUUkPAY0
7,Healthcare Management,Healthcare Law,,12th,English/Hindi,Module 2: Pre-Natal Diagnostics & Medical Ethics,"Indian Medicine Central Council Act, 1970 Healthcare Law | BBALLBGYAN",https://www.youtube.com/watch?v=YtqH-H4lUTw
8,Healthcare Management,Healthcare Law,,12th,English/Hindi,Module 3: Medical Negligence and Liability,"Dentist Act, 1948 Healthcare Law | BBALLBGYAN",https://www.youtube.com/watch?v=iKLFhGlM_JY
9,Healthcare Management,Healthcare Law,,12th,English/Hindi,Module 3: Medical Negligence and Liability,"The Homeopathy Central Council Act, 1973 Healthcare Law | BBALLBGYAN",https://www.youtube.com/watch?v=cdJSOmfZyv4
10,Healthcare Management,Healthcare Law,,12th,English/Hindi,Module 3: Medical Negligence and Liability,"The Drugs and Cosmetics Act, 1940 Healthcare Law | BBALLBGYAN",https://www.youtube.com/watch?v=Sd_ZHMU5wvI
11,Healthcare Management,Healthcare Law,,12th,English/Hindi,Module 3: Medical Negligence and Liability,Medical Negligence Ingredients Health Law | BBALLBGYAN,https://www.youtube.com/watch?v=8smCpFMi4bI
12,Healthcare Management,Healthcare Law,,12th,English/Hindi,Module 3: Medical Negligence and Liability,Role of Consent in Medical Practice Healthcare Law | BBALLBGYAN,https://www.youtube.com/watch?v=qNpxTk2L99A
13,Healthcare Management,Healthcare Law,,12th,English/Hindi,Module 3: Medical Negligence and Liability,Gross Negligence Healthcare law | BBALLBGYAN,https://www.youtube.com/watch?v=wwm85D5Jr7M
14,Healthcare Management,Healthcare Law,,12th,English/Hindi,Module 3: Medical Negligence and Liability,Wrongful Diagnosis Healthcare Law | BBALLBGYAN,https://www.youtube.com/watch?v=bFVa4uRF1dI
15,Healthcare Management,Healthcare Law,,12th,English/Hindi,Module 3: Medical Negligence and Liability,Law of Torts Healthcare Law | BBALLBGYAN,https://www.youtube.com/watch?v=a2Q8a2Qc6zI
16,Healthcare Management,Healthcare Law,,12th,English/Hindi,Module 3: Medical Negligence and Liability,Law of Crimes Healthcare Law | BBALLBGYAN,https://www.youtube.com/watch?v=xdZzE2poiOM
17,Healthcare Management,Healthcare Law,,12th,English/Hindi,Module 3: Medical Negligence and Liability,Consumer Protection Law Healthcare Law | BBALLBGYAN,https://www.youtube.com/watch?v=ZIzlAlF73mc
