S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Hospitality Management,Hospitality Management,10hrs 56min,12th,English/Hindi,Module 1: Introduction to Hospitality Management,Hospitality Management - Perspective on careers in hospitality,https://www.youtube.com/watch?v=iP0yfOfR79w
2,Hospitality Management,Hospitality Management,,12th,English/Hindi,Module 1: Introduction to Hospitality Management,Hospitality Management - Food service,https://www.youtube.com/watch?v=ux1qkB9gmFU
3,Hospitality Management,Hospitality Management,,12th,English/Hindi,Module 1: Introduction to Hospitality Management,Hospitality Management - Lodging,https://www.youtube.com/watch?v=SmLJPQQoRzg
4,Hospitality Management,Hospitality Management,,12th,English/Hindi,Module 1: Introduction to Hospitality Management,Hospitality Management - Travel and tourism,https://www.youtube.com/watch?v=WCK9zQyW9pc
5,Hospitality Management,Hospitality Management,,12th,English/Hindi,Module 2: Hospitality Operations,Hospitality Management- Management in the hospitality industry,https://www.youtube.com/watch?v=K_Z8LqsSN8E
6,Hospitality Management,Hospitality Management,,12th,English/Hindi,Module 2: Hospitality Operations,Hospitality Management - Hospitality as a service industry,https://www.youtube.com/watch?v=XftbMRwiRxk
7,Hospitality Management,Hospitality Management,,12th,English/Hindi,Module 2: Hospitality Operations,Hospitality Management - Types of hotels,https://www.youtube.com/watch?v=7W2qA6JZU3U
8,Hospitality Management,Hospitality Management,,12th,English/Hindi,Module 2: Hospitality Operations,Hospitality Management - Hotel amenities,https://www.youtube.com/watch?v=2GMZ6wgYYBI
9,Hospitality Management,Hospitality Management,,12th,English/Hindi,Module 3: Hospitality Services and Amenities,Hospitality Management - Entertainment and events,https://www.youtube.com/watch?v=x3GGbYULX8o
10,Hospitality Management,Hospitality Management,,12th,English/Hindi,Module 3: Hospitality Services and Amenities,Hospitality Management - Ownership and affiliation,https://www.youtube.com/watch?v=XUtmBtfegM0
11,Hospitality Management,Hospitality Management,,12th,English/Hindi,Module 3: Hospitality Services and Amenities,Hospitality Management - Different hotel functions,https://www.youtube.com/watch?v=UbFzq3xEZig
12,Hospitality Management,Hospitality Management,,12th,English/Hindi,Module 3: Hospitality Services and Amenities,Hospitality Management - The power of guest and employee engagement,https://www.youtube.com/watch?v=ZYH1_4fXysA
13,Hospitality Management,Hospitality Management,,12th,English/Hindi,Module 4: The Guest Experience and Management,Tutorix Simply Easy Learning Steps,https://www.youtube.com/watch?v=1iJn6quPp50
14,Hospitality Management,Hospitality Management,,12th,English/Hindi,Module 4: The Guest Experience and Management,Tutorix Brings Simply Easy Learning,https://www.youtube.com/watch?v=lezQQ0d1pxc
15,Hospitality Management,Hospitality Management,,12th,English/Hindi,Module 4: The Guest Experience and Management,Tutorix Brings Simply Easy Learning,https://www.youtube.com/watch?v=lezQQ0d1pxc
16,Hospitality Management,Hospitality Management,,12th,English/Hindi,Module 4: The Guest Experience and Management,Tutorix Brings Simply Easy Learning,https://www.youtube.com/watch?v=lezQQ0d1pxc
17,Hospitality Management,Hospitality Management,10hrs 56min,12th,English/Hindi,Module 5:  Tutorix Simply Easy Learning,Hospitality Management - Perspective on careers in hospitality,https://www.youtube.com/watch?v=iP0yfOfR79w
18,Hospitality Management,Hospitality Management,,12th,English/Hindi,Module 5:  Tutorix Simply Easy Learning,Hospitality Management - Food service,https://www.youtube.com/watch?v=ux1qkB9gmFU
19,Hospitality Management,Hospitality Management,,12th,English/Hindi,Module 5:  Tutorix Simply Easy Learning,Hospitality Management - Lodging,https://www.youtube.com/watch?v=SmLJPQQoRzg
20,Hospitality Management,Hospitality Management,,12th,English/Hindi,Module 5:  Tutorix Simply Easy Learning,Hospitality Management - Travel and tourism,https://www.youtube.com/watch?v=WCK9zQyW9pc
21,Hospitality Management,Hospitality Management,,12th,English/Hindi,Module 5:  Tutorix Simply Easy Learning,Hospitality Management- Management in the hospitality industry,https://www.youtube.com/watch?v=K_Z8LqsSN8E
22,Hospitality Management,Hospitality Management,,12th,English/Hindi,Module 5:  Tutorix Simply Easy Learning,Hospitality Management - Hospitality as a service industry,https://www.youtube.com/watch?v=XftbMRwiRxk
23,Hospitality Management,Hospitality Management,,12th,English/Hindi,Module 5:  Tutorix Simply Easy Learning,Hospitality Management - Types of hotels,https://www.youtube.com/watch?v=7W2qA6JZU3U
24,Hospitality Management,Hospitality Management,,12th,English/Hindi,Module 5:  Tutorix Simply Easy Learning,Hospitality Management - Hotel amenities,https://www.youtube.com/watch?v=2GMZ6wgYYBI
25,Hospitality Management,Hospitality Management,,12th,English/Hindi,Module 5:  Tutorix Simply Easy Learning,Hospitality Management - Entertainment and events,https://www.youtube.com/watch?v=x3GGbYULX8o
26,Hospitality Management,Hospitality Management,,12th,English/Hindi,Module 5:  Tutorix Simply Easy Learning,Hospitality Management - Ownership and affiliation,https://www.youtube.com/watch?v=XUtmBtfegM0
27,Hospitality Management,Hospitality Management,,12th,English/Hindi,Module 5:  Tutorix Simply Easy Learning,Hospitality Management - Different hotel functions,https://www.youtube.com/watch?v=UbFzq3xEZig
28,Hospitality Management,Hospitality Management,,12th,English/Hindi,Module 5:  Tutorix Simply Easy Learning,Hospitality Management - The power of guest and employee engagement,https://www.youtube.com/watch?v=ZYH1_4fXysA
29,Hospitality Management,Hospitality Management,,12th,English/Hindi,Module 5:  Tutorix Simply Easy Learning,Tutorix Simply Easy Learning Steps,https://www.youtube.com/watch?v=1iJn6quPp50
30,Hospitality Management,Hospitality Management,,12th,English/Hindi,Module 5:  Tutorix Simply Easy Learning,Tutorix Brings Simply Easy Learning,https://www.youtube.com/watch?v=lezQQ0d1pxc
31,Hospitality Management,Hospitality Management,,12th,English/Hindi,Module 5:  Tutorix Simply Easy Learning,Tutorix Brings Simply Easy Learning,https://www.youtube.com/watch?v=lezQQ0d1pxc
32,Hospitality Management,Hospitality Management,,12th,English/Hindi,Module 5:  Tutorix Simply Easy Learning,Tutorix Brings Simply Easy Learning,https://www.youtube.com/watch?v=lezQQ0d1pxc
33,Hospitality Management,Hospitality Management,10hrs 56min,12th,English/Hindi,Module 5:  Tutorix Simply Easy Learning,Hospitality Management - Perspective on careers in hospitality,https://www.youtube.com/watch?v=iP0yfOfR79w
34,Hospitality Management,Hospitality Management,,12th,English/Hindi,Module 5:  Tutorix Simply Easy Learning,Hospitality Management - Food service,https://www.youtube.com/watch?v=ux1qkB9gmFU
35,Hospitality Management,Hospitality Management,,12th,English/Hindi,Module 5:  Tutorix Simply Easy Learning,Hospitality Management - Lodging,https://www.youtube.com/watch?v=SmLJPQQoRzg
36,Hospitality Management,Hospitality Management,,12th,English/Hindi,Module 5:  Tutorix Simply Easy Learning,Hospitality Management - Travel and tourism,https://www.youtube.com/watch?v=WCK9zQyW9pc
37,Hospitality Management,Hospitality Management,,12th,English/Hindi,Module 5:  Tutorix Simply Easy Learning,Hospitality Management- Management in the hospitality industry,https://www.youtube.com/watch?v=K_Z8LqsSN8E
38,Hospitality Management,Hospitality Management,,12th,English/Hindi,Module 5:  Tutorix Simply Easy Learning,Hospitality Management - Hospitality as a service industry,https://www.youtube.com/watch?v=XftbMRwiRxk
39,Hospitality Management,Hospitality Management,,12th,English/Hindi,Module 5:  Tutorix Simply Easy Learning,Hospitality Management - Types of hotels,https://www.youtube.com/watch?v=7W2qA6JZU3U
40,Hospitality Management,Hospitality Management,,12th,English/Hindi,Module 5:  Tutorix Simply Easy Learning,Hospitality Management - Hotel amenities,https://www.youtube.com/watch?v=2GMZ6wgYYBI
41,Hospitality Management,Hospitality Management,,12th,English/Hindi,Module 5:  Tutorix Simply Easy Learning,Hospitality Management - Entertainment and events,https://www.youtube.com/watch?v=x3GGbYULX8o
42,Hospitality Management,Hospitality Management,,12th,English/Hindi,Module 5:  Tutorix Simply Easy Learning,Hospitality Management - Ownership and affiliation,https://www.youtube.com/watch?v=XUtmBtfegM0
43,Hospitality Management,Hospitality Management,,12th,English/Hindi,Module 5:  Tutorix Simply Easy Learning,Hospitality Management - Different hotel functions,https://www.youtube.com/watch?v=UbFzq3xEZig
44,Hospitality Management,Hospitality Management,,12th,English/Hindi,Module 5:  Tutorix Simply Easy Learning,Hospitality Management - The power of guest and employee engagement,https://www.youtube.com/watch?v=ZYH1_4fXysA
45,Hospitality Management,Hospitality Management,,12th,English/Hindi,Module 5:  Tutorix Simply Easy Learning,Tutorix Simply Easy Learning Steps,https://www.youtube.com/watch?v=1iJn6quPp50
46,Hospitality Management,Hospitality Management,,12th,English/Hindi,Module 5:  Tutorix Simply Easy Learning,Tutorix Brings Simply Easy Learning,https://www.youtube.com/watch?v=lezQQ0d1pxc
