S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Public Health,Microbiology & Infectious Diseases,53hrs 11min,12th,English/Hindi,Module 1: Introduction to Microbiology & The Gram Stain,An Introduction to Microbiology 🧫,https://www.youtube.com/watch?v=ukT8YrZ_kM8
2,Public Health,Microbiology & Infectious Diseases,,12th,English/Hindi,Module 1: Introduction to Microbiology & The Gram Stain,The Gram Stain (Gram-Positive vs Gram-Negative) and Bacterial Structure | Microbiology 🧫,https://www.youtube.com/watch?v=MI-FkBDamzw
3,Public Health,Microbiology & Infectious Diseases,,12th,English/Hindi,Module 2: Gram-Positive Bacteria - Staphylococcus aureus,The Gram-Positive Bacteria 🦠 - Microbiology and Infectious Diseases Series 🧫,https://www.youtube.com/watch?v=RB11L1RS8DQ
4,Public Health,Microbiology & Infectious Diseases,,12th,English/Hindi,Module 2: Gram-Positive Bacteria - Staphylococcus aureus,Staphylococcus aureus Characteristics | Microbiology 🧫 & Infectious Diseases 🦠,https://www.youtube.com/watch?v=9Dx2t2y9pu4
5,Public Health,Microbiology & Infectious Diseases,,12th,English/Hindi,Module 2: Gram-Positive Bacteria - Staphylococcus aureus,"Staphylococcus Aureus Diseases | Skin, Toxic Shock Syndrome, Food 🥘 poisoning ☠️ | Microbiology 🧫",https://www.youtube.com/watch?v=nKhpAu4eO9M
6,Public Health,Microbiology & Infectious Diseases,,12th,English/Hindi,Module 2: Gram-Positive Bacteria - Staphylococcus aureus,Staphylococcus aureus Lab 🧫 Diagnosis and Treatment | Microbiology and Infectious Diseases,https://www.youtube.com/watch?v=r5BM28ij9Cs
7,Public Health,Microbiology & Infectious Diseases,,12th,English/Hindi,Module 2: Gram-Positive Bacteria - Staphylococcus aureus,Staphylococcus aureus Mnemonics | Microbiology 🧫 & Infectious Diseases 🦠,https://www.youtube.com/watch?v=4nXE90J68yQ
8,Public Health,Microbiology & Infectious Diseases,,12th,English/Hindi,Module 2: Gram-Positive Bacteria - Staphylococcus aureus,Staph aureus Quick Review | Microbiology 🧫 and Infectious Diseases 🦠,https://www.youtube.com/watch?v=2BEy9cBVRyw
9,Public Health,Microbiology & Infectious Diseases,,12th,English/Hindi,Module 3: Gram-Positive Bacteria - Staphylococcus & Impetigo,Staphylococcus epidermidis | Microbiology 🧫 & Infectious Diseases 🦠,https://www.youtube.com/watch?v=wauf9gvrQ8M
10,Public Health,Microbiology & Infectious Diseases,,12th,English/Hindi,Module 3: Gram-Positive Bacteria - Staphylococcus & Impetigo,Staphylococcus saprophyticus and UTIs | Microbiology 🧫 & Infectious Diseases 🦠 Series,https://www.youtube.com/watch?v=1ZlEbMcLtLk
11,Public Health,Microbiology & Infectious Diseases,,12th,English/Hindi,Module 3: Gram-Positive Bacteria - Staphylococcus & Impetigo,Impetigo | Non-bullous Impetigo vs Bullous Impetigo | Microbiology 🧫 and Infectious diseases 🦠,https://www.youtube.com/watch?v=bgDCA0arBrU
12,Public Health,Microbiology & Infectious Diseases,,12th,English/Hindi,Module 4: Streptococci - Introduction & S. pyogenes,"Streptococci | Introduction and Classification (Group A, Group B, Group D) | Microbiology 🧫",https://www.youtube.com/watch?v=1mtJSN2pOSU
13,Public Health,Microbiology & Infectious Diseases,,12th,English/Hindi,Module 4: Streptococci - Introduction & S. pyogenes,Streptococcus Pyogenes Characteristics | Microbiology 🧫 & Infectious Diseases 🦠,https://www.youtube.com/watch?v=0_lm8d3loU4
14,Public Health,Microbiology & Infectious Diseases,,12th,English/Hindi,Module 4: Streptococci - Introduction & S. pyogenes,Streptococcus pyogenes diseases | Microbiology & Infectious Diseases 🧫,https://www.youtube.com/watch?v=ab8-uq_bu74
15,Public Health,Microbiology & Infectious Diseases,,12th,English/Hindi,Module 4: Streptococci - Introduction & S. pyogenes,Erysipelas vs Cellulitis | Group A ß-hemolytic Streptococcus | Microbiology 🧫 & Infectious Diseases🦠,https://www.youtube.com/watch?v=mOSeG_8AN7c
16,Public Health,Microbiology & Infectious Diseases,,12th,English/Hindi,Module 4: Streptococci - Introduction & S. pyogenes,Streptococcus Pyogenes Diagnosis and Treatment | Microbiology 🧫 & Infectious Diseases 🦠,https://www.youtube.com/watch?v=gTCnsjZxKro
17,Public Health,Microbiology & Infectious Diseases,,12th,English/Hindi,Module 4: Streptococci - Introduction & S. pyogenes,"Antistreptolysin O (ASO) titer for Streptococcus pyogenes (Rheumatic Fever, APSGN) | Nephro | Labs",https://www.youtube.com/watch?v=uYeZUVt5j6Q
18,Public Health,Microbiology & Infectious Diseases,,12th,English/Hindi,Module 4: Streptococci - Introduction & S. pyogenes,"Anti-DNase Antibody test for Streptococcus pyogenes (Skin infections, Rheumatic Fever, PSGN) | Lab🧪",https://www.youtube.com/watch?v=E8Gr9xHz2lU
19,Public Health,Microbiology & Infectious Diseases,,12th,English/Hindi,Module 5: Other Streptococci,"Streptococcus agalactiae (Group B Strept or GBS)...Neonatal Meningitis, sepsis, pneumonia",https://www.youtube.com/watch?v=rOTuGeuszA8
20,Public Health,Microbiology & Infectious Diseases,,12th,English/Hindi,Module 5: Other Streptococci,Viridans Group Streptococci (Streptococcus viridans) | Microbiology 🧫 & Infectious diseases 🦠,https://www.youtube.com/watch?v=2IvdkNWBHUE
21,Public Health,Microbiology & Infectious Diseases,,12th,English/Hindi,Module 5: Other Streptococci,Streptococcus pneumoniae (pneumococci) | Microbiology 🧫 & Infectious Diseases 🦠 Playlist,https://www.youtube.com/watch?v=gOz2XcZt3L8
22,Public Health,Microbiology & Infectious Diseases,,12th,English/Hindi,Module 5: Other Streptococci,Streptococcus pneumoniae - Diagnosis & Treatment - Microbiology 🧫 & Infectious Diseases 🦠,https://www.youtube.com/watch?v=-2xZ95a-0eE
23,Public Health,Microbiology & Infectious Diseases,,12th,English/Hindi,Module 6: Enterococcus & S. bovis,Enterococcus (Enterococci) Characterestics and Diseases | Microbiology 🧫,https://www.youtube.com/watch?v=02UF3_OTy4c
24,Public Health,Microbiology & Infectious Diseases,,12th,English/Hindi,Module 6: Enterococcus & S. bovis,Enterococcus | Diagnosis and Treatment | Microbiology 🧫 and Infectious Diseases,https://www.youtube.com/watch?v=aU6zp7v_aE4
25,Public Health,Microbiology & Infectious Diseases,,12th,English/Hindi,Module 6: Enterococcus & S. bovis,Streptococcus bovis (Streptococcus gallolyticus) | Microbiology 🧫 & Infectious Diseases,https://www.youtube.com/watch?v=ZBug-sELMzc
26,Public Health,Microbiology & Infectious Diseases,,12th,English/Hindi,Module 6: Enterococcus & S. bovis,Enterococcus vs Streptococcus bovis (Streptococcus gallolyticus) | Microbiology 🧫,https://www.youtube.com/watch?v=_3lVgwr8Hmw
27,Public Health,Microbiology & Infectious Diseases,,12th,English/Hindi,Module 7: Uncommon Gram-Positive Bacteria & Review,"Uncommon Gram-Positive, Catalase-Negative Bacteria | Microbiology 🧫 & Infectious Diseases 🦠",https://www.youtube.com/watch?v=SFkpuM3sN6Y
28,Public Health,Microbiology & Infectious Diseases,,12th,English/Hindi,Module 7: Uncommon Gram-Positive Bacteria & Review,Gram-Positive Cocci - Quick Review - Microbiology 🧫 and Infectious Diseases 🦠,https://www.youtube.com/watch?v=ufmfgnwAQ7Q
29,Public Health,Microbiology & Infectious Diseases,,12th,English/Hindi,Module 7: Uncommon Gram-Positive Bacteria & Review,01.  INTRODUCTION to Antibiotics (Members-Only) | Antibiotics Premium Course,https://www.youtube.com/watch?v=mRKJjvYun2g
30,Public Health,Microbiology & Infectious Diseases,,12th,English/Hindi,Module 8: Introduction to Antibiotics,02  Cell Wall Synthesis Inhibitors Intro | Antibiotics Premium Course,https://www.youtube.com/watch?v=Z0sB67cW1YQ
31,Public Health,Microbiology & Infectious Diseases,,12th,English/Hindi,Module 8: Introduction to Antibiotics,03  Penicillins | Antibiotics Premium Course,https://www.youtube.com/watch?v=MJDBUSdRJ2M
