S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Public Health,16 - Occupational Health,37hrs 0min,12th,English/Hindi,Module 1: Introduction to Occupational Health | Ergonomics,Ergonomics | PSM lecture | Community Medicine lecture | PSM made easy | PSM rapid revision | Arpit,https://www.youtube.com/watch?v=c8JyjlPci8o
2,Public Health,16 - Occupational Health,,12th,English/Hindi,Module 1: Introduction to Occupational Health | Ergonomics,Occupational Health | PSM lecture | Community Medicine lecture | PSM made easy | PSM rapid revision,https://www.youtube.com/watch?v=pjSZaN_xCaI
3,Public Health,16 - Occupational Health,,12th,English/Hindi,Module 1: Introduction to Occupational Health | Ergonomics,Occupational Diseases | PSM lecture | Community Medicine lecture | PSM made easy | PSM revision,https://www.youtube.com/watch?v=UGHIX3EO2VE
4,Public Health,16 - Occupational Health,,12th,English/Hindi,Module 2: Occupational Hazards | Occupational Health,Decompression Sickness | Caisson's Disease | PSM lecture | Community Medicine lecture | PSM madeeasy,https://www.youtube.com/watch?v=P1RFcATKD4c
5,Public Health,16 - Occupational Health,,12th,English/Hindi,Module 2: Occupational Hazards | Occupational Health,Pneumoconiosis | Silicosis | Anthracosis | Asbestosis | PSM lecture | Community Medicine lecture,https://www.youtube.com/watch?v=XOFct1NCOb4
6,Public Health,16 - Occupational Health,,12th,English/Hindi,Module 2: Occupational Hazards | Occupational Health,Occupational Cancers | PSM lecture | Community Medicine lecture | PSM made easy | PSM rapid revision,https://www.youtube.com/watch?v=5DoAo_D-JdA
7,Public Health,16 - Occupational Health,,12th,English/Hindi,Module 3: Occupational Diseases and Hazards | PSM lecture | Community Medicine lecture | PSM made easy,Radiation hazards | Occupational hazards in X-ray | PSM lecture | Community Medicine lecture | Arpit,https://www.youtube.com/watch?v=Y07JZ-r_eU8
8,Public Health,16 - Occupational Health,,12th,English/Hindi,Module 3: Occupational Diseases and Hazards | PSM lecture | Community Medicine lecture | PSM made easy,Occupational hazards for Agricultural workers | PSM lecture | Community Medicine lecture | Arpit,https://www.youtube.com/watch?v=io0N2ZhI6So
9,Public Health,16 - Occupational Health,,12th,English/Hindi,Module 4: Occupational Lung Diseases and Cancers | Pneumoconiosis | Silicosis | Anthracosis | Asbestosis ,Occupational Dermatitis | PSM lecture | Community Medicine lecture | PSM made easy | Arpits,https://www.youtube.com/watch?v=EQsIPX9bCws
10,Public Health,16 - Occupational Health,,12th,English/Hindi,Module 4: Occupational Lung Diseases and Cancers | Pneumoconiosis | Silicosis | Anthracosis | Asbestosis ,Sickness Absenteeism | PSM lecture | Community Medicine lecture | PSM made easy | PSM rapid revision,https://www.youtube.com/watch?v=_JW5Fsj2NyQ
11,Public Health,16 - Occupational Health,,12th,English/Hindi,Module 5: Occupational Hazards and Prevention | Radiation hazards | Occupational hazards in X-ray | PSM lecture,Lead Poisoning | PSM lecture | Community Medicine lecture | PSM made easy | PSM rapid revision | PSM,https://www.youtube.com/watch?v=S6xECYUo_bY
12,Public Health,16 - Occupational Health,,12th,English/Hindi,Module 5: Occupational Hazards and Prevention | Radiation hazards | Occupational hazards in X-ray | PSM lecture,Prevention of Occupational Diseases | PSM lecture | Community Medicine lecture | PSM made easy,https://www.youtube.com/watch?v=E4EBaQLxEtY
13,Public Health,16 - Occupational Health,,12th,English/Hindi,Module 6: Occupational Health Policy and Legislation | Occupational Dermatitis | Sickness Absenteeism | PSM lecture,Factories Act | PSM lecture | Community Medicine lecture | PSM made easy | PSM rapid revision,https://www.youtube.com/watch?v=muuucLycZ18
14,Public Health,16 - Occupational Health,,12th,English/Hindi,Module 6: Occupational Health Policy and Legislation | Occupational Dermatitis | Sickness Absenteeism | PSM lecture,ESI Act | Employee State Insurance | Abhiyan Indradhanush | PSM lecture | Community Medicine lecture,https://www.youtube.com/watch?v=HolJpENs4lY
