S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Healthcare Management,Playlist for Clinical Research,36hrs 23min,12th,English/Hindi,Module 1: Introduction to Clinical Research,What are Clinical Trials?  Demystifying Clinical Trials in Hindi,https://www.youtube.com/watch?v=QrBubbxaRXc
2,Healthcare Management,Playlist for Clinical Research,,12th,English/Hindi,Module 1: Introduction to Clinical Research,"Clinical Research Job roles, Salaries and Opportunities #clinicalreasearch #career #trials  #salary",https://www.youtube.com/watch?v=jYSTUXmsXnI
3,Healthcare Management,Playlist for Clinical Research,,12th,English/Hindi,Module 1: Introduction to Clinical Research,Good Clinical Practices (GCP) and 13 Principles of ICH-GCP,https://www.youtube.com/watch?v=ugumBwwbuGw
4,Healthcare Management,Playlist for Clinical Research,,12th,English/Hindi,Module 1: Introduction to Clinical Research,Ethics committee in Clinical Research,https://www.youtube.com/watch?v=nrOkRQjtInI
5,Healthcare Management,Playlist for Clinical Research,,12th,English/Hindi,Module 2: Ethics and Guidelines in Clinical Research,What is eTMF? Learn all about Electronic Trial Master file & Document management in Clinical Trials,https://www.youtube.com/watch?v=vqIZslhBrEk
6,Healthcare Management,Playlist for Clinical Research,,12th,English/Hindi,Module 2: Ethics and Guidelines in Clinical Research,Clinical Research interview questions,https://www.youtube.com/watch?v=hUth7DViJxE
7,Healthcare Management,Playlist for Clinical Research,,12th,English/Hindi,Module 2: Ethics and Guidelines in Clinical Research,Careers in CLINICAL RESEARCH - Best Option for Life Sciences graduates,https://www.youtube.com/watch?v=P1W7gdInJKw
8,Healthcare Management,Playlist for Clinical Research,,12th,English/Hindi,Module 3: Clinical Trial Processes and Phases,Unemployment in Life-sciences & Pharma graduates and career in Clinical Research (Marathi),https://www.youtube.com/watch?v=TO1TKeQPfrQ
9,Healthcare Management,Playlist for Clinical Research,,12th,English/Hindi,Module 3: Clinical Trial Processes and Phases,Participation in Clinical Trials - What happens when you participate in a Clinical trial?,https://www.youtube.com/watch?v=oe2zv_yNmbo
10,Healthcare Management,Playlist for Clinical Research,,12th,English/Hindi,Module 3: Clinical Trial Processes and Phases,Safety in Clinical Trials - How safe are Vaccine and Drugs after clinical trials?,https://www.youtube.com/watch?v=Cfi5PDVoPcw
11,Healthcare Management,Playlist for Clinical Research,,12th,English/Hindi,Module 4: Safety and Pharmacovigilance,COVID-19 Vaccination Explained - Know all about COVID Vaccine Drive and related Questions (FAQ),https://www.youtube.com/watch?v=E7k0ccWbvZw
12,Healthcare Management,Playlist for Clinical Research,,12th,English/Hindi,Module 4: Safety and Pharmacovigilance,"Clinical Research Coordinator (CRC) - Interview Questions, Job roles and Salary",https://www.youtube.com/watch?v=2QNRFv7CzzU
13,Healthcare Management,Playlist for Clinical Research,,12th,English/Hindi,Module 4: Safety and Pharmacovigilance,"Clinical Research Associate (CRA) - Interview questions, Job roles and Salary",https://www.youtube.com/watch?v=g2rxLjp1PpI
