S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Healthcare Management,Power Quality Improvement Technique,5hrs 15min,12th,English/Hindi,Module 1: Introduction to Power Quality,Power Quality Improvement Technique,https://www.youtube.com/watch?v=z_E8uvhTrwY
2,Healthcare Management,Power Quality Improvement Technique,,12th,English/Hindi,Module 1: Introduction to Power Quality,Lecture 1: Introduction,https://www.youtube.com/watch?v=x3rmrSof2W8
3,Healthcare Management,Power Quality Improvement Technique,,12th,English/Hindi,Module 1: Introduction to Power Quality,Lecture 02 :Overview,https://www.youtube.com/watch?v=XwB33QdNAnA
4,Healthcare Management,Power Quality Improvement Technique,,12th,English/Hindi,Module 1: Introduction to Power Quality,Lecture 03 : Overview II,https://www.youtube.com/watch?v=SGpXDuvi_X8
5,Healthcare Management,Power Quality Improvement Technique,,12th,English/Hindi,Module 2: Sources of Poor Power Quality,Lecture 04 : Overview III,https://www.youtube.com/watch?v=j16pYe3KIM4
6,Healthcare Management,Power Quality Improvement Technique,,12th,English/Hindi,Module 2: Sources of Poor Power Quality,Lecture 05: Source of Poor Power quality,https://www.youtube.com/watch?v=iwD1yuAf5P4
7,Healthcare Management,Power Quality Improvement Technique,,12th,English/Hindi,Module 3: Power Factor Improvement Techniques,Lecture 06: Source of Poor Power quality - II,https://www.youtube.com/watch?v=6TdMq9RlM9A
8,Healthcare Management,Power Quality Improvement Technique,,12th,English/Hindi,Module 3: Power Factor Improvement Techniques,Lecture 07 : AC Power Quality Standard,https://www.youtube.com/watch?v=AQkobcPO6eo
9,Healthcare Management,Power Quality Improvement Technique,,12th,English/Hindi,Module 3: Power Factor Improvement Techniques,Lecture 08: Improvement of Power Factor By Capacitor,https://www.youtube.com/watch?v=MxXKxkST9lU
10,Healthcare Management,Power Quality Improvement Technique,,12th,English/Hindi,Module 3: Power Factor Improvement Techniques,Lecture 09: Passive Filter,https://www.youtube.com/watch?v=nBhp42Z35VE
11,Healthcare Management,Power Quality Improvement Technique,,12th,English/Hindi,Module 4: Passive Filter Design,Lecture 10: Passive Filter - II,https://www.youtube.com/watch?v=zMPxS4Hl3Jw
12,Healthcare Management,Power Quality Improvement Technique,,12th,English/Hindi,Module 4: Passive Filter Design,Lecture 11:Passive Filter Design,https://www.youtube.com/watch?v=tKPiS__Uo8s
13,Healthcare Management,Power Quality Improvement Technique,,12th,English/Hindi,Module 4: Passive Filter Design,Lecture  12: Passive Filter Design -II,https://www.youtube.com/watch?v=MULuZsULdB4
14,Healthcare Management,Power Quality Improvement Technique,,12th,English/Hindi,Module 5: PWM Rectifiers,Lecture 13: PWM Rectifier,https://www.youtube.com/watch?v=ajLM59ZqvZA
15,Healthcare Management,Power Quality Improvement Technique,,12th,English/Hindi,Module 5: PWM Rectifiers,Lecture 14: PWM Rectifier -II,https://www.youtube.com/watch?v=96zf4DfLCxQ
16,Healthcare Management,Power Quality Improvement Technique,,12th,English/Hindi,Module 5: PWM Rectifiers,Lecture 15: PWM Rectifier -III,https://www.youtube.com/watch?v=-mk1ogePTac
17,Healthcare Management,Power Quality Improvement Technique,,12th,English/Hindi,Module 6: Three Phase Converters,Lecture 16:Three Phase Converter,https://www.youtube.com/watch?v=pfmiEP4cOxQ
18,Healthcare Management,Power Quality Improvement Technique,,12th,English/Hindi,Module 6: Three Phase Converters,Lecture 17: Three phase Converters- II and Multipulse  Converters,https://www.youtube.com/watch?v=r-aMpiyjKQY
19,Healthcare Management,Power Quality Improvement Technique,,12th,English/Hindi,Module 6: Three Phase Converters,Lecture 18: Three phase Converter III and Multipulse Converters,https://www.youtube.com/watch?v=mljPPs5Cl54
20,Healthcare Management,Power Quality Improvement Technique,,12th,English/Hindi,Module 7: Multilevel Inverters,Lecture  19: VSI and CSI,https://www.youtube.com/watch?v=GSpH3s6K0Ic
21,Healthcare Management,Power Quality Improvement Technique,,12th,English/Hindi,Module 7: Multilevel Inverters,Lecture 20: Multilevel Inverter,https://www.youtube.com/watch?v=vKKO7uPe6fI
22,Healthcare Management,Power Quality Improvement Technique,,12th,English/Hindi,Module 7: Multilevel Inverters,Lecture 21:Multilevel Inverter II,https://www.youtube.com/watch?v=ObKTbs0RmrI
23,Healthcare Management,Power Quality Improvement Technique,,12th,English/Hindi,Module 8: PWM for Voltage Source Inverters,Lecture 22: Multilevel Inverter -  III,https://www.youtube.com/watch?v=5_LCLoAahD4
24,Healthcare Management,Power Quality Improvement Technique,,12th,English/Hindi,Module 8: PWM for Voltage Source Inverters,Lecture  23: PWM for Voltage Source Inverter,https://www.youtube.com/watch?v=Z8xkU0QLCvM
25,Healthcare Management,Power Quality Improvement Technique,,12th,English/Hindi,Module 8: PWM for Voltage Source Inverters,Lecture 24: PWM for Voltage Source Inverter-II,https://www.youtube.com/watch?v=57U8-Cc89Pc
26,Healthcare Management,Power Quality Improvement Technique,,12th,English/Hindi,Module 8: PWM for Voltage Source Inverters,Lecture 25: PWM for Voltage Source Inverter -III,https://www.youtube.com/watch?v=oJCSoYDdGRw
27,Healthcare Management,Power Quality Improvement Technique,,12th,English/Hindi,Module 9: Grid Connected VSC and Active Power Filters,Lecture 26: PWM for Voltage Source Inverter -IV,https://www.youtube.com/watch?v=yxxQaogL8Fs
28,Healthcare Management,Power Quality Improvement Technique,,12th,English/Hindi,Module 9: Grid Connected VSC and Active Power Filters,Lecture 27: Operation and Control of grid Connected VSC,https://www.youtube.com/watch?v=nClZct8Vmw4
29,Healthcare Management,Power Quality Improvement Technique,,12th,English/Hindi,Module 9: Grid Connected VSC and Active Power Filters,Lecture 28: Grid Connected VSC with Inner Current Control,https://www.youtube.com/watch?v=Ul1cDojt2HI
30,Healthcare Management,Power Quality Improvement Technique,,12th,English/Hindi,Module 9: Grid Connected VSC and Active Power Filters,Lecture 29: Shunt Active Power Filter,https://www.youtube.com/watch?v=WCo_nyjPuI8
31,Healthcare Management,Power Quality Improvement Technique,,12th,English/Hindi,Module 10: Hybrid Active Power Filters,Lecture 30: Shunt Active Power Filter -II,https://www.youtube.com/watch?v=bbWFpASs41k
32,Healthcare Management,Power Quality Improvement Technique,,12th,English/Hindi,Module 10: Hybrid Active Power Filters,Lecture 31: Shunt  Active Power Filter III,https://www.youtube.com/watch?v=SMOQdcgAkWM
33,Healthcare Management,Power Quality Improvement Technique,,12th,English/Hindi,Module 10: Hybrid Active Power Filters,Lecture 32: Shunt Active Power Filter- IV,https://www.youtube.com/watch?v=63EorzQMc4Y
34,Healthcare Management,Power Quality Improvement Technique,,12th,English/Hindi,Module 11: UPQC,Lecture 33: Hybrid Active Power Filter,https://www.youtube.com/watch?v=TK0LJ_x9NaY
35,Healthcare Management,Power Quality Improvement Technique,,12th,English/Hindi,Module 11: UPQC,Lecture 34: Hybrid Active Power Filter -II,https://www.youtube.com/watch?v=xxnJZLMa37Y
36,Healthcare Management,Power Quality Improvement Technique,,12th,English/Hindi,Module 11: UPQC,Lecture 35 : Hybrid Shunt Active Power Filter,https://www.youtube.com/watch?v=vVwNEQG9uLY
37,Healthcare Management,Power Quality Improvement Technique,,12th,English/Hindi,Module 11: UPQC,Lecture 36: UPQC Introduction and Classification,https://www.youtube.com/watch?v=NYPHGZtHF0c
38,Healthcare Management,Power Quality Improvement Technique,,12th,English/Hindi,Module 12: Conclusion,Lecture 37:  UPQC Classification,https://www.youtube.com/watch?v=t0ufVQMGfWc
39,Healthcare Management,Power Quality Improvement Technique,,12th,English/Hindi,Module 12: Conclusion,Lecture 38 : Operational and Control UPQC,https://www.youtube.com/watch?v=04OTo_VMDDg
40,Healthcare Management,Power Quality Improvement Technique,,12th,English/Hindi,Module 12: Conclusion,Lecture 39: Control of UPQC,https://www.youtube.com/watch?v=d9QOT8Uembg
41,Healthcare Management,Power Quality Improvement Technique,,12th,English/Hindi,Module 12: Conclusion,Lecture 40: Conclusion,https://www.youtube.com/watch?v=ZSw8BFXXots
