S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Healthcare Management,Public Health,11hrs 16min,12th,English/Hindi,Module 1: Introduction to Public Health,Crash Course Public Health Preview!,https://www.youtube.com/watch?v=PjdJ19ugXzQ
2,Healthcare Management,Public Health,,12th,English/Hindi,Module 1: Introduction to Public Health,What is Public Health? Crash Course Public Health #1,https://www.youtube.com/watch?v=5aww-Bpgkf4
3,Healthcare Management,Public Health,,12th,English/Hindi,Module 1: Introduction to Public Health,How Your Biology Affects Your Health: Crash Course Public Health #2,https://www.youtube.com/watch?v=SzsifG0UvTM
4,Healthcare Management,Public Health,,12th,English/Hindi,Module 1: Introduction to Public Health,How the Environment Affects Your Health: Crash Course Public Health #3,https://www.youtube.com/watch?v=g3vf0I_j9kk
5,Healthcare Management,Public Health,,12th,English/Hindi,Module 2: Social and Environmental Determinants of Health,How Society Affects Your Health: Crash Course Public Health #4,https://www.youtube.com/watch?v=CcdSeqqMR5M
6,Healthcare Management,Public Health,,12th,English/Hindi,Module 2: Social and Environmental Determinants of Health,Stress is Bad for Your Health: Crash Course Public Health #5,https://www.youtube.com/watch?v=rKaG9VaM0pw
7,Healthcare Management,Public Health,,12th,English/Hindi,Module 2: Social and Environmental Determinants of Health,Intro to Epidemiology: Crash Course Public Health #6,https://www.youtube.com/watch?v=_luU3I03JwE
8,Healthcare Management,Public Health,,12th,English/Hindi,Module 3: Healthcare Systems and Public Health,Which Healthcare System is Best? Crash Course Public Health #7,https://www.youtube.com/watch?v=vxvhGj9fA3g
9,Healthcare Management,Public Health,,12th,English/Hindi,Module 3: Healthcare Systems and Public Health,How Laws Affect Your Health: Crash Course Public Health #8,https://www.youtube.com/watch?v=Z08sh4PN8Lc
10,Healthcare Management,Public Health,,12th,English/Hindi,Module 3: Healthcare Systems and Public Health,Global Health: Crash Course Public Health #9,https://www.youtube.com/watch?v=2rfRk_mTf7M
11,Healthcare Management,Public Health,,12th,English/Hindi,Module 4: The Future of Public Health,The Future of Public Health: Crash Course Public Health #10,https://www.youtube.com/watch?v=VvRr0oL6s_E
