S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Public Health,Research Methods in Public Health,61hrs 19min,12th,English/Hindi,Module 1: Introduction to Research Methods,MPH (Masters in Public Health) - 1st Year Online Video Tutorial by AIHMS,https://www.youtube.com/watch?v=bQCb8MVbWNk
2,Public Health,Research Methods in Public Health,,12th,English/Hindi,Module 1: Introduction to Research Methods,MPH (Masters in Public Health) - 1st Year Online Video Tutorial by AIHMS - Class 1,https://www.youtube.com/watch?v=1yQaYoT7h-4
3,Public Health,Research Methods in Public Health,,12th,English/Hindi,Module 1: Introduction to Research Methods,MPH (Masters in Public Health) - 1st Year Online Video Tutorial by AIHMS - Class 2,https://www.youtube.com/watch?v=a1uRVIzmw2c
4,Public Health,Research Methods in Public Health,,12th,English/Hindi,Module 2: Study Designs,MPH (Masters in Public Health) - 1st Year Online Video Tutorial by AIHMS - Class 3,https://www.youtube.com/watch?v=97rWO4bFcco
5,Public Health,Research Methods in Public Health,,12th,English/Hindi,Module 2: Study Designs,MPH (Masters in Public Health) - 1st Year Online Video Tutorial by AIHMS - Class 4,https://www.youtube.com/watch?v=G5iU6vRCzSg
6,Public Health,Research Methods in Public Health,,12th,English/Hindi,Module 2: Study Designs,MPH (Masters in Public Health) - 1st Year Online Video Tutorial by AIHMS - Class 5,https://www.youtube.com/watch?v=3itvMe8ODOQ
7,Public Health,Research Methods in Public Health,,12th,English/Hindi,Module 3: Data Collection & Analysis,MPH (Masters in Public Health) - 1st Year Online Video Tutorial by AIHMS - Class 6,https://www.youtube.com/watch?v=n9ZmjMD3K7c
8,Public Health,Research Methods in Public Health,,12th,English/Hindi,Module 3: Data Collection & Analysis,MPH (Masters in Public Health) - 1st Year Online Video Tutorial by AIHMS - Class 7,https://www.youtube.com/watch?v=nwxsh02jK4s
9,Public Health,Research Methods in Public Health,,12th,English/Hindi,Module 4: Ethics in Public Health Research,MPH (Masters in Public Health) - 1st Year Online Video Tutorial by AIHMS - Class 8,https://www.youtube.com/watch?v=F-ZFtzmZggk
10,Public Health,Research Methods in Public Health,,12th,English/Hindi,Module 4: Ethics in Public Health Research,MPH (Masters in Public Health) - 1st Year Online Video Tutorial by AIHMS - Class 9,https://www.youtube.com/watch?v=9PJ1limqTi0
