S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Public Health,Social Determinants of Health,22hrs 16min,12th,English/Hindi,Module 1: The Impact of Place on Health,Where You Live Has a Huge Impact on Your Health,https://www.youtube.com/watch?v=zNzFnHL-8Zk
2,Public Health,Social Determinants of Health,,12th,English/Hindi,Module 1: The Impact of Place on Health,What Is the Low Income Housing Tax Credit?,https://www.youtube.com/watch?v=DdUcOFRdyTQ
3,Public Health,Social Determinants of Health,,12th,English/Hindi,Module 1: The Impact of Place on Health,Housing Vouchers and Neighborhood Mobility,https://www.youtube.com/watch?v=3slkPtM5Nag
4,Public Health,Social Determinants of Health,,12th,English/Hindi,Module 2: Housing Policy and Health,Zoning Rules Can Keep People in Bad Neighborhoods,https://www.youtube.com/watch?v=8jIlvz2e4Mc
5,Public Health,Social Determinants of Health,,12th,English/Hindi,Module 2: Housing Policy and Health,"Carrot vs Stick: The Social Safety Net, the Earned Income Tax Credit, and Work Requirements",https://www.youtube.com/watch?v=UgAQ5W7YTXc
6,Public Health,Social Determinants of Health,,12th,English/Hindi,Module 2: Housing Policy and Health,"TANF, Cash Assistance, and How Work Requirements Effect Poverty Relief",https://www.youtube.com/watch?v=TkoJqOMR1xM
7,Public Health,Social Determinants of Health,,12th,English/Hindi,Module 3: Social Safety Net and Poverty Relief,The Reality of Work Requirements for Medicaid,https://www.youtube.com/watch?v=CLXpKnzRPR4
8,Public Health,Social Determinants of Health,,12th,English/Hindi,Module 3: Social Safety Net and Poverty Relief,Early Childhood Interventions. What Are They?,https://www.youtube.com/watch?v=wAByrVQxB68
9,Public Health,Social Determinants of Health,,12th,English/Hindi,Module 4: Early Childhood Interventions,Do Early Childhood Interventions Work?,https://www.youtube.com/watch?v=M1WTJWUWbZs
10,Public Health,Social Determinants of Health,,12th,English/Hindi,Module 4: Early Childhood Interventions,Do Early Childhood Programs Pay Off?,https://www.youtube.com/watch?v=FDLR_osoEnk
11,Public Health,Social Determinants of Health,,12th,English/Hindi,Module 4: Early Childhood Interventions,What Should Future Childhood Programs Look Like?,https://www.youtube.com/watch?v=IeqI1Cmbjg4
