S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Healthcare Management,Telemedicine,42hrs 3min,12th,English/Hindi,Module 1: Introduction to Telemedicine,Telemedicine is the new doctor’s house call | Sofija Volertas | TEDxGreensboro,https://www.youtube.com/watch?v=Dm3Q5xu92cs
2,Healthcare Management,Telemedicine,,12th,English/Hindi,Module 1: Introduction to Telemedicine,Telemedicine is the new doctor’s house call | Sofija Volertas | TEDxGreensboro,https://www.youtube.com/watch?v=Dm3Q5xu92cs
3,Healthcare Management,Telemedicine,,12th,English/Hindi,Module 1: Introduction to Telemedicine,Is Telemedicine the Future of Healthcare?,https://www.youtube.com/watch?v=yyj6Y1STmm0
4,Healthcare Management,Telemedicine,,12th,English/Hindi,Module 1: Introduction to Telemedicine,Nomadeec | Future of Telemedicine with HoloLens,https://www.youtube.com/watch?v=9faG8dUHJuk
5,Healthcare Management,Telemedicine,,12th,English/Hindi,Module 2: Telemedicine Applications and Advancements,Is this the future of health?,https://www.youtube.com/watch?v=jZg5QhL3Ckc
6,Healthcare Management,Telemedicine,,12th,English/Hindi,Module 2: Telemedicine Applications and Advancements,New technology could signal the future of medicine,https://www.youtube.com/watch?v=s9X0pdSc88o
7,Healthcare Management,Telemedicine,,12th,English/Hindi,Module 2: Telemedicine Applications and Advancements,Healthcare 2040: The Future of Primary Care,https://www.youtube.com/watch?v=ycN6jrz7BCc
8,Healthcare Management,Telemedicine,,12th,English/Hindi,Module 3: The Future of Healthcare & Telemedicine,The Shift to Hospital-at-Home,https://www.youtube.com/watch?v=07BQ-HTb9yQ
9,Healthcare Management,Telemedicine,,12th,English/Hindi,Module 3: The Future of Healthcare & Telemedicine,Digital Health Makes You A Superhero! - The Medical Futurist,https://www.youtube.com/watch?v=nZI6pSfXdsw
10,Healthcare Management,Telemedicine,,12th,English/Hindi,Module 3: The Future of Healthcare & Telemedicine,The Future of Healthcare,https://www.youtube.com/watch?v=jh5U5BnpGN8
11,Healthcare Management,Telemedicine,,12th,English/Hindi,Module 3: The Future of Healthcare & Telemedicine,Apple unveils 'world's best consumer laptop for AI',https://www.youtube.com/watch?v=0WQSSp_wYrA
