S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Healthcare Management,"YouTube Scholar: Health Systems, Management and Leadership Playlist.",7hrs 18min,12th,English/Hindi,Module 1: Introduction to Public Health & Systems Thinking,10 essential Public Health Services,https://www.youtube.com/watch?v=2fZHn3RuEYY
2,Healthcare Management,"YouTube Scholar: Health Systems, Management and Leadership Playlist.",,12th,English/Hindi,Module 2: Understanding Health Systems,Intro To Systems Thinking,https://www.youtube.com/watch?v=6Qqc3gL3oHE
3,Healthcare Management,"YouTube Scholar: Health Systems, Management and Leadership Playlist.",,12th,English/Hindi,Module 3: Primary Health Care - The Foundation of Health Systems,Systems Thinking,https://www.youtube.com/watch?v=Miy9uQcwo3U
4,Healthcare Management,"YouTube Scholar: Health Systems, Management and Leadership Playlist.",,12th,English/Hindi,Module 4: Health Policy and Planning: Shaping Health Systems,Systems Thinking!,https://www.youtube.com/watch?v=GPW0j2Bo_eY
5,Healthcare Management,"YouTube Scholar: Health Systems, Management and Leadership Playlist.",,12th,English/Hindi,Module 5: The Essence of Leadership in Healthcare,The Value of Systems Thinking,https://www.youtube.com/watch?v=Fo3ndxVOZEo
6,Healthcare Management,"YouTube Scholar: Health Systems, Management and Leadership Playlist.",,12th,English/Hindi,Module 6: Human Resource Management in Healthcare,Systems Thinking is Not Optional: Lessons From a Pandemic | Steve Woodsmall | TEDxLakeJunaluska,https://www.youtube.com/watch?v=yuvHvi84TFw
7,Healthcare Management,"YouTube Scholar: Health Systems, Management and Leadership Playlist.",,12th,English/Hindi,Module 7: Motivation and Supervision in Healthcare,Adopting Systems Thinking and Design Thinking to solve daily problems | Pragya Saboo | TEDxXIE,https://www.youtube.com/watch?v=uxdGy0MT-wc
8,Healthcare Management,"YouTube Scholar: Health Systems, Management and Leadership Playlist.",,12th,English/Hindi,Module 8: Quality Assurance and Community Engagement in Healthcare,Systems Thinking,https://www.youtube.com/watch?v=AP7hMdnNrH4
9,Healthcare Management,"YouTube Scholar: Health Systems, Management and Leadership Playlist.",,12th,English/Hindi,Module 9: Interpersonal Skills for Effective Healthcare,Systems thinking for a better world | Rebecca Mills | TEDxAuckland,https://www.youtube.com/watch?v=d53-nyFzoVI
10,Healthcare Management,"YouTube Scholar: Health Systems, Management and Leadership Playlist.",,12th,English/Hindi,Module 10: Research Methods in Healthcare,What is Systems Thinking?,https://www.youtube.com/watch?v=FW6MXqzeg7M
