S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Artificial Intelligence,AI And Ml For Business,9hrs 0min,12th,English/Hindi,Module 1: Introduction to AI and ML for Business,Most Important Questions AI And Ml For Business | MBA | 3rd Semister | MBA | KMBN IT02,https://www.youtube.com/watch?v=S1iBLh9hFFo
2,Artificial Intelligence,AI And Ml For Business,,12th,English/Hindi,Module 1: Introduction to AI and ML for Business,Unit - 1 AI And ML For Business| MBA 3 Semister | AKTU | KMBN IT02 // Complete Revision MBA,https://www.youtube.com/watch?v=lzGYFAyMUkM
3,Artificial Intelligence,AI And Ml For Business,,12th,English/Hindi,Module 1: Introduction to AI and ML for Business,Unit - 2 AI And ML For Business | MBA 3 Semister | AKTU | KMBN IT02 // Complete Revision MBA,https://www.youtube.com/watch?v=0VehPCwKnuo
4,Artificial Intelligence,AI And Ml For Business,,12th,English/Hindi,Module 1: Introduction to AI and ML for Business,Unit - 3 AI And ML For Business | MBA 3 Semister | AKTU | KMBN IT02 // Complete Revision MBA,https://www.youtube.com/watch?v=c_tw-8HGX2s
5,Artificial Intelligence,AI And Ml For Business,,12th,English/Hindi,Module 2: Data Sources and Knowledge Acquisition,Unit - 4 AI And ML For Business | MBA 3 Semister | AKTU | KMBN IT02 // Complete Revision MBA,https://www.youtube.com/watch?v=0hLFGXpR6WE
6,Artificial Intelligence,AI And Ml For Business,,12th,English/Hindi,Module 2: Data Sources and Knowledge Acquisition,Unit - 5 AI And ML For Business | MBA 3 Semister | AKTU | KMBN IT02 // Complete Revision MBA,https://www.youtube.com/watch?v=nhXXci4RnIk
7,Artificial Intelligence,AI And Ml For Business,,12th,English/Hindi,Module 2: Data Sources and Knowledge Acquisition,Introduction And Data Sources For AI || AI And Ml For Business,https://www.youtube.com/watch?v=72q3a7lgbsI
8,Artificial Intelligence,AI And Ml For Business,,12th,English/Hindi,Module 2: Data Sources and Knowledge Acquisition,Goals Of AI || AI And Ml For Business,https://www.youtube.com/watch?v=Np-6CQ27ceI
9,Artificial Intelligence,AI And Ml For Business,,12th,English/Hindi,Module 2: Data Sources and Knowledge Acquisition,Advantages Of AI || AI And Ml For Business,https://www.youtube.com/watch?v=XtZmy2sEX0g
10,Artificial Intelligence,AI And Ml For Business,,12th,English/Hindi,Module 2: Data Sources and Knowledge Acquisition,Disadvantages Of AI || AI And Ml For Business,https://www.youtube.com/watch?v=wzGTplkFkyE
11,Artificial Intelligence,AI And Ml For Business,,12th,English/Hindi,Module 2: Data Sources and Knowledge Acquisition,Data Sources || AI And Ml For Business,https://www.youtube.com/watch?v=G3i8TEqBX-Q
12,Artificial Intelligence,AI And Ml For Business,,12th,English/Hindi,Module 3: Data Types and Knowledge Representation,Qualitative Data || AI And Ml For Business,https://www.youtube.com/watch?v=aEDSM9-VLpM
13,Artificial Intelligence,AI And Ml For Business,,12th,English/Hindi,Module 3: Data Types and Knowledge Representation,Quantitative Data || AI And Ml For Business #shorts,https://www.youtube.com/watch?v=VBfrjRkC05o
14,Artificial Intelligence,AI And Ml For Business,,12th,English/Hindi,Module 3: Data Types and Knowledge Representation,Types Of Data Sources || AI And Ml For Business #shorts,https://www.youtube.com/watch?v=BHJKXPflAsg
15,Artificial Intelligence,AI And Ml For Business,,12th,English/Hindi,Module 3: Data Types and Knowledge Representation,Structured Data #shorts,https://www.youtube.com/watch?v=7s5zZ_wIPvk
16,Artificial Intelligence,AI And Ml For Business,,12th,English/Hindi,Module 3: Data Types and Knowledge Representation,Unstructured Data #shorts,https://www.youtube.com/watch?v=Lt84XlNyjYo
17,Artificial Intelligence,AI And Ml For Business,,12th,English/Hindi,Module 3: Data Types and Knowledge Representation,Semi Structured Data #shorts,https://www.youtube.com/watch?v=xCpo6-rUBfE
18,Artificial Intelligence,AI And Ml For Business,,12th,English/Hindi,Module 3: Data Types and Knowledge Representation,Historical And Realtime Data #shorts,https://www.youtube.com/watch?v=isOpWIsELYI
