S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Artificial Intelligence,Artificial Intelligence (AI) in Education,21hrs 3min,12th,English/Hindi,Module 1: Introduction to Khanmigo for Teachers,Khanmigo for teachers,https://www.youtube.com/watch?v=TuoWM2vc_a0
2,Artificial Intelligence,Artificial Intelligence (AI) in Education,,12th,English/Hindi,Module 1: Introduction to Khanmigo for Teachers,Teaching Math with Khanmigo,https://www.youtube.com/watch?v=4s46U9_eIXg
3,Artificial Intelligence,Artificial Intelligence (AI) in Education,,12th,English/Hindi,Module 1: Introduction to Khanmigo for Teachers,Teaching Science with Khanmigo,https://www.youtube.com/watch?v=Ak-1MtnbzUg
4,Artificial Intelligence,Artificial Intelligence (AI) in Education,,12th,English/Hindi,Module 1: Introduction to Khanmigo for Teachers,Teaching ELA with Khanmigo,https://www.youtube.com/watch?v=pLw4oG5JNN0
5,Artificial Intelligence,Artificial Intelligence (AI) in Education,,12th,English/Hindi,Module 2: Teaching Social Studies with Khanmigo,Teaching Social Studies with Khanmigo,https://www.youtube.com/watch?v=NpoN-H7i1pA
6,Artificial Intelligence,Artificial Intelligence (AI) in Education,,12th,English/Hindi,Module 2: Teaching Social Studies with Khanmigo,"Sal Khan on the importance of free, high-quality AI tools for teachers & district leaders",https://www.youtube.com/watch?v=BbslbG2ReLE
7,Artificial Intelligence,Artificial Intelligence (AI) in Education,,12th,English/Hindi,Module 2: Teaching Social Studies with Khanmigo,Text to Speech,https://www.youtube.com/watch?v=M2oH7VdQnho
8,Artificial Intelligence,Artificial Intelligence (AI) in Education,,12th,English/Hindi,Module 2: Teaching Social Studies with Khanmigo,Unlocking the Power of Creativity and AI: Preparing Students for the Future Workforce,https://www.youtube.com/watch?v=otOfe7MkFHE
9,Artificial Intelligence,Artificial Intelligence (AI) in Education,,12th,English/Hindi,Module 3: FocusMode,FocusMode,https://www.youtube.com/watch?v=MgE3nkFcBZU
10,Artificial Intelligence,Artificial Intelligence (AI) in Education,,12th,English/Hindi,Module 3: FocusMode,Recommendations,https://www.youtube.com/watch?v=Wehp-EBj-a8
